local_file_id	batch_id	old_file_name	old_path_stub	current_ocr_text_path	current_metadata_path	probable_article_title	probable_author	probable_year	canonical_base_name	proposed_pdf_file_name	proposed_ocr_text_file_name	proposed_metadata_file_name	identity_confidence	rename_status	notes
031022-7823d225cfb2	jbrs-ocr-0133	031022.pdf	Burmese/Burma JBRS/JBRS Originals/031022.pdf	data/working/ocr/jbrs/text/031022-7823d225cfb2.txt	data/working/ocr/jbrs/metadata/031022-7823d225cfb2.json	Professor of Pali, Rangoon College. 24	ABHISAMBODHI ALANKARA	1913	1913-professor-pali-rangoon-college-24-abhisambodhi-alankara	1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.pdf	1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.txt	1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.json	medium	deferred_outside_phase1_scope	
031078-057d650c3ea6	jbrs-ocr-0145	031078.pdf	Burmese/Burma JBRS/JBRS Originals/031078.pdf	data/working/ocr/jbrs/text/031078-057d650c3ea6.txt	data/working/ocr/jbrs/metadata/031078-057d650c3ea6.json	NOTE ON THE DERIVATION OF THE NAME OF	“PROME.”	1913	1913-note-derivation-name-prome	1913-note-derivation-name-prome.pdf	1913-note-derivation-name-prome.txt	1913-note-derivation-name-prome.json	medium	deferred_outside_phase1_scope	
031080-d0cd762eff2d	jbrs-ocr-0146	031080.pdf	Burmese/Burma JBRS/JBRS Originals/031080.pdf	data/working/ocr/jbrs/text/031080-d0cd762eff2d.txt	data/working/ocr/jbrs/metadata/031080-d0cd762eff2d.json	The Talaing Pegu Chronicle (edited by Schmidt) styles this personagem (kappītā jarā	PHILIP DE BRITO	1913	1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito	1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.pdf	1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.txt	1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.json	medium	deferred_outside_phase1_scope	
032148-0c66971ba207	jbrs-ocr-0156	032148.pdf	Burmese/Burma JBRS/JBRS Originals/032148.pdf	data/working/ocr/jbrs/text/032148-0c66971ba207.txt	data/working/ocr/jbrs/metadata/032148-0c66971ba207.json	Professor of Pali, Rangoon College. (Continued from the last number.) 66	ABHISAMBODHI ALAŃKĀRA	1913	1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra	1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.pdf	1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.txt	1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.json	medium	deferred_outside_phase1_scope	
042144-09a12de35fb2	jbrs-ocr-0191	042144.pdf	Burmese/Burma JBRS/JBRS Originals/042144.pdf	data/working/ocr/jbrs/text/042144-09a12de35fb2.txt	data/working/ocr/jbrs/metadata/042144-09a12de35fb2.json	144 ALPHABETUM BARMANORUM Carpani MELCHIOR. Alphabetum Barmanorum seu Bomanum Regni Avo finitarumqua regionum, Romæ MDC…	ALPHABETUM BARMANORUM	1914	1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum	1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.pdf	1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.txt	1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.json	medium	deferred_outside_phase1_scope	
053171-0c382fdb7d3e	jbrs-ocr-0245	053171.pdf	Burmese/Burma JBRS/JBRS Originals/053171.pdf	data/working/ocr/jbrs/text/053171-0c382fdb7d3e.txt	data/working/ocr/jbrs/metadata/053171-0c382fdb7d3e.json	171 The old Burmese custom, indulged in by young bachelors of the quarter, of throwing stones and brick bats at the hou…	NOTES AND REVIEWS	1915	1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews	1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.pdf	1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.txt	1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.json	medium	deferred_outside_phase1_scope	
061013-4ade969ac1f4	jbrs-ocr-0252	061013.pdf	Burmese/Burma JBRS/JBRS Originals/061013.pdf	data/working/ocr/jbrs/text/061013-4ade969ac1f4.txt	data/working/ocr/jbrs/metadata/061013-4ade969ac1f4.json	13 [The following six ratu's of Let wè thon dara have been translated into English prose with a view to a clear underst…	LET-WE-THONDARA	1916	1916-13-following-six-ratu-s-let-w-thon-let-we-thondara	1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.pdf	1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.txt	1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.json	medium	deferred_outside_phase1_scope	
062102-db54540823f2	jbrs-ocr-0268	062102.pdf	Burmese/Burma JBRS/JBRS Originals/062102.pdf	data/working/ocr/jbrs/text/062102-db54540823f2.txt	data/working/ocr/jbrs/metadata/062102-db54540823f2.json	PROME		1916					medium	needs_manual_review	
071013-6eea453d65d2	jbrs-ocr-0284	071013.pdf	Burmese/Burma JBRS/JBRS Originals/071013.pdf	data/working/ocr/jbrs/text/071013-6eea453d65d2.txt	data/working/ocr/jbrs/metadata/071013-6eea453d65d2.json	EXCAVATION AND EXPLORATION IN PEGU. INTRODUCTION I was on duty in the Pegu district for archaeological exploration and…	Charles Duroiselle	1917	1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2	1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.pdf	1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.txt	1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1917-excavationpegu-stewart1917-pdf; collision_with=1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle
083189-39dbcb3e5f02	jbrs-ocr-0350	083189.pdf	Burmese/Burma JBRS/JBRS Originals/083189.pdf	data/working/ocr/jbrs/text/083189-39dbcb3e5f02.txt	data/working/ocr/jbrs/metadata/083189-39dbcb3e5f02.json	THE GREATER TEMPLES OF PAGĀN	I	1918	1918-greater-temples-pag-n-i-scan-2	1918-greater-temples-pag-n-i-scan-2.pdf	1918-greater-temples-pag-n-i-scan-2.txt	1918-greater-temples-pag-n-i-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1918-greatertemplespagan-luce1918-pdf; collision_with=1918-greater-temples-pag-n-i
091053-5acfb4f31690	jbrs-ocr-0367	091053.pdf	Burmese/Burma JBRS/JBRS Originals/091053.pdf	data/working/ocr/jbrs/text/091053-5acfb4f31690.txt	data/working/ocr/jbrs/metadata/091053-5acfb4f31690.json	THE ARI OF BURMA AND TANTRIC BUDDHISM	Charles Duroiselle	1919	1919-ari-burma-tantric-buddhism-charles-duroiselle	1919-ari-burma-tantric-buddhism-charles-duroiselle.pdf	1919-ari-burma-tantric-buddhism-charles-duroiselle.txt	1919-ari-burma-tantric-buddhism-charles-duroiselle.json	medium	deferred_outside_phase1_scope	
092063-c96b46ac9386	jbrs-ocr-0369	092063.pdf	Burmese/Burma JBRS/JBRS Originals/092063.pdf	data/working/ocr/jbrs/text/092063-c96b46ac9386.txt	data/working/ocr/jbrs/metadata/092063-c96b46ac9386.json	Importance of History, especially at the present day	The	1919	1919-importance-history-especially-present-day-the-scan-2	1919-importance-history-especially-present-day-the-scan-2.pdf	1919-importance-history-especially-present-day-the-scan-2.txt	1919-importance-history-especially-present-day-the-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1919-writingburmesehistory-hall1919-pdf; collision_with=1919-importance-history-especially-present-day-the
102041-fbc91ac44386	jbrs-ocr-0404	102041.pdf	Burmese/Burma JBRS/JBRS Originals/102041.pdf	data/working/ocr/jbrs/text/102041-fbc91ac44386.txt	data/working/ocr/jbrs/metadata/102041-fbc91ac44386.json	THE SMALLER TEMPLES OF PAGAN	I	1920	1920-smaller-temples-pagan-i-scan-2	1920-smaller-temples-pagan-i-scan-2.pdf	1920-smaller-temples-pagan-i-scan-2.txt	1920-smaller-temples-pagan-i-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1920-smallertemplespagan-luce1920-pdf; collision_with=1920-smaller-temples-pagan-i
102067-d0831096fea3	jbrs-ocr-0409	102067.pdf	Burmese/Burma JBRS/JBRS Originals/102067.pdf	data/working/ocr/jbrs/text/102067-d0831096fea3.txt	data/working/ocr/jbrs/metadata/102067-d0831096fea3.json	THE SHWEGUGYI PAGODA INSCRIPTION, PAGAN, 1141, A.D		1920					medium	needs_manual_review	
102079-054596fbd560	jbrs-ocr-0412	102079.pdf	Burmese/Burma JBRS/JBRS Originals/102079.pdf	data/working/ocr/jbrs/text/102079-054596fbd560.txt	data/working/ocr/jbrs/metadata/102079-054596fbd560.json	I must thank the Editor for his kindly review of my contributions to the Report of the Archæo logical Survey for , in t…	ALAUNGSITHU versus NARAPATISITHU	1920	1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu	1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.pdf	1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.txt	1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.json	medium	deferred_outside_phase1_scope	
102081-e694a37d2303	jbrs-ocr-0413	102081.pdf	Burmese/Burma JBRS/JBRS Originals/102081.pdf	data/working/ocr/jbrs/text/102081-e694a37d2303.txt	data/working/ocr/jbrs/metadata/102081-e694a37d2303.json	Arī	Charles Duroiselle	1920	1920-ar-charles-duroiselle-scan-2	1920-ar-charles-duroiselle-scan-2.pdf	1920-ar-charles-duroiselle-scan-2.txt	1920-ar-charles-duroiselle-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1920-vajrabuddhipaganyazawin-duroiselle1920-pdf; collision_with=1920-ar-charles-duroiselle
111001-76a537aced4b	jbrs-ocr-0433	111001.pdf	Burmese/Burma JBRS/JBRS Originals/111001.pdf	data/working/ocr/jbrs/text/111001-76a537aced4b.txt	data/working/ocr/jbrs/metadata/111001-76a537aced4b.json	KYAUKSE IRRIGATION A SIDE LIGHT ON BURMESE	HISTORY	1921	1921-kyaukse-irrigation-side-light-burmese-history	1921-kyaukse-irrigation-side-light-burmese-history.pdf	1921-kyaukse-irrigation-side-light-burmese-history.txt	1921-kyaukse-irrigation-side-light-burmese-history.json	medium	deferred_outside_phase1_scope	
111029-f93adf2c3a6c	jbrs-ocr-0438	111029.pdf	Burmese/Burma JBRS/JBRS Originals/111029.pdf	data/working/ocr/jbrs/text/111029-f93adf2c3a6c.txt	data/working/ocr/jbrs/metadata/111029-f93adf2c3a6c.json	CHRONICLE OF THE CITY OF TAGAUNG. We shall tell the story of Sulathambhawa and Mahathambhawa, the two sons of the Tagau…	D. G. E. Hall	1921	1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall	1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.pdf	1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.txt	1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.json	medium	deferred_outside_phase1_scope	
121039-21548f2d8f9e	jbrs-ocr-0460	121039.pdf	Burmese/Burma JBRS/1922/121039.pdf	data/working/ocr/jbrs/text/1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.txt	data/working/ocr/jbrs/metadata/1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.json	A Cambodian (?) Invasion of Lower Burma a comparison of Burmese and Talaing Chronicles. The following note has been lar…	D. G. E. Hall	1922	1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall	1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.pdf	1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.txt	1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.json	medium	renamed_in_repo	
122069-2eb7ec8c78a1	jbrs-ocr-0471	122069.pdf	Burmese/Burma JBRS/1922/122069.pdf	data/working/ocr/jbrs/text/122069-2eb7ec8c78a1.txt	data/working/ocr/jbrs/metadata/122069-2eb7ec8c78a1.json	THE MONS IN SIAM. By R. HALLIDAY. The Mons of Siam are the Talaings of Burma, that is they are the same people as those…	THE MONS IN SIAM	1922	1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2	1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.pdf	1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.txt	1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1922-monssiam-halliday1922-pdf; collision_with=1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam
131009a-84b3476ab477	jbrs-ocr-0492	131009A.pdf	Burmese/Burma JBRS/JBRS Originals/131009A.pdf	data/working/ocr/jbrs/text/131009a-84b3476ab477.txt	data/working/ocr/jbrs/metadata/131009a-84b3476ab477.json	With Text, Translation, and Notes	A HISTORY OF KINGS	1923	1923-text-translation-notes-a-history-of-kings-scan-2	1923-text-translation-notes-a-history-of-kings-scan-2.pdf	1923-text-translation-notes-a-history-of-kings-scan-2.txt	1923-text-translation-notes-a-history-of-kings-scan-2.json	medium	deferred_outside_phase1_scope	collision_with=1923-text-translation-notes-a-history-of-kings
131009b-2e3d5c68f5a4	jbrs-ocr-0493	131009B.pdf	Burmese/Burma JBRS/JBRS Originals/131009B.pdf	data/working/ocr/jbrs/text/131009b-2e3d5c68f5a4.txt	data/working/ocr/jbrs/metadata/131009b-2e3d5c68f5a4.json	TRANSLATION. Namo tassa bhagavato arahato sammasambuddhassa.¹ Rājāmunindam tiloka aggam, dhammañca sanghañca namāmi aha…	A HISTORY OF KINGS	1923	1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2	1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.pdf	1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.txt	1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.json	medium	deferred_outside_phase1_scope	collision_with=1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings
132069-f0d3fa74da0a	jbrs-ocr-0494	132069.pdf	Burmese/Burma JBRS/JBRS Originals/132069.pdf	data/working/ocr/jbrs/text/132069-f0d3fa74da0a.txt	data/working/ocr/jbrs/metadata/132069-f0d3fa74da0a.json	Note on some authorities for the History of Burma	J. A. Stewart	1923	1923-note-some-authorities-history-burma-j-a-stewart	1923-note-some-authorities-history-burma-j-a-stewart.pdf	1923-note-some-authorities-history-burma-j-a-stewart.txt	1923-note-some-authorities-history-burma-j-a-stewart.json	medium	deferred_outside_phase1_scope	
pe_maung_tin_development_of_burmese_lang-3825b88497cc	jbrs-ocr-3343	141058.pdf	Burmese/Burma JBRS/JBRS Originals/141058.pdf	data/working/ocr/jbrs/text/pe_maung_tin_development_of_burmese_lang-3825b88497cc.txt	data/working/ocr/jbrs/metadata/pe_maung_tin_development_of_burmese_lang-3825b88497cc.json	A NOTE ON THE DEVELOPMENT OF THE BURMESE	LANGUAGE						low	needs_manual_review	
142091-0ab55f5d0db8	jbrs-ocr-0534	142091.pdf	Burmese/Burma JBRS/JBRS Originals/142091.pdf	data/working/ocr/jbrs/text/1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.txt	data/working/ocr/jbrs/metadata/1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.json	Introductory Note. The following passage from the History of the Former Han dynasty (206 B.C. 25 A.D.) was first transl…	Fu-kan-tu-lu	1924	1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu	1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.pdf	1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.txt	1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.json	medium	renamed_in_repo	
142100-7144e2fe0f19	jbrs-ocr-0535	142100.pdf	Burmese/Burma JBRS/JBRS Originals/142100.pdf	data/working/ocr/jbrs/text/1924-tan-97-132-d-ngai-lao.txt	data/working/ocr/jbrs/metadata/1924-tan-97-132-d-ngai-lao.json	The Tan¹ (97 132 A. D	Ngai-lao	1924	1924-tan-97-132-d-ngai-lao	1924-tan-97-132-d-ngai-lao.pdf	1924-tan-97-132-d-ngai-lao.txt	1924-tan-97-132-d-ngai-lao.json	medium	renamed_in_repo	
142138a-599fa27e8039	jbrs-ocr-0536	142138A.pdf	Burmese/Burma JBRS/JBRS Originals/142138A.pdf	data/working/ocr/jbrs/text/1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.txt	data/working/ocr/jbrs/metadata/1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.json	The gap in the history of Burma between the 3rd and the 8th century is not	The Teang-ke road	1924	1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road	1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.pdf	1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.txt	1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.json	medium	renamed_in_repo	
143221-93af6e066a85	jbrs-ocr-0540	143221.pdf	Burmese/Burma JBRS/JBRS Originals/143221.pdf	data/working/ocr/jbrs/text/143221-93af6e066a85.txt	data/working/ocr/jbrs/metadata/143221-93af6e066a85.json	BURMA MANUSCRIPTS IN THE BRITISH MUSEUM. Add. 4850A.—Pārājika and other pieces from the Pāli Pātimokkha with Burmese ex…		1924					medium	needs_manual_review	
152115-4cf2252c3079	jbrs-ocr-0551	152115.pdf	Burmese/Burma JBRS/JBRS Originals/152115.pdf	data/working/ocr/jbrs/text/152115-4cf2252c3079.txt	data/working/ocr/jbrs/metadata/152115-4cf2252c3079.json	It is possible to exaggerate the extent of China		1925					medium	needs_manual_review	
171001-84052427e09b	jbrs-ocr-0600	171001.pdf	Burmese/Burma JBRS/JBRS Originals/171001.pdf	data/working/ocr/jbrs/text/171001-84052427e09b.txt	data/working/ocr/jbrs/metadata/171001-84052427e09b.json	ENGLISH RELATIONS WITH BURMA 1587 1686	INTRODUCTROY NOTE	1927	1927-english-relations-burma-1587-1686-introductroy-note	1927-english-relations-burma-1587-1686-introductroy-note.pdf	1927-english-relations-burma-1587-1686-introductroy-note.txt	1927-english-relations-burma-1587-1686-introductroy-note.json	medium	deferred_outside_phase1_scope	
181012-33cb3fb8a6d8	jbrs-ocr-0618	181012.pdf	Burmese/Burma JBRS/JBRS Originals/181012.pdf	data/working/ocr/jbrs/text/181012-33cb3fb8a6d8.txt	data/working/ocr/jbrs/metadata/181012-33cb3fb8a6d8.json	THE GREEK ANTHOLOGY BURMA PARALLELS. The most famous of all anthologies contains poems by over three hundred authors co…		1928					medium	needs_manual_review	
181021-e1ec970f5c06	jbrs-ocr-0620	181021.pdf	Burmese/Burma JBRS/JBRS Originals/181021.pdf	data/working/ocr/jbrs/text/1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.txt	data/working/ocr/jbrs/metadata/1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.json	TALAING INSCRIPTION IN A BELL CAST BY	ANAUPPET-LUN MIN	1928	1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2	1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.pdf	1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.txt	1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.json	medium	renamed_in_repo	collision_with=1928-talaing-inscription-bell-cast-anauppet-lun-min
182069-a2ca06a74fba	jbrs-ocr-0625	182069.pdf	Burmese/Burma JBRS/JBRS Originals/182069.pdf	data/working/ocr/jbrs/text/182069-a2ca06a74fba.txt	data/working/ocr/jbrs/metadata/182069-a2ca06a74fba.json	AN OLD TEMPLE AT LAWKSAWK (ပ်စောက်)	Southern Shan States	1928	1928-old-temple-lawksawk-southern-shan-states	1928-old-temple-lawksawk-southern-shan-states.pdf	1928-old-temple-lawksawk-southern-shan-states.txt	1928-old-temple-lawksawk-southern-shan-states.json	medium	deferred_outside_phase1_scope	
191001-0f934914c35c	jbrs-ocr-0639	191001.pdf	Burmese/Burma JBRS/JBRS Originals/191001.pdf	data/working/ocr/jbrs/text/191001-0f934914c35c.txt	data/working/ocr/jbrs/metadata/191001-0f934914c35c.json	KAREN BRONZE DRUMS * BY THE REV. H. I. MARSHALL, M.A., D.D	KAREN BRONZE DRUMS *	1929	1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums	1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.pdf	1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.txt	1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.json	medium	deferred_outside_phase1_scope	
