local_file_id	old_file_name	old_path_stub	canonical_file_name	canonical_ocr_text_path	canonical_metadata_path	canonical_pdf_path_stub	alias_status	notes
053171-0c382fdb7d3e	053171.pdf	Burmese/Burma JBRS/JBRS Originals/053171.pdf	1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.pdf	data/working/ocr/jbrs/text/1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.txt	data/working/ocr/jbrs/metadata/1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.json	data_local/sources/jbrs_canonical_pdfs/1915-171-old-burmese-custom-indulged-young-bachelors-quarter-notes-and-reviews.pdf	deferred_outside_phase1_scope	
061013-4ade969ac1f4	061013.pdf	Burmese/Burma JBRS/JBRS Originals/061013.pdf	1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.pdf	data/working/ocr/jbrs/text/1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.txt	data/working/ocr/jbrs/metadata/1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.json	data_local/sources/jbrs_canonical_pdfs/1916-13-following-six-ratu-s-let-w-thon-let-we-thondara.pdf	deferred_outside_phase1_scope	
062102-db54540823f2	062102.pdf	Burmese/Burma JBRS/JBRS Originals/062102.pdf	062102.pdf	data/working/ocr/jbrs/text/062102-db54540823f2.txt	data/working/ocr/jbrs/metadata/062102-db54540823f2.json		needs_manual_review	
071013-6eea453d65d2	071013.pdf	Burmese/Burma JBRS/JBRS Originals/071013.pdf	1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.pdf	data/working/ocr/jbrs/text/1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.txt	data/working/ocr/jbrs/metadata/1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1917-excavationpegu-stewart1917-pdf; collision_with=1917-excavation-exploration-pegu-introduction-i-was-duty-pegu-charles-duroiselle
083189-39dbcb3e5f02	083189.pdf	Burmese/Burma JBRS/JBRS Originals/083189.pdf	1918-greater-temples-pag-n-i-scan-2.pdf	data/working/ocr/jbrs/text/1918-greater-temples-pag-n-i-scan-2.txt	data/working/ocr/jbrs/metadata/1918-greater-temples-pag-n-i-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1918-greater-temples-pag-n-i-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1918-greatertemplespagan-luce1918-pdf; collision_with=1918-greater-temples-pag-n-i
091053-5acfb4f31690	091053.pdf	Burmese/Burma JBRS/JBRS Originals/091053.pdf	1919-ari-burma-tantric-buddhism-charles-duroiselle.pdf	data/working/ocr/jbrs/text/1919-ari-burma-tantric-buddhism-charles-duroiselle.txt	data/working/ocr/jbrs/metadata/1919-ari-burma-tantric-buddhism-charles-duroiselle.json	data_local/sources/jbrs_canonical_pdfs/1919-ari-burma-tantric-buddhism-charles-duroiselle.pdf	deferred_outside_phase1_scope	
092063-c96b46ac9386	092063.pdf	Burmese/Burma JBRS/JBRS Originals/092063.pdf	1919-importance-history-especially-present-day-the-scan-2.pdf	data/working/ocr/jbrs/text/1919-importance-history-especially-present-day-the-scan-2.txt	data/working/ocr/jbrs/metadata/1919-importance-history-especially-present-day-the-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1919-importance-history-especially-present-day-the-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1919-writingburmesehistory-hall1919-pdf; collision_with=1919-importance-history-especially-present-day-the
102041-fbc91ac44386	102041.pdf	Burmese/Burma JBRS/JBRS Originals/102041.pdf	1920-smaller-temples-pagan-i-scan-2.pdf	data/working/ocr/jbrs/text/1920-smaller-temples-pagan-i-scan-2.txt	data/working/ocr/jbrs/metadata/1920-smaller-temples-pagan-i-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1920-smaller-temples-pagan-i-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1920-smallertemplespagan-luce1920-pdf; collision_with=1920-smaller-temples-pagan-i
102067-d0831096fea3	102067.pdf	Burmese/Burma JBRS/JBRS Originals/102067.pdf	102067.pdf	data/working/ocr/jbrs/text/102067-d0831096fea3.txt	data/working/ocr/jbrs/metadata/102067-d0831096fea3.json		needs_manual_review	
102079-054596fbd560	102079.pdf	Burmese/Burma JBRS/JBRS Originals/102079.pdf	1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.pdf	data/working/ocr/jbrs/text/1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.txt	data/working/ocr/jbrs/metadata/1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.json	data_local/sources/jbrs_canonical_pdfs/1920-i-must-thank-editor-his-kindly-review-my-alaungsithu-versus-narapatisithu.pdf	deferred_outside_phase1_scope	
102081-e694a37d2303	102081.pdf	Burmese/Burma JBRS/JBRS Originals/102081.pdf	1920-ar-charles-duroiselle-scan-2.pdf	data/working/ocr/jbrs/text/1920-ar-charles-duroiselle-scan-2.txt	data/working/ocr/jbrs/metadata/1920-ar-charles-duroiselle-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1920-ar-charles-duroiselle-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1920-vajrabuddhipaganyazawin-duroiselle1920-pdf; collision_with=1920-ar-charles-duroiselle
111001-76a537aced4b	111001.pdf	Burmese/Burma JBRS/JBRS Originals/111001.pdf	1921-kyaukse-irrigation-side-light-burmese-history.pdf	data/working/ocr/jbrs/text/1921-kyaukse-irrigation-side-light-burmese-history.txt	data/working/ocr/jbrs/metadata/1921-kyaukse-irrigation-side-light-burmese-history.json	data_local/sources/jbrs_canonical_pdfs/1921-kyaukse-irrigation-side-light-burmese-history.pdf	deferred_outside_phase1_scope	
111029-f93adf2c3a6c	111029.pdf	Burmese/Burma JBRS/JBRS Originals/111029.pdf	1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.pdf	data/working/ocr/jbrs/text/1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.txt	data/working/ocr/jbrs/metadata/1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.json	data_local/sources/jbrs_canonical_pdfs/1921-chronicle-city-tagaung-we-shall-tell-story-sulathambhawa-d-g-e-hall.pdf	deferred_outside_phase1_scope	
121039-21548f2d8f9e	121039.pdf	Burmese/Burma JBRS/1922/121039.pdf	1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.pdf	data/working/ocr/jbrs/text/1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.txt	data/working/ocr/jbrs/metadata/1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.json	data_local/sources/jbrs_canonical_pdfs/1922-cambodian-invasion-lower-burma-comparison-burmese-talaing-chronicles-d-g-e-hall.pdf	renamed_in_repo	
122069-2eb7ec8c78a1	122069.pdf	Burmese/Burma JBRS/1922/122069.pdf	1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.pdf	data/working/ocr/jbrs/text/1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.txt	data/working/ocr/jbrs/metadata/1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1922-monssiam-halliday1922-pdf; collision_with=1922-mons-siam-r-halliday-mons-siam-are-talaings-the-mons-in-siam
131009a-84b3476ab477	131009A.pdf	Burmese/Burma JBRS/JBRS Originals/131009A.pdf	1923-text-translation-notes-a-history-of-kings-scan-2.pdf	data/working/ocr/jbrs/text/1923-text-translation-notes-a-history-of-kings-scan-2.txt	data/working/ocr/jbrs/metadata/1923-text-translation-notes-a-history-of-kings-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1923-text-translation-notes-a-history-of-kings-scan-2.pdf	deferred_outside_phase1_scope	collision_with=1923-text-translation-notes-a-history-of-kings
131009b-2e3d5c68f5a4	131009B.pdf	Burmese/Burma JBRS/JBRS Originals/131009B.pdf	1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.pdf	data/working/ocr/jbrs/text/1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.txt	data/working/ocr/jbrs/metadata/1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings-scan-2.pdf	deferred_outside_phase1_scope	collision_with=1923-translation-namo-tassa-bhagavato-arahato-sammasambuddhassa-r-j-a-history-of-kings
132069-f0d3fa74da0a	132069.pdf	Burmese/Burma JBRS/JBRS Originals/132069.pdf	1923-note-some-authorities-history-burma-j-a-stewart.pdf	data/working/ocr/jbrs/text/1923-note-some-authorities-history-burma-j-a-stewart.txt	data/working/ocr/jbrs/metadata/1923-note-some-authorities-history-burma-j-a-stewart.json	data_local/sources/jbrs_canonical_pdfs/1923-note-some-authorities-history-burma-j-a-stewart.pdf	deferred_outside_phase1_scope	
pe_maung_tin_development_of_burmese_lang-3825b88497cc	141058.pdf	Burmese/Burma JBRS/JBRS Originals/141058.pdf	141058.pdf	data/working/ocr/jbrs/text/pe_maung_tin_development_of_burmese_lang-3825b88497cc.txt	data/working/ocr/jbrs/metadata/pe_maung_tin_development_of_burmese_lang-3825b88497cc.json		needs_manual_review	
142091-0ab55f5d0db8	142091.pdf	Burmese/Burma JBRS/JBRS Originals/142091.pdf	1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.pdf	data/working/ocr/jbrs/text/1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.txt	data/working/ocr/jbrs/metadata/1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.json	data_local/sources/jbrs_canonical_pdfs/1924-introductory-note-following-passage-history-former-han-dynasty-fu-kan-tu-lu.pdf	renamed_in_repo	
142100-7144e2fe0f19	142100.pdf	Burmese/Burma JBRS/JBRS Originals/142100.pdf	1924-tan-97-132-d-ngai-lao.pdf	data/working/ocr/jbrs/text/1924-tan-97-132-d-ngai-lao.txt	data/working/ocr/jbrs/metadata/1924-tan-97-132-d-ngai-lao.json	data_local/sources/jbrs_canonical_pdfs/1924-tan-97-132-d-ngai-lao.pdf	renamed_in_repo	
142138a-599fa27e8039	142138A.pdf	Burmese/Burma JBRS/JBRS Originals/142138A.pdf	1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.pdf	data/working/ocr/jbrs/text/1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.txt	data/working/ocr/jbrs/metadata/1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.json	data_local/sources/jbrs_canonical_pdfs/1924-gap-history-burma-between-3rd-8th-century-is-the-teang-ke-road.pdf	renamed_in_repo	
143221-93af6e066a85	143221.pdf	Burmese/Burma JBRS/JBRS Originals/143221.pdf	143221.pdf	data/working/ocr/jbrs/text/143221-93af6e066a85.txt	data/working/ocr/jbrs/metadata/143221-93af6e066a85.json		needs_manual_review	
152115-4cf2252c3079	152115.pdf	Burmese/Burma JBRS/JBRS Originals/152115.pdf	152115.pdf	data/working/ocr/jbrs/text/152115-4cf2252c3079.txt	data/working/ocr/jbrs/metadata/152115-4cf2252c3079.json		needs_manual_review	
171001-84052427e09b	171001.pdf	Burmese/Burma JBRS/JBRS Originals/171001.pdf	1927-english-relations-burma-1587-1686-introductroy-note.pdf	data/working/ocr/jbrs/text/1927-english-relations-burma-1587-1686-introductroy-note.txt	data/working/ocr/jbrs/metadata/1927-english-relations-burma-1587-1686-introductroy-note.json	data_local/sources/jbrs_canonical_pdfs/1927-english-relations-burma-1587-1686-introductroy-note.pdf	deferred_outside_phase1_scope	
181012-33cb3fb8a6d8	181012.pdf	Burmese/Burma JBRS/JBRS Originals/181012.pdf	181012.pdf	data/working/ocr/jbrs/text/181012-33cb3fb8a6d8.txt	data/working/ocr/jbrs/metadata/181012-33cb3fb8a6d8.json		needs_manual_review	
181021-e1ec970f5c06	181021.pdf	Burmese/Burma JBRS/JBRS Originals/181021.pdf	1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.pdf	data/working/ocr/jbrs/text/1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.txt	data/working/ocr/jbrs/metadata/1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1928-talaing-inscription-bell-cast-anauppet-lun-min-scan-2.pdf	renamed_in_repo	collision_with=1928-talaing-inscription-bell-cast-anauppet-lun-min
182069-a2ca06a74fba	182069.pdf	Burmese/Burma JBRS/JBRS Originals/182069.pdf	1928-old-temple-lawksawk-southern-shan-states.pdf	data/working/ocr/jbrs/text/1928-old-temple-lawksawk-southern-shan-states.txt	data/working/ocr/jbrs/metadata/1928-old-temple-lawksawk-southern-shan-states.json	data_local/sources/jbrs_canonical_pdfs/1928-old-temple-lawksawk-southern-shan-states.pdf	deferred_outside_phase1_scope	
191001-0f934914c35c	191001.pdf	Burmese/Burma JBRS/JBRS Originals/191001.pdf	1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.pdf	data/working/ocr/jbrs/text/1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.txt	data/working/ocr/jbrs/metadata/1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.json	data_local/sources/jbrs_canonical_pdfs/1929-karen-bronze-drums-rev-h-i-marshall-m-karen-bronze-drums.pdf	deferred_outside_phase1_scope	
201001-7d27981a7f7b	201001.pdf	Burmese/Burma JBRS/JBRS Originals/201001.pdf	1930-spinning-magic-1-most-what-i-shall-have-d-g-e-hall.pdf	data/working/ocr/jbrs/text/1930-spinning-magic-1-most-what-i-shall-have-d-g-e-hall.txt	data/working/ocr/jbrs/metadata/1930-spinning-magic-1-most-what-i-shall-have-d-g-e-hall.json	data_local/sources/jbrs_canonical_pdfs/1930-spinning-magic-1-most-what-i-shall-have-d-g-e-hall.pdf	deferred_outside_phase1_scope	
201033-5a49239473a4	201033.pdf	Burmese/Burma JBRS/JBRS Originals/201033.pdf	1930-no-pe-maung-tin-scan-2.pdf	data/working/ocr/jbrs/text/1930-no-pe-maung-tin-scan-2.txt	data/working/ocr/jbrs/metadata/1930-no-pe-maung-tin-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1930-no-pe-maung-tin-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1930-pemaungtin-1930-oldwordsininscriptions-pdf; collision_with=1930-no-pe-maung-tin
213059-198720759b45	213059.pdf	Burmese/Burma JBRS/JBRS Originals/213059.pdf	1931-early-english-intercourse-burma-1587-1743-the-tragedy-of-negrais.pdf	data/working/ocr/jbrs/text/1931-early-english-intercourse-burma-1587-1743-the-tragedy-of-negrais.txt	data/working/ocr/jbrs/metadata/1931-early-english-intercourse-burma-1587-1743-the-tragedy-of-negrais.json	data_local/sources/jbrs_canonical_pdfs/1931-early-english-intercourse-burma-1587-1743-the-tragedy-of-negrais.pdf	deferred_outside_phase1_scope	
221021-75cba121a12f	221021.pdf	Burmese/Burma JBRS/JBRS Originals/221021.pdf	1932-use-bronze-drum-siam-rev-h-i-marshall-d-g-e-hall.pdf	data/working/ocr/jbrs/text/1932-use-bronze-drum-siam-rev-h-i-marshall-d-g-e-hall.txt	data/working/ocr/jbrs/metadata/1932-use-bronze-drum-siam-rev-h-i-marshall-d-g-e-hall.json	data_local/sources/jbrs_canonical_pdfs/1932-use-bronze-drum-siam-rev-h-i-marshall-d-g-e-hall.pdf	deferred_outside_phase1_scope	
222068-03f0fa50e147	222068.pdf	Burmese/Burma JBRS/JBRS Originals/222068.pdf	1932-phayre-s-private-journal-his-mission-ava-transcribed-d-g-e-hall-scan-2.pdf	data/working/ocr/jbrs/text/1932-phayre-s-private-journal-his-mission-ava-transcribed-d-g-e-hall-scan-2.txt	data/working/ocr/jbrs/metadata/1932-phayre-s-private-journal-his-mission-ava-transcribed-d-g-e-hall-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1932-phayre-s-private-journal-his-mission-ava-transcribed-d-g-e-hall-scan-2.pdf	deferred_outside_phase1_scope	collision_with=1932-phayre-s-private-journal-his-mission-ava-transcribed-d-g-e-hall
223107-aeea72ef833f	223107.pdf	Burmese/Burma JBRS/JBRS Originals/223107.pdf	1932-mon-inscriptions-siam-the-mon-people-scan-2.pdf	data/working/ocr/jbrs/text/1932-mon-inscriptions-siam-the-mon-people-scan-2.txt	data/working/ocr/jbrs/metadata/1932-mon-inscriptions-siam-the-mon-people-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1932-mon-inscriptions-siam-the-mon-people-scan-2.pdf	renamed_in_repo	duplicate_of=1932-moninscriptionssiam-halliday1932-pdf; collision_with=1932-mon-inscriptions-siam-the-mon-people
223120-ea8eae6c00f8	223120.pdf	Burmese/Burma JBRS/JBRS Originals/223120.pdf	1932-11-villages-myittha-g-h-luce-scan-2.pdf	data/working/ocr/jbrs/text/1932-11-villages-myittha-g-h-luce-scan-2.txt	data/working/ocr/jbrs/metadata/1932-11-villages-myittha-g-h-luce-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1932-11-villages-myittha-g-h-luce-scan-2.pdf	renamed_in_repo	duplicate_of=1932-burmadebttopagan-luce1932-pdf; collision_with=1932-11-villages-myittha-g-h-luce
223151-c159fe6459f2	223151.pdf	Burmese/Burma JBRS/JBRS Originals/223151.pdf	1932-saka-era-pagan-pe-maung-tin-scan-2.pdf	data/working/ocr/jbrs/text/1932-saka-era-pagan-pe-maung-tin-scan-2.txt	data/working/ocr/jbrs/metadata/1932-saka-era-pagan-pe-maung-tin-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1932-saka-era-pagan-pe-maung-tin-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1932-sakaerapagan-pemaungtin1932-pdf; collision_with=1932-saka-era-pagan-pe-maung-tin
233123-0af766867729	233123.pdf	Burmese/Burma JBRS/JBRS Originals/233123.pdf	1933-journal-felix-carey-new-burma-document.pdf	data/working/ocr/jbrs/text/1933-journal-felix-carey-new-burma-document.txt	data/working/ocr/jbrs/metadata/1933-journal-felix-carey-new-burma-document.json	data_local/sources/jbrs_canonical_pdfs/1933-journal-felix-carey-new-burma-document.pdf	deferred_outside_phase1_scope	
241001a-21f020fb358f	241001A.pdf	Burmese/Burma JBRS/JBRS Originals/241001A.pdf	1934-chapter-i-evidence-pali-story-shwe-dagon-pagoda-the-shwe-dagon-pagoda.pdf	data/working/ocr/jbrs/text/1934-chapter-i-evidence-pali-story-shwe-dagon-pagoda-the-shwe-dagon-pagoda.txt	data/working/ocr/jbrs/metadata/1934-chapter-i-evidence-pali-story-shwe-dagon-pagoda-the-shwe-dagon-pagoda.json	data_local/sources/jbrs_canonical_pdfs/1934-chapter-i-evidence-pali-story-shwe-dagon-pagoda-the-shwe-dagon-pagoda.pdf	renamed_in_repo	
241001b-bd566036df7c	241001B.pdf	Burmese/Burma JBRS/JBRS Originals/241001B.pdf	1934-translation-burmese-face-lord-lord-dipankara-name-2-the-shwe-dagon-pagoda.pdf	data/working/ocr/jbrs/text/1934-translation-burmese-face-lord-lord-dipankara-name-2-the-shwe-dagon-pagoda.txt	data/working/ocr/jbrs/metadata/1934-translation-burmese-face-lord-lord-dipankara-name-2-the-shwe-dagon-pagoda.json	data_local/sources/jbrs_canonical_pdfs/1934-translation-burmese-face-lord-lord-dipankara-name-2-the-shwe-dagon-pagoda.pdf	deferred_outside_phase1_scope	
