reference_id	source_file	source_work_key_if_known	matched_reference_text_short	normalized_journal_title	volume	issue	year	page_range	author	article_title	inscription_or_topic_keywords	reference_confidence	needs_manual_bibliographic_cleanup	notes
jbrs-ref-0033	data/working/bibliography/local_sources/ocr_outputs/ocr_text_index.tsv:5		"centuryofprogress_luce1948-f1e3355883ba CenturyOfProgress_Luce1948.pdf pdftoppm+google-vision 16 line 713 line 715 explicit definition context ""49. J.A, Stewart -""""Excavation and Exploration in Pegu"""". (JBRS) Vol. VII,…"	Journal of the Burma Research Society	VII	1	1917	18-26	G. H. Luce	49. J.A, Stewart -	ava; pegu	high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0034	docs/phase2_bibtex_authority.md:13		- **Raw reference string**: the literal string extracted from a corpus record, such as `OBI 3, p. 2` or `Luce, Myanmar's Debt, JBRS 1932, p. 125`.	Journal of the Burma Research Society			1932	2	G. H. Luce			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0035	docs/phase2_bibtex_authority.md:16		- **Source-family authority**: a normalized abbreviation, catalogue family, periodical family, or internal reference system such as `List`, `OBI`, `Pl.`, `RDASB`, or `JBRS`.	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0036	docs/phase2_bibtex_authority.md:71		Manual acronym seeds now live in `manual_acronym_seeds.tsv`. They record expert identifications such as `EB`, `JBRS`, `JRAS`, and `OBI` without pretending that a documentary source has already been found. In `acronym_re…	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0037	docs/phase2_bibtex_authority.md:229		- series- and periodical-level authorities such as `JBRS`, `JRAS`, `BBHC`, `ARASI`, and `Epigraphia Birmanica` can remain publication-like authorities without pretending to be article-level records;	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0038	docs/phase2_bibtex_authority.md:291		Use these rows to confirm or keep provisional expansions for abbreviations such as `A`, `B`, `MP`, `UB`, `PPA`, `TN`, `IPPA`, `UEM`, `SIP`, `MM`, `OR`, `Pl.`, `ARASI`, `Luce D`, `Luce J`, `JBRS`, and `JRAS`.	Journal of the Burma Research Society					G. H. Luce			low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0039	data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:5		epigraphiaBirmanica--011041-2bc89eb3a71a 011041.pdf epigraphiaBirmanica OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/011041.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/ElementaryLahooAkaWa_Antisdel-1911…	Journal of the Burma Research Society			1911					low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0040	data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:6		epigraphiaBirmanica--011098-dfc0debb3b75 011098.pdf epigraphiaBirmanica OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/011098.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/011098.pdf false false f…	Journal of the Burma Research Society			1911					low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0041	data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:7		epigraphiaBirmanica--011131-b5499d8eb174 011131.pdf epigraphiaBirmanica OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1911/011131.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/011131.pdf false false f…	Journal of the Burma Research Society			1911					low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0042	data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:9		epigraphiaBirmanica--luce-1937-ancient-pyu-6a948eb3f6cc Luce 1937 Ancient Pyu.pdf epigraphiaBirmanica OBI_AUTHOR_ALPHA_ROOT:Luce/Luce 1937 Ancient Pyu.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Luce/Luce 1937 Ancient P…	Journal of the Burma Research Society			1937		G. H. Luce		pyu	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0043	data/working/bibliography/translation_source_discovery/epigraphia_birmanica_witness_review.tsv:10		epigraphiaBirmanica--261052-0eaebe68d937 PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf epigraphiaBirmanica OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf | OBI_LIBRARY_ROO…	Journal of the Burma Research Society			1936		U Pe Maung Tin		inscription; pagan	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0044	data/working/bibliography/translation_source_discovery/inscriptions_of_burma_text_volume_hunt.tsv:9		Luce Pe Maung Tin Portfolio I 111029.pdf 111029-f93adf2c3a6c normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Burmes…	Journal of the Burma Research Society			1921		U Pe Maung Tin		inscription	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0045	data/working/bibliography/translation_source_discovery/inscriptions_of_burma_text_volume_hunt.tsv:10		Luce Pe Maung Tin Portfolio II 111029.pdf 111029-f93adf2c3a6c normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Burme…	Journal of the Burma Research Society			1921		U Pe Maung Tin		inscription	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0046	data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:4		uemSelectionsPagan E Maung author_name 031070.pdf 031070-d0d3df8f0935 exact_title_filename high OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1913/CaveSculpture-MaungGyi1913.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma…	Journal of the Burma Research Society			1913		U E Maung		pagan	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0047	data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:6		uemSelectionsPagan U E Maung Pagan title_variant 223151.pdf 223151-c159fe6459f2 normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1932/SakaEraPagan-PeMaungTin1932.pdf | OBI_LIBRARY_ROOT:Thema…	Journal of the Burma Research Society			1932		U Pe Maung Tin		pagan	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0048	data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:7		uemSelectionsPagan U E Maung inscriptions title_variant 201033.pdf 201033-5a49239473a4 normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1930/PeMaungTin-1930-OldWordsinInscriptions.pdf | OBI_…	Journal of the Burma Research Society			1930		U Pe Maung Tin		inscription; pagan	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0049	data/working/bibliography/translation_source_discovery/missing_core_witness_hunt.tsv:33		ubSourceFamily Upper Burma Stone Inscriptions title_variant StoneInscriptionsSale-Swere1965.pdf stoneinscriptionssale_swere1965-1c981765c5c3 normalized_title_filename medium OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/…	Journal of the Burma Research Society			1965				inscription	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0050	data/working/bibliography/translation_source_discovery/periodical_article_discovery_plan.tsv:2		journalBurmaResearchSociety Journal of the Burma Research Society sf-jbrs Duroiselle, JBRS 6.2, 1916, p. 88 | Luce, Myanmar's Debt, JBRS 1932, p. 125 | Luce, Prayers, JBRS 1936, p. 135 | Luce/U Pe Maung Tin, JBRS 10 (2)…	Journal of the Burma Research Society			1916	88	Charles Duroiselle	.pdf | A1-Editorial-Luce1924.pdf | A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf | BurmaToFallOfPagan-Luce193…	pagan	high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0051	data/working/bibliography/translation_source_discovery/rescue_candidate_review.tsv:2		111029-f93adf2c3a6c 111029.pdf Luce Pe Maung Tin Selections sipSelectionsPagan;uemSelectionsPagan OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf | OBI_LIBRARY_ROOT:Thematic/Bu…	Journal of the Burma Research Society			1921		U Pe Maung Tin		pagan	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0052	data/working/bibliography/translation_source_discovery/uem_direct_witness_search.tsv:10		Maung Selections Inscriptions Pagan PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf 253149-88495e2fcca1 normalized_title_filename medium OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1935 WomenInTheInscriptionsOfPagan…	Journal of the Burma Research Society			1935		U Pe Maung Tin		inscription; pagan	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0053	data/working/bibliography/translation_source_discovery/witness_candidates.tsv:23		journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61 journalBurmaResearchSociety Journal of the Burma Research Society Luce 1924 Countries Neighbouring Burma (JBRS).pdf luce_1924_countries_…	Journal of the Burma Research Society			1924		G. H. Luce	.pdf luce_1924_countries_neighbouring_burma_j-056f581dfe61 data/local/bibliography_sources/luce_1924_countries_neighbou…	ava	high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0054	data/working/bibliography/translation_source_discovery/witness_candidates.tsv:24		journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376 journalBurmaResearchSociety Journal of the Burma Research Society A1-Editorial-Luce1924.pdf a1_editorial_luce1924-099d53582376 data/local/bibliography_sour…	Journal of the Burma Research Society					G. H. Luce		ava	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0055	data/working/bibliography/translation_source_discovery/witness_candidates.tsv:25		journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155 journalBurmaResearchSociety Journal of the Burma Research Society A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf a5_countriesnei…	Journal of the Burma Research Society					G. H. Luce	ref-c1353abdc155 journalBurmaResearchSociety Journal of the Burma Research Society A5-CountriesNeighbouringBurma2-Luce-…	ava	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0056	data/working/bibliography/translation_source_discovery/witness_candidates.tsv:26		journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1 journalBurmaResearchSociety Journal of the Burma Research Society BurmaToFallOfPagan-Luce1939.pdf burmatofallofpagan_luce1939-b89e7b3d7dc1 data/local…	Journal of the Burma Research Society					G. H. Luce		pagan; ava	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0057	data/working/bibliography/translation_source_discovery/witness_candidates.tsv:27		journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba journalBurmaResearchSociety Journal of the Burma Research Society CenturyOfProgress_Luce1948.pdf centuryofprogress_luce1948-f1e3355883ba data/local/bi…	Journal of the Burma Research Society					G. H. Luce		ava	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0058	data/working/bibliography/translation_source_discovery/witness_classification.tsv:23		journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61 journalBurmaResearchSociety Journal of the Burma Research Society Luce 1924 Countries Neighbouring Burma (JBRS).pdf article_candidate un…	Journal of the Burma Research Society			1924		G. H. Luce	.pdf article_candidate unknown unknown unknown no possible unknown medium verification Luce 1924 Countries Neighbouring…	translation	high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0059	data/working/bibliography/translation_source_discovery/witness_classification.tsv:24		journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376 journalBurmaResearchSociety Journal of the Burma Research Society A1-Editorial-Luce1924.pdf article_candidate unknown unknown unknown no possible unknown m…	Journal of the Burma Research Society	XIV	II			G. H. Luce		translation	medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0060	data/working/bibliography/translation_source_discovery/witness_classification.tsv:25		journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155 journalBurmaResearchSociety Journal of the Burma Research Society A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf article_candida…	Journal of the Burma Research Society					G. H. Luce		translation	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0061	data/working/bibliography/translation_source_discovery/witness_classification.tsv:26		journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1 journalBurmaResearchSociety Journal of the Burma Research Society BurmaToFallOfPagan-Luce1939.pdf article_candidate unknown unknown unknown no possib…	Journal of the Burma Research Society					G. H. Luce		pagan; translation	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0062	data/working/bibliography/translation_source_discovery/witness_classification.tsv:27		journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba journalBurmaResearchSociety Journal of the Burma Research Society CenturyOfProgress_Luce1948.pdf article_candidate unknown unknown unknown no possible…	Journal of the Burma Research Society			1911		G. H. Luce	48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, University Library. 49. J.A, Stewart -	ava; translation; pegu	high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0063	data/working/bibliography/translation_source_discovery/witness_titlepage_toc_snippets.tsv:10		journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376 journalBurmaResearchSociety A1-Editorial-Luce1924.pdf title_page JOURNAL OF THE BURMA RESEARCH SOCIETY. Vol. XIV, Part II. 926 1. Editorial ocr_text medium…	Journal of the Burma Research Society	XIV	II			G. H. Luce			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0064	data/working/bibliography/translation_source_discovery/witness_titlepage_toc_snippets.tsv:12		"journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba journalBurmaResearchSociety CenturyOfProgress_Luce1948.pdf ocr_heading ""48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, Universi…"	Journal of the Burma Research Society			1911		G. H. Luce	48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, University Library. 49. J.A, Stewart -	ava; pegu	high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0065	data/working/bibliography/translation_source_discovery/witness_verification.tsv:23		journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61 journalBurmaResearchSociety Journal of the Burma Research Society Luce 1924 Countries Neighbouring Burma (JBRS).pdf article_candidate ar…	Journal of the Burma Research Society			1924		G. H. Luce	.pdf article_candidate article_candidate verified_article_candidate article_about_source unknown unknown unknown no pos…		high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0066	data/working/bibliography/translation_source_discovery/witness_verification.tsv:24		journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376 journalBurmaResearchSociety Journal of the Burma Research Society A1-Editorial-Luce1924.pdf article_candidate article_candidate verified_article_candidate…	Journal of the Burma Research Society	XIV	II			G. H. Luce			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0067	data/working/bibliography/translation_source_discovery/witness_verification.tsv:25		journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155 journalBurmaResearchSociety Journal of the Burma Research Society A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf article_candida…	Journal of the Burma Research Society					G. H. Luce			low	true	Reference hunt derived from existing repository bibliography/workspace text.
