hit_id	local_file_id	batch_id	file_name	page_marker	hit_type	matched_marker	short_context	language_scope_guess	burmese_relevance_guess	priority	next_action	notes
jbrs-ocr-hit-a033f2677c	1912-burmeseera-mayoung1912-pdf	jbrs-ocr-0709	BurmeseEra-MayOung1912.pdf	page 1	inscription_marker	inscription	rom Mr. Taw Sein Ko's Some Remarks on the Kalyani Inscriptions, published in the Indian Antiquary in 1893. It is perhaps, the most complete examination	mixed_or_uncertain	uncertain_needs_review	medium	Review OCR text for source-text boundaries and inscription linkage.	
jbrs-ocr-hit-39bf3f2c8d	1912-burmeseera-mayoung1912-pdf	jbrs-ocr-0709	BurmeseEra-MayOung1912.pdf	page 1	inscription_marker	inscriptions	rom Mr. Taw Sein Ko's Some Remarks on the Kalyani Inscriptions, published in the Indian Antiquary in 1893. It is perhaps, the most complete examination 	mixed_or_uncertain	uncertain_needs_review	medium	Review OCR text for source-text boundaries and inscription linkage.	
jbrs-ocr-hit-3f53bd1aef	1912-burmeseera-mayoung1912-pdf	jbrs-ocr-0709	BurmeseEra-MayOung1912.pdf	page 5	inscription_marker	inscription	"Burma by Mohnyin Mindaya of Ava, in 800 B.E. (See Inscriptions of Pagan, Pinya and Ava, p. 37). Of this the Hman-nan history (Vol. II, p. 85) says:-"" H"	mixed_or_uncertain	uncertain_needs_review	medium	Review OCR text for source-text boundaries and inscription linkage.	
jbrs-ocr-hit-e59375fee6	1912-burmeseera-mayoung1912-pdf	jbrs-ocr-0709	BurmeseEra-MayOung1912.pdf	page 5	inscription_marker	inscriptions	"Burma by Mohnyin Mindaya of Ava, in 800 B.E. (See Inscriptions of Pagan, Pinya and Ava, p. 37). Of this the Hman-nan history (Vol. II, p. 85) says:-"" He"	mixed_or_uncertain	uncertain_needs_review	medium	Review OCR text for source-text boundaries and inscription linkage.	
jbrs-ocr-hit-c5e900dd0a	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 1	inscription_marker	burmese inscription	 interpret, albeit with some trou- ble, the early Burmese inscriptions, I doubt whether there is a Talaing living who can make any sense out of the old Talaing	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-639a585cb9	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 1	inscription_marker	inscription	is family of languages. Historically, the Talaing inscriptions take rank amongst the oldest in Burma, and many interest- ing facts will, it is confiden	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-ee6f30158b	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 1	inscription_marker	inscriptions	is family of languages. Historically, the Talaing inscriptions take rank amongst the oldest in Burma, and many interest- ing facts will, it is confident	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-4f274f5b5b	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 1	inscription_marker	talaing inscription	ounds this family of languages. Historically, the Talaing inscriptions take rank amongst the oldest in Burma, and many interest- ing facts will, it is confiden	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-d38b4f42fc	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 2	inscription_marker	inscription	huge gap between it and the language of the early inscriptions, and this can only be bridged by patient comparative study. To a modern Talaing the old 	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-2e1b14b2fb	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 2	inscription_marker	inscriptions	huge gap between it and the language of the early inscriptions, and this can only be bridged by patient comparative study. To a modern Talaing the old l	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-cc02a67ff9	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 2	inscription_marker	talaing inscription	nscrip- tion. Materials and Methods of study. The Talaing inscriptions, so far as known to me, go back to about the time of Anawråta. There may be and proba- b	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-ba5ddf570c	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 3	inscription_marker	inscription	bles us by analogy to interpret other old Talaing inscriptions which have not so conveniently been supplied with Pali and Burmese equivalents. The impo	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-ef02657e56	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 3	inscription_marker	inscriptions	bles us by analogy to interpret other old Talaing inscriptions which have not so conveniently been supplied with Pali and Burmese equivalents. The impor	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-4096c34773	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 3	inscription_marker	talaing inscription	 and enables us by analogy to interpret other old Talaing inscriptions which have not so conveniently been supplied with Pali and Burmese equivalents. The impo	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-2aa0428c77	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 3	text_marker	text.	ges, lies in the interpretation of the deciphered text. The pro- cess is necessarily a slow one. Words constantly appear which cannot at present 	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-cdb5e746d9	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 4	inscription_marker	inscription	e subject even now. So far as the contents of the inscriptions are concern- ed, no great new historical facts have as yet come to light, though at any 	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-faf5406ebe	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 4	inscription_marker	inscriptions	e subject even now. So far as the contents of the inscriptions are concern- ed, no great new historical facts have as yet come to light, though at any m	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-b04bcee1ed	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 5	inscription_marker	inscription	 rate the system that can be deduced from the old inscriptions is far less exten- sive than that of the modern spoken language. The old language allowe	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-162ce78dc8	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 5	inscription_marker	inscriptions	 rate the system that can be deduced from the old inscriptions is far less exten- sive than that of the modern spoken language. The old language allowed	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-9f0ec03751	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 6	inscription_marker	inscription	alised in Burma. Another point established by the inscriptions is that ma, which, in the modern language, forms a sort of participle when joined with t	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-5fbf666353	1912-talaingepigraphy-blagden1912-pdf	jbrs-ocr-0733	TalaingEpigraphy-Blagden1912.pdf	page 6	inscription_marker	inscriptions	alised in Burma. Another point established by the inscriptions is that ma, which, in the modern language, forms a sort of participle when joined with th	Mixed Burmese/Pali	mixed_burmese_pali_relevance	medium	Review OCR for Burmese and Pali unit boundaries before structured extraction.	
jbrs-ocr-hit-ac270cbdce	1913-furnivall1914-monheroes-pdf	jbrs-ocr-0762	Furnivall1914-MonHeroes.pdf	page 4	translation_marker	translation	s of her at length is that given in the scholarly translation by Professor Schmidt of the Talaing Chronicle from that language into German Together wit	Mon	non_burmese_inscriptional_context	medium	Review OCR text for published translation boundaries.	
jbrs-ocr-hit-d4ad9dc145	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 1	inscription_marker	inscription	 a Talaing clerk to assist me in dealing with the inscriptions, which it was hoped to find, and also to employ a few Burman labourers for excavation. I	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-b86d3faee0	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 1	inscription_marker	inscriptions	 a Talaing clerk to assist me in dealing with the inscriptions, which it was hoped to find, and also to employ a few Burman labourers for excavation. It	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-a1da770b0f	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 1	translation_marker	translated	 interest. The inscriptions have been deciphered, translated and annotated to the best of my ability. The present note will discuss more particularly 	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-162587b7a4	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 10	inscription_marker	inscription	22 EXCAVATION AND EXPLORATION IN PEGU inscription in Talaing, recording a discovery of religious importance and bearing date 638 B. E. (127	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-735b8ad24c	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 13	inscription_marker	inscription	s which might be used for purposes of comparison. INSCRIPTIONS NOT EARLIER THAN 15TH CENTURY A D.-The excavations described above are the most importan	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-cf823f4cde	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 13	inscription_marker	inscriptions	s which might be used for purposes of comparison. INSCRIPTIONS NOT EARLIER THAN 15TH CENTURY A D.-The excavations described above are the most important	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-8e164bfeb0	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 13	translation_marker	translated	icts have been deciphered and, for the most part, translated and annotated. I understand that some of the impressions have since been sent to Mr. Blag	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-a8be301e5f	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 5	inscription_marker	inscription	es of the yoni are present in the Pegu stones. No inscription or other certain indication of date was found. As has been said above, if we can assume t	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-a7a552e5da	1917-excavationpegu-stewart1917-pdf	jbrs-ocr-0834	ExcavationPegu-Stewart1917.pdf	page 7	inscription_marker	inscription	• I plaque with 28 Buddhas on one side and a Pali inscription commemo- rating its donation by a minister or official on the other-no date. [Plate II, f	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-c18109a5fa	1918-greatertemplespagan-luce1918-pdf	jbrs-ocr-0857	GreaterTemplesPagan-Luce1918.pdf	page 7	inscription_marker	inscription	han the material, one can say-Read the numberless inscriptions of the period, richly human and intensely devout. Contemplate the 100 square miles of Pa	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-53396e3ba7	1918-greatertemplespagan-luce1918-pdf	jbrs-ocr-0857	GreaterTemplesPagan-Luce1918.pdf	page 7	inscription_marker	inscriptions	han the material, one can say-Read the numberless inscriptions of the period, richly human and intensely devout. Contemplate the 100 square miles of Pag	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-f2ccbd6f35	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 11	inscription_marker	inscription	rland, and hung at his palace gate a bell with an inscription in Burmese and Talaing inviting anybody who had a grievance to strike the bell so that th	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-fd5389423c	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 17	inscription_marker	inscription	ers. Yet there are other materials; there are the inscriptions, the dramas, the memoirs, the legends, the traditions, the 36000y, the sagoly, the squ စ	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-f74739c449	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 17	inscription_marker	inscriptions	ers. Yet there are other materials; there are the inscriptions, the dramas, the memoirs, the legends, the traditions, the 36000y, the sagoly, the squ စာ	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-e8d04241b3	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 18	inscription_marker	inscription	and monographs. Excavation has shed new light and inscriptions. have been collated. But the mere collation of data is, with all due respect to the mode	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-6514e2b8c0	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 18	inscription_marker	inscriptions	and monographs. Excavation has shed new light and inscriptions. have been collated. But the mere collation of data is, with all due respect to the moder	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-0f35c164a3	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 18	translation_marker	translated	best told in the original, the original should be translated into suitable English (which would in some passages be the English of Malory's Morte d'Ar	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-4363bb4119	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 18	translation_marker	translation	"ed in the origi- nal Burmese, with a good English translation underneath as is done in Duff's Literary History of Rome."" Coloured historical maps would"	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-87ec407ab0	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 6	inscription_marker	inscription	; and Talaing is also the language of many of the inscriptions for the 1,500 panels, containing sculptures of the Buddha's life, which adorn the temple	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-35267dc286	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 6	inscription_marker	inscriptions	; and Talaing is also the language of many of the inscriptions for the 1,500 panels, containing sculptures of the Buddha's life, which adorn the temple.	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-417a8c6f2a	1919-writingburmesehistory-hall1919-pdf	jbrs-ocr-0879	WritingBurmeseHistory-Hall1919.pdf	page 7	inscription_marker	inscription	 ever really occupied Pagan; however, a Mongolian inscription has been found Copyright© 1998 - Myanmar Book Centre & Book Promotion & Service Ltd, Bang	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-b101d00a92	1920-authors-bathein1920-inburmese-pdf	jbrs-ocr-0887	Authors_BaThein1920-inBurmese.pdf	page 1	translation_marker	translated	Maung Aung Hpyo. A DICTIONARY OF BURMESE AUTHORS. TRANSLATED FROM U BA THEIN'S Prize ARTICLE. By G. H. LUCE AND MAUNG BA KYA. Known as Zetawun-hsayada	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-4ee59bd966	1920-authors-bathein1920-inburmese-pdf	jbrs-ocr-0887	Authors_BaThein1920-inBurmese.pdf	page 10	translation_marker	translated	the Crown Prince as a clerk. While so engaged, he translated the Enaungzat from Siamese into Burmese and wrote a drama based on it with songs adapted 	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-c969a2b458	1920-authors-bathein1920-inburmese-pdf	jbrs-ocr-0887	Authors_BaThein1920-inBurmese.pdf	page 16	translation_marker	translation	 Byu's articles on Shin Uttamagyaw and his Tawla (translation by Maung Ba Han) in J. B. R. S. Vol. VII Part II p. 159 etc. and eight subsequent numbers	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-4c0229cb18	1920-authors-bathein1920-inburmese-pdf	jbrs-ocr-0887	Authors_BaThein1920-inBurmese.pdf	page 6	inscription_marker	inscription	 - pyo ; Baikman yatana kyaungdaw- kyauksa (i. e. Inscription in the royal monastery of Yatanabeik- man): Mahaweran bonthay- kyaung-mawgun; many yadu. 	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-30a8f3e06c	1920-bayinnaung-sayalun1920-inburmese-pdf	jbrs-ocr-0888	Bayinnaung_SayaLun1920-inBurmese.pdf	page 1	translation_marker	translated	116 LIFE OF BAYIN-NAUNG. By Saya Lun. TRANSLATED BY MAUNG BA KYA. Mingyi-nyo (fl. 1485-1530 A. D.) took to wife a daughter of the headman 	Mon	non_burmese_inscriptional_context	medium	Review OCR text for published translation boundaries.	
jbrs-ocr-hit-ba7fc86537	1920-bayinnaung-sayalun1920-inburmese-pdf	jbrs-ocr-0888	Bayinnaung_SayaLun1920-inBurmese.pdf	page 3	translation_marker	translation	he time of his death in 1581 A. D. (2). A Burmese translation of the Talaing Wagaru Dhammathat of the 13th century. Copyright© 1998 - Myanmar Book Cent	Mon	non_burmese_inscriptional_context	medium	Review OCR text for published translation boundaries.	
jbrs-ocr-hit-d2fa206d24	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf		citation_reference_seed	The Shwegugyi Pagoda Inscription, Pagan, 1141 A.D. (JBRS 10(2), 1920, pp. 67-74)	u pe maung tin | 1920 | 10 | 2 | 67 74 | luce	Pali	pali_only_not_burmese_corpus_material	medium	Prioritize OCR review around the cited section.	Structured citation seed from jbrs_corpus_citation_priority_queue.tsv.
jbrs-ocr-hit-a552718023	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 1	inscription_marker	inscription	THE SHWEGUGYI PAGODA INSCRIPTION, PAGAN, 1141, A.D. The inscription here transliterated and trans- lated is the one found 	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-ef91f38354	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 1	inscription_marker	inscriptions	ted in Burmese characters on pages 159 164 of the Inscriptions of Pagan, Pinya and Ava 1892. As we have had no op- portunity of examining the actual sto	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-e9aedd3fc3	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 1	text_marker	pali text	tting our translation into blank verse. --Editor. PALI TEXT. Sri namo buddhāya: I. 2. Yo kämapankagahaṇaṁ taritum nisamma Nalam tilokam akhilaṁ varad	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-21f44cf240	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 1	text_marker	text.	stampages we do not guarantee the accuracy of the text. But we believe there are not any im- portant errors in the printed text. U Tun Nyein give	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-1e25d8b342	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 1	translation_marker	translation	xt. U Tun Nyein gives too free a rendering in his translation of the Inscriptions of Pagan, Pinya and Ava. The Inscription is in Pali verse of great po	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-541838790d	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 2	inscription_marker	inscription	68 THE SHWEGUGYI PAGODA INSCRIPTION, PAGAN, 1141, A. D. Rūpādi dasaṭhānehi aññe deve atikkami. 8. Cakkavāļasahassehi dasah' ā	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-8e9750fe83	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 3	inscription_marker	inscription	THE SHWEGUGYI PAGODA INSCRIPTION, PAGAN, 1141, A. D. 69 69 22. Tibhuvanädiccapavaradhammarājā ti vis-. suto Rājā āsi mahāp	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-81fc9c0886	1920-shwegugyiinscription-luce1920-pdf	jbrs-ocr-0898	ShwegugyiInscription-Luce1920.pdf	page 4	inscription_marker	inscription	70 THE SHWEGUGYI PAGODA INSCRIPTION, PAGAN, 1141, A. D. Patvesipatanaṁ rammaṁ dijasanghanise- vitaṁ. Pañcavaggiyatherānaṁ dha	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
