translation_unit_id	linked_corpus_record_id	linked_inscription_id	title_original	source_key	source_locator	translation_status	translation_coverage	translation_coverage_basis	translation_length_chars	line_count_for_record	has_full_transliteration	review_priority	notes
tn-translation-1899-plate-lxxvi-tn-102-103	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 102-103 (Plate LXXVI; OCR pages 115, 116)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	2892	44	true	high	version_label=TN locator TN 102-103; source_iob_plate=Plate LXXVI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxviii-a-tn-106	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 106 (Plate LXXVIII a; OCR pages 119)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1605	44	true	high	version_label=TN locator TN 106; source_iob_plate=Plate LXXVIII a; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxix-b-tn-108-109	obi-v01-n0146-tx-p0246	obi-v01-n0146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 108 109 (Plate LXXIX b; OCR pages 121, 122)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	3200	36	true	high	version_label=TN locator TN 108 109; source_iob_plate=Plate LXXIX b; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-vi-tn-65-66	obi-v01-n0021-ob-p0042	obi-v01-n0021	တိုင်းချွတ်ဘုရားကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 65-66 (Plate VI; OCR pages 78, 79)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1250	27	true	high	version_label=TN locator TN 65-66; source_iob_plate=Plate VI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-xli-tn-69	obi-v01-n0070-ob-p0111	obi-v01-n0070	နားတောင်းသိခင်ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 69 (Plate XLI; OCR pages 82)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1041	20	true	high	version_label=TN locator TN 69; source_iob_plate=Plate XLI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-xiii-tn-79	obi-v01-n0027-ob-p0048	obi-v01-n0027	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၂	tnInscriptionsPaganPinyaAva	TN 79 (Plate XIII; OCR pages 92)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	2078	24	true	high	version_label=TN locator TN 79; source_iob_plate=Plate XIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxii-tn-82-83	obi-v01-n0130-ob-p0211	obi-v01-n0130	သိခင် ငစွယ်သင် ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 82-83 (Plate LXII; OCR pages 95, 96)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	990	28	true	high	version_label=TN locator TN 82-83; source_iob_plate=Plate LXII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxxviii-tn-84	obi-v01-n0161-ob-p0270	obi-v01-n0161	ငမျင်ခင် ည္အ်စ်ကိုကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 84 (Plate LXXXVIII; OCR pages 97)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	969	21	true	high	version_label=TN locator TN 84; source_iob_plate=Plate LXXXVIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxxv-tn-84-85	obi-v01-n0154-ob-p0257	obi-v01-n0154	မင်းဆရာ ပိတရစ် ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 84 85 (Plate LXXXV; OCR pages 97, 98)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1907	34	true	high	version_label=TN locator TN 84 85; source_iob_plate=Plate LXXXV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-ci-tn-85-86	obi-v01-n0178-tx-p0305	obi-v01-n0178	ငါဆုသင် မောင်နှံ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 85 86 (Plate CI; OCR pages 98, 99)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1189	26	true	high	version_label=TN locator TN 85 86; source_iob_plate=Plate CI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxvii-tn-105	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 105 (Plate LXXVII; OCR pages 118)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1134	44	true	high	version_label=TN locator TN 105; source_iob_plate=Plate LXXVII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxxiii-tn-107	obi-v01-n0128-ob-p0208	obi-v01-n0128	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 107 (Plate LXXXIII; OCR pages 120)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	717	22	true	high	version_label=TN locator TN 107; source_iob_plate=Plate LXXXIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxviii-tn-107-108	obi-v01-n0143-ob-p0240	obi-v01-n0143	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 107-108 (Plate LXVIII; OCR pages 120, 121)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	930	29	true	high	version_label=TN locator TN 107-108; source_iob_plate=Plate LXVIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-l-tn-27-28	obi-v01-n0057-ob-p0091	obi-v01-n0057	ကြံသိုင်းမယား ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 27-28 (Plate L; OCR pages 40, 41)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	2354	31	true	high	version_label=TN locator TN 27-28; source_iob_plate=Plate L; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-xciii-tn-28-29	obi-v01-n0169-ob-p0287	obi-v01-n0169	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 28-29 (Plate XCIII; OCR pages 41, 42)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	2373	28	true	high	version_label=TN locator TN 28-29; source_iob_plate=Plate XCIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-li-tn-28	obi-v01-n0095-re-p0142	obi-v01-n0095	ကြံသိုင်းကြီးသမီးကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 28 (Plate LI; OCR pages 41)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1034	23	true	high	version_label=TN locator TN 28; source_iob_plate=Plate LI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxi-tn-6-no-12	obi-v01-n0148-ob-p0249	obi-v01-n0148	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 6 (No. (12) segment; Plate LXXI / List 224 / PPA 17; OCR page 19)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	392	21	true	high	version_label=TN locator TN 6; subentry=No. (12) only; source_iob_plate=Plate LXXI; linked via TN p.6 / List 224 / PPA 17 / IOB1-71 concordance.
tn-translation-1899-plate-cv-a-tn-30-86-87	obi-v01-n0179-tx-p0306	obi-v01-n0179	အမတ် ညာဏပိစည်း ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 30 | TN 86-87 (Plate CV a; OCR pages 43, 99, 100)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	3247	47	true	high	version_label=TN locator TN 30 | TN 86-87; source_iob_plate=Plate CV a; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-xcviii-tn-143	obi-v01-n0129-tx-p0209	obi-v01-n0129	သိခင်မြင်းခုန်တိုင်ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 143 (Plate XCVIII; OCR pages 156)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	665	27	true	high	version_label=TN locator TN 143; source_iob_plate=Plate XCVIII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-xxxi-tn-36-57-no-1	obi-v01-n0052-ob-p0083	obi-v01-n0052	နားတောင်းများမင်းကြီးကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 36-57 (Plate XXXI, No. (1) obverse segment; OCR pages 49-70)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	3135	38	true	high	version_label=TN locator TN 36-57; subentry=No. (1) obverse only; source_iob_plate=Plate XXXI; cross_witness=SIP 29 / List 273(a) / PPA 109-111.
tn-translation-1899-plate-i-tn-73-76-no-1	obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 73-76 (Plate I, No. (1) segment before No. (2); OCR pages 86-89)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	7743	47	true	high	version_label=TN locator TN 73-76; subentry=No. (1) only; source_iob_plate=Plate I; linked via List 66(a) / PPA 159 / TN p.73 concordance.
tn-translation-1899-plate-xxxvii-tn-81-no-6	obi-v01-n0063-ob-p0099	obi-v01-n0063	သင်ကြီး ဓမ္မပါလ်ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 81 (Plate XXXVII, No. (6) segment before No. (7); OCR page 94)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1007	21	true	high	version_label=TN locator TN 81; subentry=No. (6) only; source_iob_plate=Plate XXXVII; linked via List 175 / PPA 169 / TN p.81 concordance.
