record_id	source_volume	source_inscription_number	source_page	face	title_original	source_file
obi-v01-n0134-ob-p0215	1	134	215	obverse	မဟာဒါနပတိအမတ်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No134__ob_p215.txt
obi-v01-n0134-re-p0216	1	134	216	reverse	မဟာဒါနပတိအမတ်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No134__re_p216.txt
obi-v01-n0135-ob-p0218	1	135	218	obverse	စောမင်းလတ်ဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No135__ob_p218.txt
obi-v01-n0136-re-p0220	1	136	220	reverse	သိခင်စောနှင့် သိခင်နောင်ငဲ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No136__re_p220.txt
obi-v01-n0137-ob-p0221	1	137	221	obverse	ဓမ္မရာဇဝိလတ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No137__ob_p221.txt
obi-v01-n0138-ob-p0222	1	138	222	obverse	အမတ် အစလပိဇည်တို့ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No138__ob_p222.txt
obi-v01-n0139-ob-p0224	1	139	224	obverse	စည်သူမင်းကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No139__ob_p224.txt
obi-v01-n0013-ob-p0032	1	13	32	obverse	ငတရော်ရွာကြီးမှ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No13__ob_p32.txt
obi-v01-n0140-ob-p0226	1	140	226	obverse	သင်ကြီး ငါဖုန်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No140__ob_p226.txt
obi-v01-n0141-ob-p0227	1	141	227	obverse	မင်းကြီး အသင်္ခယာကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No141__ob_p227.txt
obi-v01-n0141-re-p0229	1	141	229	reverse	မင်းကြီး အသင်္ခယာကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No141__re_p229.txt
obi-v01-n0142-tx-p0229	1	142	229	east	လေးမျက်နှာဘုရားကျောက်စာရုံ အမှတ် ၃ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No142__ea_p229.txt
obi-v01-n0142-tx-p0233	1	142	233	north	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No142__no_p233.txt
obi-v01-n0142-tx-p0238	1	142	238	south	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No142__so_p238.txt
obi-v01-n0142-tx-p0235	1	142	235	west	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No142__we_p235.txt
obi-v01-n0143-ob-p0240	1	143	240	obverse	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No143__ob_p240.txt
obi-v01-n0144-re-p0242	1	144	242	reverse	စောမင်းလတ်ဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No144__re_p242.txt
obi-v01-n0145-ob-p0244	1	145	244	obverse	တိုင်းရင်းပုံ ၉၅~ခ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No145__ob_p244.txt
obi-v01-n0146-tx-p0245	1	146	245	east	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No146__ea_p245.txt
obi-v01-n0146-tx-p0246	1	146	246	west	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No146__we_p246.txt
obi-v01-n0147-re-p0248	1	147	248	reverse	သိခင်အနန္တပျံခိကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No147__re_p248.txt
obi-v01-n0148-ob-p0249	1	148	249	obverse	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No148__ob_p249.txt
obi-v01-n0148-re-p0250	1	148	250	reverse	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No148__re_p250.txt
obi-v01-n0149-ob-p0251	1	149	251	obverse	သင်္ဃိုင် ဗုဒ္ဓရံသိ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No149__ob_p251.txt
obi-v01-n0014-ob-p0033	1	14	33	obverse	စည်သူမင်းကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No14__ob_p33.txt
obi-v01-n0150-tx-p0253	1	150	253	east	သိခင်မြင်းခုန်တိုင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No150__ea_p253.txt
obi-v01-n0151-ob-p0255	1	151	255	obverse	မန္တလေးနန်းတွင်းရုံကျောက်စာတိုင်အမှတ် ၃၂၄ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No151__ob_p255.txt
obi-v01-n0152-ob-p0255	1	152	255	obverse	သူကြွယ် ငါလွယ့်သင်မယားနှင့် ခင်ပသင်ငါယ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No152__ob_p255.txt
obi-v01-n0153-ob-p0256	1	153	256	obverse	ကစ္စ်ပိုလ်လင်မယားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No153__ob_p256.txt
obi-v01-n0154-ob-p0257	1	154	257	obverse	မင်းဆရာ ပိတရစ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No154__ob_p257.txt
obi-v01-n0155-ob-p0259	1	155	259	obverse	သူကြွယ် ငစွယ်သင် မောင်နှံကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No155__ob_p259.txt
obi-v01-n0156-tx-p0260	1	156	260	east	ရတနာကုံထန် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No156__ea_p260.txt
obi-v01-n0156-tx-p0262	1	156	262	west	ရတနာကုံထန် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No156__we_p262.txt
obi-v01-n0157-ob-p0263	1	157	263	obverse	သူကြွယ် ငါစပါသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No157__ob_p263.txt
obi-v01-n0158-re-p0264	1	158	264	reverse	ငါစုံသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No158__re_p264.txt
obi-v01-n0158-tx-p0265	1	158	265	side	ငါစုံသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No158__si_p265.txt
obi-v01-n0159-ob-p0265	1	159	265	obverse	မင်းသား ထောက်လှော်ကား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No159__ob_p265.txt
obi-v01-n0015-ob-p0034	1	15	34	obverse	စခီဖုနာ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No15__ob_p34.txt
obi-v01-n0160-ob-p0267	1	160	267	obverse	ဇေယျသွတ်ဘုရား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No160__ob_p267.txt
obi-v01-n0161-ob-p0270	1	161	270	obverse	ငမျင်ခင် ည္အ်စ်ကိုကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No161__ob_p270.txt
obi-v01-n0162-tx-p0272	1	162	272	south	အိုပ္လည်ဝသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No162__so_p272.txt
obi-v01-n0163-re-p0273	1	163	273	reverse	မဟာသေနာပတိ အနန္တသူ၊ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No163__re_p273.txt
obi-v01-n0164-ob-p0274	1	164	274	obverse	ငါပေါင်သင်နှင့် ငါမ္လိယ်သင်တို့ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No164__ob_p274.txt
obi-v01-n0165-re-p0275	1	165	275	reverse	ဇေယျသွတ်ဘုရား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No165__re_p275.txt
obi-v01-n0166-ob-p0278	1	166	278	obverse	မင်းရာဇသူရကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No166__ob_p278.txt
obi-v01-n0166-re-p0281	1	166	281	reverse	မင်းရာဇသူရကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No166__re_p281.txt
obi-v01-n0167-ob-p0282	1	167	282	obverse	မင်းရာဇသူကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No167__ob_p282.txt
obi-v01-n0168-re-p0284	1	168	284	reverse	မင်းရာဇသူ လင်မယားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No168__re_p284.txt
obi-v01-n0169-ob-p0287	1	169	287	obverse	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No169__ob_p287.txt
obi-v01-n0016-ob-p0035	1	16	35	obverse	မြတ်ကြီးစွာ ခဲတောင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No16__ob_p35.txt
obi-v01-n0170-ob-p0289	1	170	289	obverse	သီရိမဟာဓမ္မရာဇပဏ္ဍိတ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No170__ob_p289.txt
obi-v01-n0170-re-p0289	1	170	289	reverse	သီရိမဟာဓမ္မရာဇပဏ္ဍိတ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No170__re_p289.txt
obi-v01-n0171-ob-p0290	1	171	290	obverse	မန္တလေး နန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၃၅၄ ကျောက်နှစ်	OBI_Corpus_Vol1/OBI_Vol1_No171__ob_p290.txt
obi-v01-n0172-ob-p0291	1	172	291	obverse	ရာဇသူရ သမီးမောင်နှံ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No172__ob_p291.txt
obi-v01-n0172-re-p0294	1	172	294	reverse	ရာဇသူရ သမီးမောင်နှံ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No172__re_p294.txt
obi-v01-n0173-ob-p0298	1	173	298	obverse	သိခင်မဟာထေရ် သုန္ဒရကဝိ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No173__ob_p298.txt
obi-v01-n0174-ob-p0298	1	174	298	obverse	အမတ် အသဝတ်ဓမ္မာ မယားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No174__ob_p298.txt
obi-v01-n0174-re-p0300	1	174	300	reverse	အမတ် အသဝတ်ဓမ္မာ မယား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No174__re_p300.txt
obi-v01-n0175-ob-p0302	1	175	302	obverse	ဥတ်တြာကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No175__ob_p302.txt
obi-v01-n0176-tx-p0302	1	176	302	north	ငကြီသင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No176__no_p302.txt
obi-v01-n0177-ob-p0304	1	177	304	obverse	ငါတင်သင် ယောက်ခမ စသောသူတို့ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No177__ob_p304.txt
obi-v01-n0178-tx-p0305	1	178	305	west	ငါဆုသင် မောင်နှံ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No178__we_p305.txt
obi-v01-n0179-tx-p0306	1	179	306	west	အမတ် ညာဏပိစည်း ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No179__we_p306.txt
obi-v01-n0017-ob-p0037	1	17	37	obverse	ဖုန်းမြတ်သားပြည့်စုံကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No17__ob_p37.txt
obi-v01-n0180-ob-p0309	1	180	309	obverse	မဟာ ကဿပကျောင်းကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No180__ob_p309.txt
obi-v01-n0181-ob-p0311	1	181	311	obverse	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No181__ob_p311.txt
obi-v01-n0181-re-p0313	1	181	313	reverse	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No181__re_p313.txt
obi-v01-n0182-ob-p0314	1	182	314	obverse	ငါပိုက်သင် လယ်မယား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No182__ob_p314.txt
obi-v01-n0183-ob-p0315	1	183	315	obverse	ငါမင်သင် လင်မယား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No183__ob_p315.txt
obi-v01-n0184-ob-p0316	1	184	316	obverse	အိုပ္လည်ဝသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No184__ob_p316.txt
obi-v01-n0185-ob-p0318	1	185	318	obverse	အမတ်တျာဗိစည်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No185__ob_p318.txt
obi-v01-n0186-ob-p0319	1	186	319	obverse	မြင်းကပါ ပိဇယ်တို့ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No186__ob_p319.txt
obi-v01-n0187-ob-p0320	1	187	320	obverse	သံဗျင်သက်ရှည်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No187__ob_p320.txt
obi-v01-n0188-ob-p0321	1	188	321	obverse	ဂဝံကျောင်း ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No188__ob_p321.txt
obi-v01-n0189-ob-p0322	1	189	322	obverse	မနူဟာဘုရား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No189__ob_p322.txt
obi-v01-n0018-ob-p0038	1	18	38	obverse	နတ်မောက်မြို့နယ် တောင်ထောင့်ရွာမှကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No18__ob_p38.txt
obi-v01-n0190-ob-p0324	1	190	324	obverse	တောင်ခံနှင့် ဇယ်သဘင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No190__ob_p324.txt
obi-v01-n0191-ob-p0325	1	191	325	obverse	အမတ် သမန်ဘတြာ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No191__ob_p325.txt
obi-v01-n0191-re-p0326	1	191	326	reverse	အမတ် သမန်ဘတြာ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No191__re_p326.txt
obi-v01-n0192-ob-p0326	1	192	326	obverse	မတိမာ မထေရ်ကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No192__ob_p326.txt
obi-v01-n0193-ob-p0328	1	193	328	obverse	ရန်အောင်မြင်ဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No193__ob_p328.txt
obi-v01-n0194-ob-p0329	1	194	329	obverse	ပရိမ္မထီးလိုင်သျှင်ဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No194__ob_p329.txt
obi-v01-n0194-re-p0330	1	194	330	reverse	ပရိမ္မထီးလိုင်သျှင်ဘုရား၊ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No194__re_p330.txt
obi-v01-n0195-ob-p0331	1	195	331	obverse	လှည်းထောင်ဘုရား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No195__ob_p331.txt
obi-v01-n0196-ob-p0333	1	196	333	obverse	သျင်ဝလင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No196__ob_p333.txt
obi-v01-n0196-re-p0334	1	196	334	reverse	သျင်ဝလင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No196__re_p334.txt
obi-v01-n0197-ob-p0334	1	197	334	obverse	သင်ကြီးငါက္လင်ဂံသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No197__ob_p334.txt
obi-v01-n0197-re-p0336	1	197	336	reverse	သင်ကြီးငါက္လင်ဂံသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No197__re_p336.txt
obi-v01-n0198-ob-p0337	1	198	337	obverse	သူကြွယ် ငကူလာသင် သိမ်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No198__ob_p337.txt
obi-v01-n0199-ob-p0339	1	199	339	obverse	မင်းရှင်စော ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No199__ob_p339.txt
obi-v01-n0199-re-p0340	1	199	340	reverse	မင်းရှင်စောကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No199__re_p340.txt
obi-v01-n0019-ob-p0040	1	19	40	obverse	သင်ကြီးငါယန်သင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No19__ob_p40.txt
obi-v01-n0001-tx-p0001	1	1	1		မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	OBI_Corpus_Vol1/OBI_Vol1_No1_mya__p1.txt
obi-v01-n0001-tx-p0002	1	1	2		မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	OBI_Corpus_Vol1/OBI_Vol1_No1_pali__p2.txt
obi-v01-n0200-ob-p0340	1	200	340	obverse	ငမဲတောင်ဦးဘုရားအနီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No200__ob_p340.txt
obi-v01-n0201-re-p0342	1	201	342	reverse	တိုက်သူကြီး ငပုံသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No201__re_p342.txt
obi-v01-n0202-re-p0343	1	202	343	reverse	ကွန်းကတင်ဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No202__re_p343.txt
obi-v01-n0203-ob-p0344	1	203	344	obverse	မင်းမတ်ကြီး စယ်ဘတြာကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No203__ob_p344.txt
obi-v01-n0204-ob-p0345	1	204	345	obverse	မန္တလေးနန်းတွင်းရုံတွင် အမှတ် ၅၀၁ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No204__ob_p345.txt
obi-v01-n0204-re-p0346	1	204	346	reverse	မန္တလေးနန်းတွင်းရုံ အမှတ် ၅၀၁ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No204__re_p346.txt
obi-v01-n0205-ob-p0347	1	205	347	obverse	စူဠာမဏိဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No205__ob_p347.txt
obi-v01-n0206-ob-p0350	1	206	350	obverse	စူဠပန်မဟာထေရ် ကုလားကျောင်းကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No206__ob_p350.txt
obi-v01-n0206-re-p0351	1	206	351	reverse	စူဠပန်မဟာထေရ် ကုလားကျောင်း ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No206__re_p351.txt
obi-v01-n0207-ob-p0352	1	207	352	obverse	နားတောင်းတတ်ဘုရား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No207__ob_p352.txt
obi-v01-n0208-ob-p0353	1	208	353	obverse	သင်ကြီး ငါပုသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No208__ob_p353.txt
obi-v01-n0209-ob-p0354	1	209	354	obverse	စာကြိုဘုရားလှကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No209__ob_p354.txt
obi-v01-n0209-re-p0355	1	209	355	reverse	စာကြိုဘုရားလှ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No209__re_p355.txt
obi-v01-n0020-ob-p0041	1	20	41	obverse	ငါပေါင်သင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No20__ob_p41.txt
obi-v01-n0210-ob-p0357	1	210	357	obverse	ရတနာပုံ မိဖုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No210__ob_p357.txt
