candidate_id	acronym	raw_context_before	match_text	raw_context_after	source_location_hint	looks_like_definition	looks_like_usage	confidence	notes
bagan_epig_database-c4cfc990741f:mm:context4	MM	temple and ded. of land to it, demarcations Location: Puttalin temple, Bagan; Mandalay Mahamuni no. 799 References: List 3 = B 2, p. 799 =	MM	1, no. 2, p. 5 Remarks: copy Number: B 379-1 Date: CS 379 = CE 1017 Donor: king Anawrahta Contents: constr. of temple and ded. of land to	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:mp:context1	MP	Number: A Date: ? Donor: Ṅā Chuṁ Sā Saṅ, saṁbeṅ Ramana Saṅ and Uttamaṅgala Contents: ded. of 48 serfs and 22 pay Location: Kazun-o temple (I	MP	781), East Phwazaw, Bagan; in situ References: Pl. I 25 = OBI 2, p. 165 = List 1299a Remarks: reverse (Pl. I 26) dated CS 615/ 1253, but in	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:mp:context2	MP	00 pay; he is joined by his sister and his mother; grand total 3139 pay Location: “Mahathi-kyaung, about a mile S of Bagan” = Kubyauk-nge (I	MP	1391), Bagan; in situ References: Pl. I 63 = OBI 1, p. 129 = UEM no. 26, p. 49 = List 185 = PPA, p. 212 = TN, p. 98 Remarks: reverse dated	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:mp:context3	MP	dated fragment, perhaps belonging to obverse Pl. III 232b Number: A Date: Donor: ? Contents: ? Location: Mt. Thetso, in collection near I	MP	2223; in situ References: Pl. III 303 = OBI 1, p. 19 = UEM, no. 1, p. 1; RSASB 1926, p. 26 Remarks: judged by the spellings, a 12th centu-	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:mp:context4	MP	as CS 5.. = CE 12.. ? Donor: wife of Sattyapicaññ Contents: ded. of serfs and fields to the standing image Location: NE of Kassapa temple (I	MP	586 ?); Minnanthu, Bagan; Bagan Museum stone 152 References: Pl. III 342a+b and Pl. III 343 a+b = OBI 2, p. 248 (parts missing) Remarks: fr	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:obi:context1	OBI	d Uttamaṅgala Contents: ded. of 48 serfs and 22 pay Location: Kazun-o temple (IMP 781), East Phwazaw, Bagan; in situ References: Pl. I 25 =	OBI	2, p. 165 = List 1299a Remarks: reverse (Pl. I 26) dated CS 615/ 1253, but in different hand Number: A Date: ? Donor: illeg., Ṅā Pan Cat	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:obi:context2	OBI	te: ? Donor: illeg., Ṅā Pan Cat Saṅ et al. Contents: ded. of serfs and fields Location: ?; Mandalay Palace stone 38 References: Pl. I 30b =	OBI	2, p. 189 = List 169b = A, p. 56 Remarks: obverse (Pl. I 30a) dated CS 619/ 1257 Number: A Date: CS 560 = CE 1198; CS 580 = CE 1218; CS 5	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:obi:context3	OBI	ist 169b = A, p. 56 Remarks: obverse (Pl. I 30a) dated CS 619/ 1257 Number: A Date: CS 560 = CE 1198; CS 580 = CE 1218; CS 582 = CE 1220 (	OBI	) Donor: (a) king Nadaungmya, (b) sister Acaw Maṅ Lha and queen Myakanthi (Mrakan- saññ) Contents: the king who had promised to reward his t	context hit 3	false	true	low	
bagan_epig_database-c4cfc990741f:obi:context4	OBI	r; grand total 3139 pay Location: “Mahathi-kyaung, about a mile S of Bagan” = Kubyauk-nge (IMP 1391), Bagan; in situ References: Pl. I 63 =	OBI	1, p. 129 = UEM no. 26, p. 49 = List 185 = PPA, p. 212 = TN, p. 98 Remarks: reverse dated CS 585/1223; if (a) and (b) are separate deds., t	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:or:context1	OR	yanzittha Contents: ded. of land Location: Min-o-chantha, Bagan; Mandalay Mahamuni no. 65 References: List 41 = B 2, p. 763 = MM 1, p. ?;	OR	6452 B (1), no. 23 Remarks: copy Number: B 453-1 Date: CS 453 = CE 1091 Donor: king Alaungsithu Contents: ded. of serfs and land Locati	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:or:context2	OR	land and its demarcation Location: “Yan-aung-myin” temple, Bagan; Mandalay Palace stone 6 References: OBI 1, p. 328 = List 48 = A, p. 16;	OR	6452 B (1), nos. 22 and 26 Remarks: copy; line 1 in verse; OR has dates CS 355/993 and 411/1049 Number: B 469-1 Date: CS 469 = CE 1107 Do	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:or:context3	OR	agan; Mandalay Palace stone 6 References: OBI 1, p. 328 = List 48 = A, p. 16; OR 6452 B (1), nos. 22 and 26 Remarks: copy; line 1 in verse;	OR	has dates CS 355/993 and 411/1049 Number: B 469-1 Date: CS 469 = CE 1107 Donor: king Dhiluiṅ-syaṅ (Kyanzittha) Contents: founding of a ce	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:or:context4	OR	. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28; Ray, Theravada Buddhism, p. 108;	OR	3475, no. 18 Remarks: - Number: B 494-1 Date: CS 494 = CE 1132 Donor: king Sithu Contents: constr. of Shwemuttaw temple and seven other	context hit 4	false	true	low	
bagan_epig_database-c4cfc990741f:ppa:context1	PPA	ng, about a mile S of Bagan” = Kubyauk-nge (IMP 1391), Bagan; in situ References: Pl. I 63 = OBI 1, p. 129 = UEM no. 26, p. 49 = List 185 =	PPA	, p. 212 = TN, p. 98 Remarks: reverse dated CS 585/1223; if (a) and (b) are separate deds., the first date should be later than 1211 CE Nu	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:ppa:context2	PPA	: A Date: ? Donor: ? Contents: list of names, apparently serfs ded. to a temple Location: Mahabodhi, Bagan; lost? References: List 1253 =	PPA	, p. 197 Remarks: Luce Fragmente ?? => checken Number: A Date: ? Donor: ? Contents: a ded. of land and its demarcations Location: “withi	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:ppa:context3	PPA	ts: a ded. of land and its demarcations Location: “within the large cave”, Kyaukku Umin (IMP 154), Bagan; in situ ? References: List 1256 =	PPA	, p. 315 = TN, p. 145 Remarks: probably from post-Bagan period; no reference to this inscr. in IMP Number: A Date: ? Donor: ? Contents: ?	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:ppa:context4	PPA	r: A Date: ? Donor: ? Contents: ? Location: “within the large cave”, Kyaukku Umin (IMP 154), Bagan; now ? References: List 1257 and 1258 =	PPA	, p. 316-7 = TN, p. 145 Remarks: “they are so obliterated that even the number of lines on them cannot be counted” (Tun Nyein) Number: A	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:pl:context1	Pl.	riptions with Uncertain Dates Number: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 291 (S face) References:	Pl.	I 9b = Luce/U Pe Maung Tin, BBHC 3, p. xxx Remarks: fragment; reverse (Pl. I 9a) dated CS 555/1193, in different hand Number: A Date: ? D	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:pl:context2	Pl.	gen Location: ?; Mandalay Palace stone 291 (S face) References: Pl. I 9b = Luce/U Pe Maung Tin, BBHC 3, p. xxx Remarks: fragment; reverse (	Pl.	I 9a) dated CS 555/1193, in different hand Number: A Date: ? Donor: Ṅā Chuṁ Sā Saṅ, saṁbeṅ Ramana Saṅ and Uttamaṅgala Contents: ded. of 4	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:pl:context3	Pl.	mana Saṅ and Uttamaṅgala Contents: ded. of 48 serfs and 22 pay Location: Kazun-o temple (IMP 781), East Phwazaw, Bagan; in situ References:	Pl.	I 25 = OBI 2, p. 165 = List 1299a Remarks: reverse (Pl. I 26) dated CS 615/ 1253, but in different hand Number: A Date: ? Donor: illeg.,	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:pl:context4	Pl.	22 pay Location: Kazun-o temple (IMP 781), East Phwazaw, Bagan; in situ References: Pl. I 25 = OBI 2, p. 165 = List 1299a Remarks: reverse (	Pl.	I 26) dated CS 615/ 1253, but in different hand Number: A Date: ? Donor: illeg., Ṅā Pan Cat Saṅ et al. Contents: ded. of serfs and fields	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:rdasb:context1	RDASB	rds to the NW of Shwe-leik-u ceti (IMP 257), NE of Htilominlo”, i. e. Shwe-leik-pauk temple (IMP 258), Bagan; now ? References: Pl. V 557c;	RDASB	1938, p. xi, and app. H, no. 5 Remarks: fragment Number: A Date: ? Donor: a couple Contents: a donation of 5 serfs, imprecation and witne	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:rdasb:context2	RDASB	a couple Contents: a donation of 5 serfs, imprecation and witnesses Location: Myauk-hle-gu, Bagan (IMP 234); now ? References: Pl. V 558a;	RDASB	1938, p. xii, and app. H, no. 19 Remarks: fragmentary (top missing); writing probably late Bagan period Number: A Date: ? Donor: ? Conten	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:rdasb:context3	RDASB	Auiw ... and others Contents: ded. of serfs Location: Shinbin-settawya temple, Nyisu vill., Sale distr.; in situ References: OBI 1, p. 304;	RDASB	1961, p. 14- 5; U Hswai, JBRS 48 (2), 1965, p. 67, no. 9 Remarks: fragmentary Number: A Date: ? Donor: ? Contents: ? Location: “from a si	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:rdasb:context4	RDASB	Sithu, Ṅā Thuy Saṅ Contents: ded. of sugar palms and land to three temples Location: ?; Mandalay Palace stone 596 References: OBI 1, p. 33;	RDASB	1963, p. 27-8 Remarks: from the lot of inscr. found in a trench near Amarapura; could be an 18th century transfer copy Number: B 530-2 D	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:sip:context1	SIP	. of 1000 pay and a litter to him Location: Htilaingshin temple, Pareimma vill.; Mandalay Palace stone 5 References: List 49 = OBI 1, 329 =	SIP	no. 3, p. 3 = A, p. 18 = MP, p. 13; cp. A, p. 17 (first part) Remarks: copy; reverse (List 111) dated CS 545/1183 Number: B 472-1 Date: C	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:sip:context2	SIP	; ded. of demarcated land to it Location: Lhe-tauk temple, Taungpyon,; Man- dalay Palace stone 4 References: List 50 a+b = OBI 1, p. 331 =	SIP	no. 4, p. 4 = A, p. 19 = TN, p. = MP 1, p. 5; Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.) Remarks: copy; continuation on reverse	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:sip:context3	SIP	ded. of 40 pay Location: Taing-chut temple (IMP 1957), Ba- gan; in situ; copies Mandalay Mahamuni nos. 70 and 173 References: Pl. IV 476 =	SIP	no. 6, p. 11 = List 533 = PPA, p. 137 = TN, p. 64; List 63 = B 2, p. 765 = MM 1, no. 33, p. 297; MM 4, p. 22, p. 99 Remarks: perhaps not or	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:sip:context4	SIP	a temple and ded. land to it (rest illegible) Location: Bagan?; Mandalay Palace stone 501 References: List 73 = OBI 1, p. 346 = A, p. 28 =	SIP	no. 17, p. 13 Remarks: not original (14th c. ?); reverse dated CS 538/1176 Number: B 513-4 Date: CS 5(13) = CE 1151 Donor: Maṅ Lhyaṅ Caw	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:tn:context1	TN	le S of Bagan” = Kubyauk-nge (IMP 1391), Bagan; in situ References: Pl. I 63 = OBI 1, p. 129 = UEM no. 26, p. 49 = List 185 = PPA, p. 212 =	TN	, p. 98 Remarks: reverse dated CS 585/1223; if (a) and (b) are separate deds., the first date should be later than 1211 CE Number: A Date:	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:tn:context2	TN	land and its demarcations Location: “within the large cave”, Kyaukku Umin (IMP 154), Bagan; in situ ? References: List 1256 = PPA, p. 315 =	TN	, p. 145 Remarks: probably from post-Bagan period; no reference to this inscr. in IMP Number: A Date: ? Donor: ? Contents: ? Location: “w	context hit 2	true	false	medium	
