source_file_id	source_file_label	section_heading	section_text_excerpt	contains_priority_acronyms	acronyms_found	extraction_confidence	notes
frasch_pyu_handlist-6b71d0f8bfb8	Frasch Pyu handlist.pdf	Bibliography	"Bibliography U Aung Thaw 1968. Report on the Excavations at Beikthano. Rangoon: Ministry of Culture. U Aung Thaw 1968. ""New light on Pyu culture ."" Union of Burma Journal of Literature and Social Science 1 0), p. 49-59 (Burmese, with English summary). U Aung Thaw 1959. Preliminary Report on the Excavations at Peikthano. Rangoon: Archaeology Department. Michael Aung-Thwin 1989. ""Burma before Pagan."" Asian Perspectives 25 (2), p. 1-21. Leon de Beylie 1907. Prome et Samara: Voyage archeologiqu e en Birmanie et Mesopotamie. Paris: Leroux. Charles Otto Blagden 1911. ""A preliminary Study of the four"	true	A, B	high	
frasch_pyu_handlist-6b71d0f8bfb8	Frasch Pyu handlist.pdf	References	References: Stargardt etc einzeln aufschltisseln: - GoldbHHter, evtl set-weise - Inschrift auf Reliquar - N amen extra ? Number Name: ? Description: Pali inscription in Pyu letters from Shwe-daga-myo , Sri Ksetra, 29+ lines Reference: Report of the Director, ASB, for the Year 1964-1965, Rangoon 1965, p. 37, no. 8 Text: 1-22) illegible 23) .. . pa tha vippa bhaso tam tm11 na ma ... 24) ... ape tayam cakkhuma e' ... 25) ... vimuttiya imam so ... 26) ... jetavane anathapi- [1J,1-i-} ka sa ... 27) ... khosa devata bhagavantam ...	true	A, B	medium	
luce_1969_old_burma-f0a43b744f81	Luce 1969 Old Burma.pdf	Abbreviations	"ABBREVIATIONS A. Original Inscriptions collected by King Bodawpaya in Upper Burma and now placed near the Patodawgyi Pagoda, Amarapura (Government Press, Rangoon, I9I3). [""A"", for ""Amarapura"", is the abbreviation adopted in I.B. (see below) for the last of the six 'elephant volumes' of Burma's in- scriptions published by the Burma Government between i892 and I9I3.1 App. Appendix. Arch. Dept. Burma Archaeological Department. Arch. Office Burma Archaeological Office. [There are now two, the main one in Ran- goon, the older one in Mandalay.] A .S.B. (A SB) Report of the Superintendent, Archaeolog"	true	A, B	high	
luce_1970_old_burma_vol_2-b9ac44830c38	Luce 1970 Old Burma vol 2.pdf	Bibliography	BIBLIOGRAPHY AND INDEXES This content downloaded from 128.103.149.52 on Tue, 24 Jun 2014 04:56:28 AM All use subject to JSTOR Terms and Conditions	true	OR, A, B	high	
luce_1970_old_burma_vol_2-b9ac44830c38	Luce 1970 Old Burma vol 2.pdf	Bibliography	"BIBLIOGRAPHY Adikaram, Dr. E. W. Early History of Buddhism in Ceylon [Colombo, 2nd. ed., I953]. Aggadhammbhivaiisa, Ashin. Abhidhan-nisya-sac [Burmese. Rangoon, I956]. Agrawala, Vasudeva S. Handbook of the Sculptures in the Curzon Museum of Archaeology, Muttra [Allahabad, I939]. Aung Thaw, U. Preliminary Report on the Excavation at Peikthanomyo, I959 [Archaeological Survey of Burma]. Aymonier, E. ""Premie re Etude sur les inscriptions tchames"" [Journal Asiatique, jan.-f ev. I89I]. Banerjea, Dr. Jitendra Nath. The Development of Hindu Iconography [Calcutta University, I936]. Banerji, R. D. Easte"	true	A, B	high	
luce_phases_burma1985_o-416c1f14ff11	luce_phases-burma1985_o.pdf	References	REFERENCES N 0 NAME , h fVf. £ A VANPA&OUA GALON GY A .t.o 3 ilG oo 4 GAL' . Tuc .uo. S O O D O . 6 NYf t*Yl Ur 7 SETTAlNG 8 DO l a SJNCYfDAiNGDO - 1 S OPAYATAUNG Oo. | 1 ! TUPAVON D O . «	true	A	high	
luceobep1-90cea6ffa882	LuceOBEP1.pdf	Abbreviations	ABBREVIATIONS *PP. Arch. Dept. Arch. Office A.S.B. (ASB) A.S.I. (ASI) BEFEO Bijdragen B.R.S. Bdl. Bwm. Hist. Com. E$ig. Birm. Epig. Ind. Epig. Zeylan. ETB (E.T.B.)	true	A, B	high	
luceobep2-33d17bc909a6	LuceOBEP2.pdf	Bibliography	BIBLIOGRAPHY AND INDEXES	true	A, B	high	
luceobep2-33d17bc909a6	LuceOBEP2.pdf	Bibliography	"BIBLIOGRAPHY Adikaram, Dr. E. W. Early History of Buddhism in Ceylon [Colombo, and. ed., 19531. Aggadhammiibhivamsa, Ashin. Abhidhiin-nisya-sac [Burmese. Rangoon, 19561. Agrawala, Vasudeva S. Handbook of the Sculptures in the Curzon Museum of Archaeology, Muttra [Allahabad, 19391. Aung Thaw, U. Preliminary Report on the Excavation at Peikthanomyo, 1959 [Archaeological Survey of Burma]. Aymonier, E. ""Premikre etude sur les inscriptions tchames"" [Journal Asiatique, jan.-f&v. 18911. Banerjea, Dr. Jitendra Nath. The Development of Hindu Iconography [Calcutta University, 19361. Banerji, R. D. Easte"	true	A, B	high	
luceobep2-33d17bc909a6	LuceOBEP2.pdf	Bibliography	"Bibliography Coomaraswamy, Ananda K. History of Indian and Indonesian Art [London 19271. - La Sculpture de Bodhgaya [Ars Asiatica XVIII. Paris, 19351. - La Sculpture de Bharhut [Paris, Van Oest, 19561. de Coral-RCmusat. G. ""Animaux fantastiques de I'Indochine, de 1'Insulinde et de la Chine"" [B.E. F.E.O., t. XXXVI, 1936, pp. 427-4351. Cousens, H. ""The Nakara in Hindu Ornament"" [Arch. Surv. Id. Am. Rep. 1903-04, pp. zz7-231]. Cowell, Prof. E. B. The Jfitaka or Stories of the Buddha's Former Births, translated from the PZli by various hands [Cambridge, University Press, 1895-1913. 6 vols. and Ind"	true	A, B	high	
luceobep2-33d17bc909a6	LuceOBEP2.pdf	Bibliography	"Bibliography 2I9 - Epigraphia Birnzalzica, Vol. 11, Parts I and 11: ""The Talaing Plaques on the Ananda"" [Text and 87 Plates. Rangoon, 19211. - A List of Inscriptions found in Burma, Part I [Rangoon, 19211. - The Ananda Temple at Pagan [Memoirs of the Arch. Szm. Ind., No. 56, Delhi, 19371. Edgerton, Prof. Franklin. Buddhist Hybrid Sanskrit Grammar and Dictionary. Vol. I. Grammar. Vol. I1 Dictionary [Yale University Press, 19531. E Maung, Prof. Selections from the Inscriptions of Pagan [Rangoon, 1958 - Burmese]. Fausbijll, V. The Jztaka together with its commentary Jztakatthavannani for the firs"	true	A, B	high	
