frasch_ref_id	raw_reference	source_file	detected_entry_type	looks_like_bibliographic_reference	looks_like_catalogue_note	looks_like_body_text	length	has_author_signal	has_year_signal	has_title_signal	has_publication_signal	confidence	recommended_action	notes
frasch-ref-00014	PPA, p. 212	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00015	TN, p. 98	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00016	Pl. II 114b (top)	Bagan Epig Database.doc	catalogue_note	false	true	false	17	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00017	OBI 1, p. 353	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00018	Pl. II 135b and Pl. V 602c	Bagan Epig Database.doc	catalogue_note	false	true	false	26	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00019	OBI 2, p. 11-13	Bagan Epig Database.doc	catalogue_note	false	true	false	15	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00020	List not identified	Bagan Epig Database.doc	catalogue_note	false	true	false	19	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00021	Pl. III 232c	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00022	Pl. III 303	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00023	OBI 1, p. 19	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00024	UEM, no. 1, p. 1	Bagan Epig Database.doc	catalogue_note	false	true	false	16	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00025	RSASB 1926, p. 26	Bagan Epig Database.doc	unclear	false	false	false	17	false	true	true	false	low	manual_review	
frasch-ref-00026	Pl. III 304-305	Bagan Epig Database.doc	catalogue_note	false	true	false	15	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00027	OBI 2, p. 72-73	Bagan Epig Database.doc	catalogue_note	false	true	false	15	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00028	copy (partly): List 116	Bagan Epig Database.doc	unclear	false	false	false	23	false	false	false	false	low	manual_review	
frasch-ref-00029	B 2, p. 621	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00030	Pl. III 312a+b	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00031	OBI 2, p. 222-3	Bagan Epig Database.doc	catalogue_note	false	true	false	15	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00032	Pl. III 313a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00033	OBI 2, p. 255	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00034	Pl. III 313b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00035	OBI 2, p. 226	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00036	Pl. III 314a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00037	OBI 2, p. 227	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00038	Pl. III 314b+c	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00039	OBI 2, p. 227	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00040	Pl. III 315b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00041	OBI 2, p. 228	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00042	Pl. III 316a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00043	OBI 2, p. 177	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00044	Pl. III 317a+b	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00045	OBI 2, p. 229	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00046	Pl. III 319a-c	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00047	OBI 2, p. 230	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00048	Pl. III 321	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00049	OBI 3, p. 4	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00050	Pl. III 322	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00051	OBI 2, p. 232	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00052	Pl. III 323a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00053	OBI 2, p. 233	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00054	Pl. III 324b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00055	OBI 2, p. 219	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00056	Pl. III 326 (l. 1-12)	Bagan Epig Database.doc	catalogue_note	false	true	false	21	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00057	OBI 2, p. 91	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00058	Pl. III 330	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00059	OBI 2, p. 238	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00060	Pl. III 331a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00061	OBI 2, p. 239	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00062	Pl. III 332a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00063	OBI 2, p. 240	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00064	List 1400	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00065	A, p. 546	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00066	Pl. III 335a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00067	OBI 2, p. 241	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00068	Pl. III 335b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00069	OBI 2, p. 242	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00070	List 1332	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00071	A, p. 466	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00072	Pl. III 336a+b	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00073	OBI 2, p. 243	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00074	List 1334b+a	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00075	A, p. 472-1	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00076	Pl. III 337a+b	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00077	OBI 2, p. 245	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00078	List 1391	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00079	A, p. 535	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00080	Pl. III 338	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00081	OBI 2, p. 246	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00082	Pl. III 339a+b	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00083	OBI 2, p. 247 (b only)	Bagan Epig Database.doc	catalogue_note	false	true	false	22	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00084	Pl. III 342a+b and Pl. III 343 a+b	Bagan Epig Database.doc	catalogue_note	false	true	false	34	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00085	OBI 2, p. 248 (parts missing)	Bagan Epig Database.doc	catalogue_note	false	true	false	29	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00086	Pl. III 345b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00087	OBI 3, p. 142	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00088	Pl. IV 385b	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00089	OBI 3, p. 91	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00090	Pl. IV 417	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00091	OBI 3, p. 255	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00092	Pl. V 548a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00093	Luce, Old Burma 1, p. 46: Frasch, “Coastal Peripheries”, p. 60	Bagan Epig Database.doc	bibliographic_reference	true	false	false	62	true	false	true	false	medium	use_for_bibliography	
frasch-ref-00094	Pl. V 557b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00095	Pl. V 557c	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00096	RDASB 1938, p. xi, and app. H, no. 5	Bagan Epig Database.doc	unclear	false	false	false	36	false	true	true	true	low	manual_review	
frasch-ref-00097	Pl. V 558a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00098	RDASB 1938, p. xii, and app. H, no. 19	Bagan Epig Database.doc	unclear	false	false	false	38	false	true	true	true	low	manual_review	
frasch-ref-00099	Pl. V 558b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00100	Pl. V 558c	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00101	Pl. V 558d	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00102	Pl. V 559a-b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00103	Pl. V 560f	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00104	Pl. V 561a-b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00105	Pl. V 562b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00106	Pl. V 562c	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00107	A, p. 486	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00108	List 1346	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00109	Pl. V 565a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00110	OBI 4, p. 251	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00111	Pl. V 565b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00112	Pl. V 567a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00113	List 1374	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00114	A, p. 516	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00115	Pl. V 567b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00116	Luce J2509	Bagan Epig Database.doc	unclear	false	false	false	10	false	false	false	false	low	manual_review	
frasch-ref-00117	Pl. V 575	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00118	OBI 2, p. 211	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00119	List 875	Bagan Epig Database.doc	catalogue_note	false	true	false	8	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00120	A, p. 374	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00121	Luce C 662	Bagan Epig Database.doc	unclear	false	false	false	10	false	false	false	false	low	manual_review	
frasch-ref-00122	Pl. V 581a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00123	List 1406	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00124	Luce D 825	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00125	Pl. V 592b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00126	Pl. V 594	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00127	List 1390	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00128	A, p. 534	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00129	Pl. V 595	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00130	Luce C 614	Bagan Epig Database.doc	unclear	false	false	false	10	false	false	false	false	low	manual_review	
frasch-ref-00131	Pl. V 596a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00132	Luce C 630	Bagan Epig Database.doc	unclear	false	false	false	10	false	false	false	false	low	manual_review	
frasch-ref-00133	Pl. V 596b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00134	Pl. V 597b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00135	A, p. 532	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00136	Pl. V 597c	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00137	Pl. V 598a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00138	U Than Tun, Supplementary Note to the Legal System in Bagan, Myanmar Law Teachers' Journal 1 (2), 1959, p. 184	Bagan Epig Database.doc	bibliographic_reference	true	false	false	110	true	true	true	true	high	use_for_bibliography	
frasch-ref-00139	Pl. V 598b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00140	Pl. V 599a-b	Bagan Epig Database.doc	catalogue_note	false	true	false	12	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00141	List 1445-1446	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00142	A, p. 591-2	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00143	Luce D 835	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00144	Pl. V 599c	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00145	Luce J 2493	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00146	Pl. V 600a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00147	List 1393	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00148	A, p. 537	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00149	Pl. V 600b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00150	Pl. V 601a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00151	Luce C 690	Bagan Epig Database.doc	unclear	false	false	false	10	false	false	false	false	low	manual_review	
frasch-ref-00152	Pl. V 601b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00153	Pl. V 602a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00154	Luce G 1905	Bagan Epig Database.doc	unclear	false	false	false	11	false	true	false	false	low	manual_review	
frasch-ref-00155	Pl. V 602b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00156	Luce C 622	Bagan Epig Database.doc	unclear	false	false	false	10	false	false	false	false	low	manual_review	
frasch-ref-00157	Pl. V 602d	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00158	Luce G 1919	Bagan Epig Database.doc	unclear	false	false	false	11	false	true	false	false	low	manual_review	
frasch-ref-00159	Pl. V 603a	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00160	Pl. V 603b	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00161	OBI 1, p. 127	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00162	OBI 1, p. 304	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00163	RDASB 1961, p. 14- 5	Bagan Epig Database.doc	unclear	false	false	false	20	false	true	true	true	low	manual_review	
frasch-ref-00164	U Hswai, JBRS 48 (2), 1965, p. 67, no. 9	Bagan Epig Database.doc	bibliographic_reference	true	false	false	40	true	true	true	true	high	use_for_bibliography	
frasch-ref-00165	List 1061	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00166	Luce G 1861	Bagan Epig Database.doc	unclear	false	false	false	11	false	true	false	false	low	manual_review	
frasch-ref-00167	List 1366	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00168	OBI 2, p. 174	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00169	A, p. 508	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00170	List 1253	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00171	PPA, p. 197	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00172	List 1256	Bagan Epig Database.doc	catalogue_note	false	true	false	9	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00173	PPA, p. 315	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00174	TN, p. 145	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00175	List 1257 and 1258	Bagan Epig Database.doc	catalogue_note	false	true	false	18	false	true	false	false	medium	use_for_catalogue_evidence	
frasch-ref-00176	PPA, p. 316-7	Bagan Epig Database.doc	catalogue_note	false	true	false	13	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00177	TN, p. 145	Bagan Epig Database.doc	catalogue_note	false	true	false	10	false	false	true	false	medium	use_for_catalogue_evidence	
frasch-ref-00178	Luce G 1913	Bagan Epig Database.doc	unclear	false	false	false	11	false	true	false	false	low	manual_review	
frasch-ref-00179	Luce J 2507	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00180	Luce J 2625	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00181	Luce J 2629	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00182	Luce J 2633	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00183	Luce J 2670-71	Bagan Epig Database.doc	catalogue_note	false	true	false	14	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00184	Luce J 2679	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00185	Luce J 2689	Bagan Epig Database.doc	catalogue_note	false	true	false	11	false	false	false	false	low	use_for_catalogue_evidence	
frasch-ref-00186	Luce O 4405	Bagan Epig Database.doc	unclear	false	false	false	11	false	false	false	false	low	manual_review	
frasch-ref-00187	U Than Tun, Hnaung-dwe, no. 34, p. 108	Bagan Epig Database.doc	bibliographic_reference	true	false	false	38	true	false	true	false	medium	use_for_bibliography	
frasch-ref-00188	U Hswai, JBRS 48 (2), 1965, p. 67, no. 11	Bagan Epig Database.doc	bibliographic_reference	true	false	false	41	true	true	true	true	high	use_for_bibliography	
frasch-ref-00189	U Than Tun, Hnaung-dwe, no. 38, p. 124	Bagan Epig Database.doc	bibliographic_reference	true	false	false	38	true	false	true	false	medium	use_for_bibliography	
frasch-ref-00190	reading in file	Bagan Epig Database.doc	unclear	false	false	false	15	false	false	false	false	low	manual_review	
frasch-ref-00191	?	Bagan Epig Database.doc	unclear	false	false	false	1	false	false	false	false	low	manual_review	
frasch-ref-00192	List 1	Bagan Epig Database.doc	catalogue_note	false	true	false	6	false	false	false	false	low	use_for_catalogue_evidence	
