source_work_key	query	variant_type	matched_file_label	matched_file_id	match_type	match_confidence	short_evidence	searched_sources	search_scope	search_date_or_run_id	search_result_status	is_known_false_positive	false_positive_reason	recommended_action	notes
tnInscriptionsPaganPinyaAva	Tun Nyein Pinya	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Tun Nyein Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Pagan Pinya Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Inscriptions Pagan Pinya Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Rangoon Gazette Press inscriptions	publisher	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	false		Treat this as a bibliographic clue only; locate the direct local file.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | OCR/index token overlap 3/4 for Rangoon Gazette Press inscriptions
tnInscriptionsPaganPinyaAva	Government Printing Burma 1897 inscriptions	publisher	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	false		Treat this as a bibliographic clue only; locate the direct local file.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | OCR/index token overlap 4/5 for Government Printing Burma 1897 inscriptions
ppaCatalogue	Pagan Pinya Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Pagan Pinya and Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Inscriptions Pagan Pinya Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Inscriptions of Pagan Pinya and Ava	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	PPA inscription	abbreviation			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	PPA catalogue	abbreviation			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	IPPA	abbreviation			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ppaCatalogue	Pinya Ava inscriptions	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ubSourceFamily	Upper Burma inscriptions	title_variant	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	false		Treat this as a bibliographic clue only; locate the direct local file.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | OCR/index token overlap 3/3 for Upper Burma inscriptions
ubSourceFamily	Inscriptions Collected in Upper Burma	title_variant	Frasch 2004 Measuring Burmese Soil.pdf	frasch_2004_measuring_burmese_soil-5c898fbdb590	ocr_bibliographic_mention	low	"Bibliography Bibliography GPL : Glass Palace Chronicle GUBSS: Gazetter of Upper Burma and the Shan States OBI: Old Burmese Inscriptions UKL: U Kala AUNG-THWIN, Michael 1990 ""Irrigation in the Heartland of Burma: Foundations of the Pre-Colonial Burmese State"",…"	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	false		Treat this as a bibliographic clue only; locate the direct local file.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | OCR/index token overlap 3/4 for Inscriptions Collected in Upper Burma
ubSourceFamily	Collected in Upper Burma	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ubSourceFamily	Upper Burma Archaeological Survey	series_reference			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ubSourceFamily	Upper Burma Stone Inscriptions	title_variant	StoneInscriptionsSale-Swere1965.pdf	stoneinscriptionssale_swere1965-1c981765c5c3	normalized_title_filename	medium	OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1965/StoneInscriptionsSale-Swere1965.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	false		Do not promote this file as the core Upper Burma witness; retain it only as a reviewed secondary/unrelated lead and continue targeted search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Matched a later article-style work rather than the core Upper Burma direct witness.
ubSourceFamily	UB 1	abbreviation			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ubSourceFamily	UB 2	abbreviation			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ubSourceFamily	Archaeological Survey Burma Upper Burma	series_reference			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
ubSourceFamily	Report Superintendent Archaeological Survey Burma Upper Burma	series_reference			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
