witness_id	source_work_key	canonical_title	candidate_file_label	candidate_file_id	candidate_path_or_redacted_path	file_type	match_type	match_confidence	match_reason	sha256_if_available	local_cache_status	needs_human_review	notes
duroiselle1921list--132143-5087396f8c63	duroiselle1921list	List of Inscriptions Found in Burma	PeMaungTin 1923 EpigraphicaBurmanica(ReviewOfBlagden&Duroiselle).pdf	132143-5087396f8c63	data/local/bibliography_sources/132143-5087396f8c63/132143.pdf	pdf	weak_keyword_match	low	Author surname and title keywords overlap for duroiselle	5087396f8c63026a9bdc4c9bcaf2eca1771811c14d1f2730f2026c747a57dec1	reused_existing	true	Stable catalogue-style source work used for List locators. Use as the stable catalogue family for List locators.
epigraphiaBirmanica--luce-1937-ancient-pyu-6a948eb3f6cc	epigraphiaBirmanica	Epigraphia Birmanica	Luce 1937 Ancient Pyu.pdf	luce_1937_ancient_pyu-6a948eb3f6cc	data/local/bibliography_sources/luce_1937_ancient_pyu-6a948eb3f6cc/Luce 1937 Ancient Pyu.pdf	pdf	series_container_match	medium	Series/container title visible in local path hints	6a948eb3f6cc8ec05ef0bc187ee0c83ff62d6664b4c4ac25d360c5d851a312cb	reused_existing	true	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
epigraphiaBirmanica--261052-0eaebe68d937	epigraphiaBirmanica	Epigraphia Birmanica	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	261052-0eaebe68d937	data/local/bibliography_sources/261052-0eaebe68d937/261052.pdf	pdf	series_container_match	medium	Series/container title visible in local path hints	0eaebe68d9370642bddfb545b0860efe84c6479bcd3a0a1f34ba89fd14b38aa3	reused_existing	true	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
epigraphiaBirmanica--011041-2bc89eb3a71a	epigraphiaBirmanica	Epigraphia Birmanica	011041.pdf	011041-2bc89eb3a71a	data/local/bibliography_sources/011041-2bc89eb3a71a/011041.pdf	pdf	series_container_match	low	Series/container title visible in local path hints	2bc89eb3a71af1c60be3e70e1006b68c9242f4c0599730c6a796459239ea2b91	reused_existing	true	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
epigraphiaBirmanica--011098-dfc0debb3b75	epigraphiaBirmanica	Epigraphia Birmanica	011098.pdf	011098-dfc0debb3b75	data/local/bibliography_sources/011098-dfc0debb3b75/011098.pdf	pdf	series_container_match	low	Series/container title visible in local path hints	dfc0debb3b755ca9607ae0c14eee5ca3a2aea9125addd2026c85acda83ec4565	reused_existing	true	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
epigraphiaBirmanica--011131-b5499d8eb174	epigraphiaBirmanica	Epigraphia Birmanica	011131.pdf	011131-b5499d8eb174	data/local/bibliography_sources/011131-b5499d8eb174/011131.pdf	pdf	series_container_match	low	Series/container title visible in local path hints	b5499d8eb174f278d8833ac1355fe065889d03d788614f47ac8dda6b037e7d4a	reused_existing	true	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61	journalBurmaResearchSociety	Journal of the Burma Research Society	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	luce_1924_countries_neighbouring_burma_j-056f581dfe61	data/local/bibliography_sources/luce_1924_countries_neighbouring_burma_j-056f581dfe61/Luce 1924 Countries Neighbouring Burma (JBRS).pdf	pdf	source_family_match	medium	Acronym/source-family token match: JBRS | Series/container title visible in local path hints	056f581dfe6130cb581a581162cf48d1ce34d7758e0bbb31df1005d08f3dd5be	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376	journalBurmaResearchSociety	Journal of the Burma Research Society	A1-Editorial-Luce1924.pdf	a1_editorial_luce1924-099d53582376	data/local/bibliography_sources/a1_editorial_luce1924-099d53582376/A1-Editorial-Luce1924.pdf	pdf	source_family_match	medium	Acronym/source-family token match: JBRS | Series/container title visible in local path hints	099d53582376f5e1effb14c2687da9ddd13187a5791ea010c3d2647a207a753d	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155	journalBurmaResearchSociety	Journal of the Burma Research Society	A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	a5_countriesneighbouringburma2_luce_ref_-c1353abdc155	data/local/bibliography_sources/a5_countriesneighbouringburma2_luce_ref_-c1353abdc155/A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	pdf	source_family_match	medium	Acronym/source-family token match: JBRS | Series/container title visible in local path hints	c1353abdc155af2222a80016be7c6f41bf112f54b8a95444d158f07d5a045e97	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1	journalBurmaResearchSociety	Journal of the Burma Research Society	BurmaToFallOfPagan-Luce1939.pdf	burmatofallofpagan_luce1939-b89e7b3d7dc1	data/local/bibliography_sources/burmatofallofpagan_luce1939-b89e7b3d7dc1/BurmaToFallOfPagan-Luce1939.pdf	pdf	source_family_match	medium	Acronym/source-family token match: JBRS | Series/container title visible in local path hints	b89e7b3d7dc10bd8f253f0801a33a901ed53f8099751ac0725f6ea61c8578b5c	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba	journalBurmaResearchSociety	Journal of the Burma Research Society	CenturyOfProgress_Luce1948.pdf	centuryofprogress_luce1948-f1e3355883ba	data/local/bibliography_sources/centuryofprogress_luce1948-f1e3355883ba/CenturyOfProgress_Luce1948.pdf	pdf	source_family_match	medium	Acronym/source-family token match: JBRS | Series/container title visible in local path hints	f1e3355883baa709ca145d30f51c089403dab17054060fdf7ab3a669856e1a29	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalRoyalAsiaticSociety--richardson-jras-article-re-photos-8849f4c5e9df	journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	Richardson JRAS article re photos.pdf	richardson_jras_article_re_photos-8849f4c5e9df	data/local/bibliography_sources/richardson_jras_article_re_photos-8849f4c5e9df/Richardson JRAS article re photos.pdf	pdf	source_family_match	medium	Acronym/source-family token match: JRAS | Series/container title visible in local path hints	8849f4c5e9df87f997962f7642975f86204105b4019adc0944053c595f6be963	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalRoyalAsiaticSociety--giebel-vajras-ekhara-b0808f820e80	journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	Giebel_Vajraśekhara.pdf	giebel_vajras_ekhara-b0808f820e80	data/local/bibliography_sources/giebel_vajras_ekhara-b0808f820e80/Giebel_Vajraśekhara.pdf	pdf	series_container_match	low	Series/container title visible in local path hints	b0808f820e803b2aad9c26cdca71bb2df7cc6b0431a468a0499e40ad26cdf776	reused_existing	true	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
