witness_id	source_work_key	canonical_title	candidate_file_label	witness_type	contains_translation	contains_edition_or_transliteration	contains_plate_or_image	contains_catalogue_metadata	contains_secondary_discussion	coverage_scope	confidence	evidence_source	evidence_snippet	needs_human_review	next_action	notes	verification_status	directness	verified_by	verified_evidence_id
uemSelectionsPagan--253149-88495e2fcca1	uemSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	uemSelectionsPagan--253149-88495e2fcca1:filename
uemSelectionsPagan--261052-0eaebe68d937	uemSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	uemSelectionsPagan--261052-0eaebe68d937:filename
duroiselle1921list--a-list-of-inscriptions-found-in-burma-pa-1cabd997be83	duroiselle1921list	List of Inscriptions Found in Burma	a_list_of_inscriptions_found_in_burma_part_i.pdf	catalogue	unknown	unknown	unknown	unknown	unknown	whole_work	medium	verification	a_list_of_inscriptions_found_in_burma_part_i.pdf	false	Inspect the title page or leading pages before promoting this witness.	Catalogue-style source work kept distinct from direct translation evidence. | The title match is promising, but the direct witness still needs title-page or author confirmation. | The title match is promising, but the direct witness still needs title-page or author confirmation.	needs_title_page_review	direct_source	verify_translation_witnesses.py	duroiselle1921list--a-list-of-inscriptions-found-in-burma-pa-1cabd997be83:title_page
duroiselle1921list--duroiselle-1921-list-of-inscriptions-fd372f9141d6	duroiselle1921list	List of Inscriptions Found in Burma	Duroiselle 1921 List of Inscriptions.pdf	unknown	unknown	unknown	unknown	unknown	unknown	whole_work	low	verification	Duroiselle 1921 List of Inscriptions.pdf	true	Inspect the title page or leading pages before promoting this witness.	Catalogue-style source work kept distinct from direct translation evidence. | More title-page or contents evidence is needed before this witness can be trusted. | More title-page or contents evidence is needed before this witness can be trusted.	needs_title_page_review	unknown	verify_translation_witnesses.py	duroiselle1921list--duroiselle-1921-list-of-inscriptions-fd372f9141d6:filename
duroiselle1921list--duroiselle-1912-inventaire-inscriptions-fab28e605395	duroiselle1921list	List of Inscriptions Found in Burma	Duroiselle 1912 Inventaire Inscriptions Birmanie.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	Duroiselle 1912 Inventaire Inscriptions Birmanie.pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	duroiselle1921list--duroiselle-1912-inventaire-inscriptions-fab28e605395:filename
duroiselle1921list--132143-5087396f8c63	duroiselle1921list	List of Inscriptions Found in Burma	PeMaungTin 1923 EpigraphicaBurmanica(ReviewOfBlagden&Duroiselle).pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	PeMaungTin 1923 EpigraphicaBurmanica(ReviewOfBlagden&Duroiselle).pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	duroiselle1921list--132143-5087396f8c63:filename
epigraphiaBirmanica--luce-1937-ancient-pyu-6a948eb3f6cc	epigraphiaBirmanica	Epigraphia Birmanica	Luce 1937 Ancient Pyu.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	Luce 1937 Ancient Pyu.pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	epigraphiaBirmanica--luce-1937-ancient-pyu-6a948eb3f6cc:filename
epigraphiaBirmanica--261052-0eaebe68d937	epigraphiaBirmanica	Epigraphia Birmanica	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	article_candidate	unknown	unknown	unknown	no	possible	single_inscription	medium	verification	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	epigraphiaBirmanica--261052-0eaebe68d937:filename
epigraphiaBirmanica--011041-2bc89eb3a71a	epigraphiaBirmanica	Epigraphia Birmanica	011041.pdf	periodical_container	unknown	unknown	unknown	unknown	possible	unknown	low	verification	011041.pdf	true	Inspect the title page or leading pages before promoting this witness.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	needs_title_page_review	series_container	verify_translation_witnesses.py	epigraphiaBirmanica--011041-2bc89eb3a71a:filename
epigraphiaBirmanica--011098-dfc0debb3b75	epigraphiaBirmanica	Epigraphia Birmanica	011098.pdf	periodical_container	unknown	unknown	unknown	unknown	possible	series_container	low	verification	011098.pdf	true	Inspect the title page or leading pages before promoting this witness.	Container witness kept at series/periodical level pending article discovery. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	needs_title_page_review	series_container	verify_translation_witnesses.py	epigraphiaBirmanica--011098-dfc0debb3b75:filename
epigraphiaBirmanica--011131-b5499d8eb174	epigraphiaBirmanica	Epigraphia Birmanica	011131.pdf	periodical_container	unknown	unknown	unknown	unknown	possible	series_container	low	verification	011131.pdf	true	Inspect the title page or leading pages before promoting this witness.	Container witness kept at series/periodical level pending article discovery. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	needs_title_page_review	series_container	verify_translation_witnesses.py	epigraphiaBirmanica--011131-b5499d8eb174:filename
journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61	journalBurmaResearchSociety	Journal of the Burma Research Society	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61:filename
journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376	journalBurmaResearchSociety	Journal of the Burma Research Society	A1-Editorial-Luce1924.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	JOURNAL OF THE BURMA RESEARCH SOCIETY. Vol. XIV, Part II. 926 1. Editorial	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376:title_page
journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155	journalBurmaResearchSociety	Journal of the Burma Research Society	A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155:filename
journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1	journalBurmaResearchSociety	Journal of the Burma Research Society	BurmaToFallOfPagan-Luce1939.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	BurmaToFallOfPagan-Luce1939.pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1:filename
journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba	journalBurmaResearchSociety	Journal of the Burma Research Society	CenturyOfProgress_Luce1948.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	"48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, University Library. 49. J.A, Stewart -""Excavation and Exploration in Pegu"". (JBRS)"	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba:ocr_heading
journalRoyalAsiaticSociety--richardson-jras-article-re-photos-8849f4c5e9df	journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	Richardson JRAS article re photos.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	Richardson JRAS article re photos.pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalRoyalAsiaticSociety--richardson-jras-article-re-photos-8849f4c5e9df:filename
journalRoyalAsiaticSociety--giebel-vajras-ekhara-b0808f820e80	journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	Giebel_Vajraśekhara.pdf	article_candidate	unknown	unknown	unknown	no	possible	unknown	medium	verification	Giebel_Vajraśekhara.pdf	true	Keep in the article-discovery queue and inspect title page or first page next.	Container match looks article-specific and needs article-level inspection. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses. | Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.	verified_article_candidate	article_about_source	verify_translation_witnesses.py	journalRoyalAsiaticSociety--giebel-vajras-ekhara-b0808f820e80:filename
epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf	epigraphiaBirmanica	Epigraphia Birmanica	Duroiselle - Epigraphica Birmanica1.pdf	source_edition	unknown	confirmed	no	no	no	Vol. 1	high	verification	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf	true	Use as a verified direct EB fascicle; inspect fascicle contents before making any translation claim.	Direct-looking EB fascicle promoted from title/path evidence. | Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage. | Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage.	verified_direct_witness	direct_source	verify_translation_witnesses.py	epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf:title_page
epigraphiaBirmanica--duroiselle-epigraphica-birmanica3-pdf	epigraphiaBirmanica	Epigraphia Birmanica	Duroiselle - Epigraphica Birmanica3.pdf	source_edition	unknown	confirmed	no	no	no	Vol. 3	high	verification	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica3.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica3.pdf	true	Use as a verified direct EB fascicle; inspect fascicle contents before making any translation claim.	Direct-looking EB fascicle promoted from title/path evidence. | Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage. | Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage.	verified_direct_witness	direct_source	verify_translation_witnesses.py	epigraphiaBirmanica--duroiselle-epigraphica-birmanica3-pdf:title_page
epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf	epigraphiaBirmanica	Epigraphia Birmanica	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	source_edition	unknown	confirmed	confirmed	no	no	Talaing Plaques on Ananda Plates	high	verification	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	true	Use as a verified direct EB fascicle; inspect fascicle contents before making any translation claim.	Direct-looking EB fascicle promoted from title/path evidence. | Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage. | Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage.	verified_direct_witness	direct_source	verify_translation_witnesses.py	epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf:title_page
