bibtex_key	entry_type	author	editor	year	title	booktitle	journal	publisher	address	doi	url	isbn	raw_entry_hash	source_label	notes
Bryant2001	incollection	Bryant, Harolt N.		2001	{C}haracter polarity and the rooting of cladograms								4f7d23d89016c679c1767c23fe36a823d9b4ca84e31134656835c9e182f6fd01	asia 2.bib	
Bybee2008	incollection	Bybee, Joan L.			{F}ormal universals as emergent phenomena: {T}he origins of structure preservation								4565ad579b0ae2f844d954c9bc8e7c70ae9d34c1d8f6f40866d4521c78cc1ab2	asia 2.bib	
Chao1930	incollection	Chao, Yuenren		2006	{A} system of `tone letters'								60ca577d9ee2c2c6ab3dc352d16aa3de54f8adb0a99d50283c3f6b048bb6371c	asia 2.bib	
DeLancey2003	incollection	DeLancey, Scott		2003	{C}lassical {T}ibetan								dca000cf0869f4ea0038b3ffd41fb08b044db33be350c29119d56d2643c5840e	asia 2.bib	
DeLancey2003b	incollection	DeLancey, Scott		2003	{L}hasa {T}ibetan								d21ecf1d26e27dfa84b004efa9651f78a471aaa49aa1c3b50a77b30b46a0c6eb	asia 2.bib	
Driem2014a	incollection	van Driem, George		2014	{T}ibeto-{B}urman								e5c2e4eb0f96c0808d82b7f29408f11e9ce25a6361ccb1c2504fd08fa1e1808a	asia 2.bib	
Dybo2008	incollection	Dybo, Anna and Starostin, George S	Smirnov, I. S.	2008	{I}n defense of the comparative method, or the end of the {V}ovin controversy			RGGU	Moscow				41f55012fa429fbb6df328f25a4dbe906e799b3724f29234f51851dc6fd0668e	asia 2.bib	
Embleton2000	incollection	Embleton, Sheila	Renfrew, C. and McMahon, A. and Trask, Robert Larry	2000	{L}exicostatistics/glottochronology			The McDonald Institute for Archaeological Research	Cambridge				a4ffcaf2b23ad105265fd957af2eac6f766853c75e1d39fa69da184f2a00b8ff	asia 2.bib	
Engstrand1999	incollection	Engstrand, Olle		1999	{S}wedish								f26ffbed6294a931c1d3880bbb9ae1939d0f875692c596766e273e5a6f7e7f4a	asia 2.bib	
Firth1937	bookinbook	Firth, J. R.			{T}he tongues of men								ede2cb5f4b6d7563370e112167b2d357a18b9779fcc430a005cfbc096802737b	asia 2.bib	
Gemeinholzer2008	incollection	Gemeinholzer, Birgit			{P}hylogenetic networks								9a09c7fad26b10b4930ed86d0e15c22c17bf426074c1e0dbd2d30f52da1009e6	asia 2.bib	
Hall2010	inproceedings	Hall, David and Klein, Dan		2010	{F}inding cognate groups using phylogenies	{P}roceedings of the 48th {A}nnual {M}eeting of the {A}ssociation for {C}omputational {L}inguistics							029e8c3d9d64a1580f0a7580480f700a543f1576ab42569b26a1bbd363bc33f0	asia 2.bib	
Heeschen1990	inproceedings	Heeschen, Volker			{D}ie ersten {S}tunden								aacea7ed803f30c74ad054cf95f4db145158feb29ac9bbfd475cf0802de0f690	asia 2.bib	
Heide2010	incollection	Heide, Judith and Lorenz, Antje and Meinunger, Andr\'{e} and Burchert, Frank		2010	{T}he influence of morphological structure on the processing of {G}erman prefixed verb								f38e39306fa50277c3e18481bd69735f7592f59c97da67a642ab54bf3d49353c	asia 2.bib	
Hilpert2015	incollection	Martin Hilpert		2015	{H}istorical linguistics								dcd51ab2760784c384e27beba9b1ae1a3d8575644f8aaf592647ab7a4b338356	asia 2.bib	
Huber2005	incollection	Huber, Katharina T. and Moulton, Vincent		2005	{P}hylogenetic networks								3c120ccfcc6713c567a320307d16ed311fe889de16c228cb9df756d570c46790	asia 2.bib	
Huson2005a	inproceedings	"Daniel H. Huson and Tobias H. Kl{\""o}pper and Pete J. Lockhart and Mike A. Steel"		2005	{R}econstruction of {R}eticulate {N}etworks from {G}ene {T}rees	RECOMB							b06fa957189ef3e470abab4eadf74f6a4fe49cd02aa506e0d16cf5959f4ca340	asia 2.bib	
Huson1998b	inproceedings	Daniel H. Huson and Scott Nettles and Kenneth Rice and Tandy Warnow and Shibu Yooseph		1998	{H}ybrid {T}ree {R}econstruction {M}ethods	{A}lgorithm {E}ngineering							3590a2c9cb27a64206479010f9b9eed271ef90b78e65e8faf9dd0f49f9df7a7c	asia 2.bib	
Hymes1973	inproceedings	Hymes, D. H.			{L}exicostatistics and glottochronology in the nineteenth century								a01bb28679e4d6325a742f481b1d9baae6b0638ec17d392b0d46d0e7a7ac13a4	asia 2.bib	
Jachontov1990	inproceedings	Jachontov, Sergej E.	Dybo, V. A.	1990	{G}lottochronologia				Moscow				5cddc16adcad1eebfe1deb3b83b079122911ae810f7d80820c8c0c4f76c9969a	asia 2.bib	
Jakobson1958a	set	Jakobson, Roman											c933d69482b0443f1b1341a32346717c83df37c6fa5429475d9c7c3cefd689a8	asia 2.bib	
Jakobson1962	bookinbook	Jakobson, Roman			{Z}eichen und {S}ystem der {S}prache								24a03d67629ea3b361e3f4168f20332293f62b1ea6c24a08d119936e67f540d7	asia 2.bib	
Keating1988	incollection	Keating, Patricia A.			{T}he phonology-phonetics interface								9ca4f1a2d7f0bfbdbcd771187a68a0dda2f79886442bcf3480b954f141e3e144	asia 2.bib	
Kemp1987b	incollection	Kemp, Alan			{T}he {\em tekhnē gramatikē} of {D}ionysius {T}hrax								3765c04934a7048f1035c7f35a16abb44847a8015f3b40f4b7aa832d6d74ae3c	asia 2.bib	
Kemp1987a	incollection	Kemp, Alan		1987	{T}he {\em tekhnē gramatikē} of {D}ionysius {T}hrax								874c71ce7b14b5df5fad8bb1cbc6de2a1b3c6df8240f08c1ed782a1e9fc6858e	asia 2.bib	
Kingston2007	incollection	Kingston, John			{T}he phonetics–phonology interface								ead3afbd8b321db4c26cfa07027459babfb1b15382512deb0ca2e4183b8d614e	asia 2.bib	
Kiparsky2008	incollection	Kiparsky, Paul		2008	{U}niversals constrain change; change results in typological generalizations								8647b98f1e8c523f607a504a3e218105389195b5586a99d79d07928583767775	asia 2.bib	
Kiparsky1988	incollection	Kiparsky, Paul		1988	{P}honological change								08cf9ef69ba68a296e13b4a67ced655cc23a275137bf6b24d52a74efa6961cae	asia 2.bib	
Klein2004	inproceedings	Klein, Wolf Peter		2004	{W}as wurde aus den {W}örtern der hebräischen {U}rsprache?							9004143122	b14be02af7e49959909df3a817d46935d2ccbec09479bcef2bbfaaa4cca35bb6	asia 2.bib	
Klein1999	inproceedings	Klein, Wolf Peter		1999	{D}ie ursprüngliche {E}inheit der {S}prachen in der phi\-lo\-lo\-gisch-gram\-ma\-ti\-schen {S}icht der frühen {N}euzeit	{T}he {L}anguage of {A}dam						3447041560	870f54698932377404d1d53da3f12857f14678f3bc6212edca0b9eacb57b1358	asia 2.bib	
Koerner1990a	incollection	Konrad Koerner	Antonsen, Elmer H.	1990	{J}acob {G}rimm's position in the development of linguistics as a science	{T}he {G}rimm brothers and the {G}ermanic past		John Benjamins	Amsterdam and New York				96589aeac2af2cb08942e536d769f150224512a8c9d46f61909c02f9d0428d76	asia 2.bib	
KoptjevskajaTamm2014	incollection	Maria Koptjevskaja-Tamm		2015	{S}emantic typology								4728e3945d0cb27d37e3d997b3df90ca1281c9c66acae8d70c5ae4da67edf9bf	asia 2.bib	
Kormisin1988	incollection	Kormišin, I. V.		1988	{P}rajazyk. {B}ližnjaja i dal'njaja rekonstrukcija			Nauka					c95927c903bb1b2a483041cfe6dea9430a115c064e51a85e7918ef39b85b2ba4	asia 2.bib	
Koschuetzki2008	incollection	Koschützki, Dirk		2008	{N}etwork centralities								c08c9c0f6223e4dcb96a155ffbe1bac4cce852b108d466487ac7c5315b5f2224	asia 2.bib	
Kruskal1971	inproceedings	Kruskal, J. B. and Dyen, I. and Black, P.	Hodson, F. R. and Kendall, D. G. and Gǎutu, P.	1971	{T}he vocabulary method of reconstructing language trees			Edinburgh University Press	Edinburgh				8f0cd08e7bfb669b14a0db5b5b9e1879f2b373899d25c749ff20aeba3ee16113	asia 2.bib	
Kurland1010	incollection	Kurland, Charles G. and Berg, Otto G.		2010	{A} {H}itchhiker's {G}udie to evolving networks			Wiley-Blackwell					aed88b5d4f5384d71df9687299c63ba4c01a58574df73ebb586a195b415e1b03	asia 2.bib	
Kuteva2008	incollection	Kuteva, Tania and Heine, Bernd			{O}n the explanatory value of grammaticalization								29dc8137444bc90ae16e0a35c81c23d2e28980bcb67679a3648fe6a6306ac392	asia 2.bib	
LaPolla2003a	incollection	LaPolla, Randy J.	Thurgood, Graham and LaPolla, Randy J.	2003	{O}verview of {S}ino-{T}ibetan morphosyntax	{T}he {S}ino-{T}ibetan languages		Routledge	London and New York				af00db642e903a9d14f5f02d664b22c6c1c382c21e4221de2507d2cd55f4ed89	asia 2.bib	
Li2004b	incollection	Li, You-Zheng		2004	{S}ign conceptions in {C}hina								5f1f65c67404b5b3fe4e852e13982efeed2f41503461f863f9f2aedf1e2e8e8b	asia 2.bib	
Liebermann1991	incollection	Liebermann, Wolf-Lüder			{S}prachauffassungen im frühgriechischen {E}pos und in der griechischen {M}ythologie								127cdb49b86b1a5c8f9c341f56aaaaf2baf68fa939586582e179f370295b6702	asia 2.bib	
Lippert1996	incollection	Lippert, Wolfgang			{D}ie schriftliche {S}prache im {C}hinesischen								5cb6077f3c090547a91d25a7b8392a69b59845928261ebe2fb1cc6ba2f4ff1cb	asia 2.bib	
Matisoff2000b	incollection	Matisoff, J. A.		2000	{O}n the uselessness of glottochronology for the subgrouping of {T}ibeto-{B}urman								5ba4766881c7de65a0c9be01abd6d1f5e3f64f7762626cbc9d2c3cafd2e32b97	asia 2.bib	
Merrell2001	incollection	Merrell, Floyd			{C}harles {S}anders {P}eirce's concept of the sign								af73f275be5efd042a025bd8bef3ae940a2ff1861dc1517a13af842bef2dd344	asia 2.bib	
Moore2010	incollection	Moore, Andrew D. and Bornberg-Bauer, Erich		2010	{P}rotein domains as evolutionary {U}nits								538887cd52fd1b91384bab407cee398e16c35f4a28bed18d7e13dcdc5586c3cf	asia 2.bib	
Peiros2000	incollection	Peiros, Ilja	Renfrew, Colin and McMahon, April and Trask, Robert Larry	2000	{F}amily diversity and time depths				Cambridge			1902937066	a3a5ec37bb318bcf0ced514bd0c94729528c334555f4bcb550f531fca5399139	asia 2.bib	
Pfaffel1987	incollection	Pfaffel, Wilhelm			{W}ie modern war die varronische {E}tymologie?								2d8d03a4b3bf1d73ca4f7d9f827e155eed842a293e8cf0779a2251f4c7ca8a84	asia 2.bib	
Posada2009	incollection	Posada, David		2009	{S}electing models of evolution								0e76b715f8923985123033273d5660188e321c50fd10704fcb8dae825f842b30	asia 2.bib	
Przyluski1924	incollection	Przyluski, J.		1924	{L}angues {S}ino-{T}ib\'{e}taines								996a6627179ec2bc4dc30d38ced23cbed7f7c5eb15ef271d1da846d6dfdd6d5c	asia 2.bib	
Pulleyblank1991	incollection	Pulleyblank, Edwin G.			{S}ome notes on morphology and syntax in {C}lassical {C}hinese								ba560662a1213794ac14d2755294ddf3c9c732ce1d99a7eaa5b907b4a687e0a5	asia 2.bib	
Pulleyblank2001	inproceedings	Pulleyblank, Edwin G.		2001	{S}yllable structure and morphology in {O}ld {C}hinese								4ab6d0cf08619f8c90c7b5d10dfaa069c9ce21ed6ced63543f1bb47f30b5d397	asia 2.bib	
Rankin2003	incollection	Rankin, Robert L.			{T}he comparative method								a30a524f4f721716ac4210562ba752c9eecbb127224c40442b3aa4750cc397aa	asia 2.bib	
Ratliff2015	incollection	Ratliff, Martha		2015	{W}ord-initial prenasalization in {S}outheast {A}sia								578c20beb5d8165662a06d44f36f9e45451676048541cfc382de28fa740b67bf	asia 2.bib	
Ringe2003	incollection	Ringe, Donald			{I}nternal reconstruction								ae03b300d7b5af30299023350ec70e335c2ac6ba74fe493106ff0f4bbcd36801	asia 2.bib	
Schenk1991	incollection	Schenk, Wolfgang			{A}ltisraelitische {S}prachauffassungen in der {H}ebräischen {B}ibel								bfcc6ceedd1177eb15badaeab98a329be325b8e044d25f00e57f87acf8225a98	asia 2.bib	
Schrastetter1989	incollection	Schrastetter, Rudolf			"{D}ie {S}prachursprungsfrage in {P}latons ``{K}ratylos"""								80c6ad18035de773afd2c92315461fd0e549e80765bb6a7655e5ce5528403fe1	asia 2.bib	
Schreiber2008	incollection	Schreiber, Falk		2008	{G}raph theory								651e993082cd803c583f3b66aa1fa24cf732667c59149e4ac3f126847573ae3a	asia 2.bib	
Sharma2003a	incollection	Sharma, Shunu Ram			{A} sketch of {R}ongpo grammar				Hong Kong				b5d2bf1f3a72a9ce377454ab6f6feab3af919e3ada33a1b7dbd5a0d0cb618d2c	asia 2.bib	
Sharma2003b	incollection	Sharma, Shunu Ram			{A} sketch of {B}yangsi grammar				Hong Kong				f50adf7af68d2ed42abbaa58ff9b2d6d8fa78bfb640c17eb737967dabab7f5fc	asia 2.bib	
Shevoroshkin1991	incollection	Shevoroshkin, V. V. and Manaster Ramer, A.		1991	{S}ome recent work on the remote relations of languages								50c1cea002c925140636c3797738fe9c603c4196f242515b07aff6be266575f4	asia 2.bib	
Staal1974	incollection	Staal, J. F.			{T}he origin and development of linguistics in {I}ndia								834c87f488b8fc56d0c628bc746a2a710959943bec31e23e6f9f9befac473569	asia 2.bib	
Starostin2013d	incollection	Starostin, G. S.		2013	{K} probleme dvuch sobak v klassi\c{c}eskom kitajskom jazyke: canis comestibilis vs. canis venaticus?				Moscow				fe339e48032a288486f1fc3c4492fa45da81aaf1256a218d02af0da973294208	asia 2.bib	
Starostin1989b	incollection	Starostin, Sergej Anatol'evič		1989	{S}ravnitel'no-istoričeskoe jazykoznanie i leksikostatistika			Institut Vostokovedenija	Moscow				18662aecc697485390c27c9c52fd988c0687080f84604ee8cf12c2a66c7de9d8	asia 2.bib	
Steuer2008	incollection	Steuer, Ralf and López, Gorka Zamora		2008	{G}lobal network properties								293aa3b6c6c78293de5b3372819ea4e87e8c7074606aa277268d0cf8014a595a	asia 2.bib	
Sun2003a	incollection	Sun, Jackson T.-S.		2003	{V}ariegated tonal developments in {T}ibetan								b3d55f262ceaf5b949ab51cb63e05fa804b93c1f875f396574bab1673b4de82d	asia 2.bib	
Tuite2006b	incollection	Tuite, Kevin			{I}nterpreting language variation and change								d97191b3c80b79a7d8fd3138da77aa493f331bea973670266d00fbb015ff8048	asia 2.bib	
Urban2016	incollection	Urban, Matthias		2016	{M}otivation by formally analyzable terms in a typological perspective: {A}n assessment of the variation and steps towards explanation								e93b254ef5a5f4046c07f07d9c1cb679c11995345c165166af49224a976aca4f	asia 2.bib	
Valente2005	incollection	Thomas W. Valente		2005	{N}etwork {M}odels and {M}ethods for {S}tudying the {D}iffusion of {I}nnovations								c0d88d1bcec433ea03dac87c3829d02605e50f1ec8727efe74b73a3f932ceca6	asia 2.bib	
Peer2009	incollection	Van de Peer, Yves		2009	{P}hylogenetic inference based on distance methods. {T}heory								6dfe6200b98ad66bea63eee3021738671276e29832449f6067cc0ec758d0ffb7	asia 2.bib	
Vincent2014	incollection	Vincent, Nigel	Bowern, Claire and Evans, Nicholas	2014	{C}ompositionality and change	{T}he {R}outledge {H}andbook of {H}istorical {L}inguistics		Routledge	New York				21c0b057881cfa6d17f3ee64bcf6c0452487026970835af3d0134a6105aa3c20	asia 2.bib	
Wagner2000a	incollection	Wagner, Günter P.		2000	{C}haracters, unit and natural kinds								72d24a9d4a06216acd4eb22112eb769ac4e8cf831f13b663a9dcdeb768c1bb1e	asia 2.bib	
Wang2004a	online	Wang, Feng		2004	{BCD}: {B}asic words of {C}hinese dialects								02787e92ef2847e390137da216c867f9c8752dbe5c79c6e0d3d150449fedda23	asia 2.bib	
Wang1999	incollection	Wang, William S.-Y.			{L}anguage emergence and transmission								800d60274a55a0f7015f4acfa7aee212a59a1dae05a2c8ea0640f75730be9573	asia 2.bib	
Wang1998	incollection	Wang, William S.-Y		1998	{T}hree windows on the past								8fe94870de4eaefa081da289f6812d02f157c348c7f7e65dc405319e6f633210	asia 2.bib	
Weinberg1988	incollection	Weinberg, Amy S.			{M}athematical properties of grammars								2f6e2edfdfeb67c3d4318588def005290077eb98f5912492c57289708342364b	asia 2.bib	
Weiss2014	incollection	Michael Weiss	Bowern, Claire and Evans, Nicholas	2014	{T}he comparative method	{T}he {R}outledge {H}andbook of {H}istorical {L}inguistics		Routledge	New York				cf46968abd9be132ca6d9bd9f098ec910e79ffa1b27143f0431fcb84a55c46fe	asia 2.bib	
Wells1973a	incollection	Wells, Rulon S.	Wiener, Philip P.	1973	{U}niformitarianism in linguistics			Scribner	New York				11a7794fd2cab686ab39b1748a9a5ef539a007efd562c16c9a31d0c7d6091aec	asia 2.bib	
Wettig2011	inproceedings	Hannes Wettig and Suvi Hiltunen and Roman Yangarber		2011	{MDL}-based {M}odels for {A}lignment of {E}tymological {D}ata	RANLP							361797ed4a7067a76c287939de8468c75803d1a70efb59e299ddaf12ceef5ec1	asia 2.bib	
Wiebusch2009b	incollection	Wiebusch, Thekla			{M}andarin {C}hinese vocabulary								8b9ac0bf0875480e4a60c60fcec306fe3897d41fbd395c8f99d81c2bdba3a416	asia 2.bib	
Wiersma2003	incollection	Wiersma, Grace		2003	{Y}unnan {B}ai								fc523d00c990ac4cd862a4cc30a84359434ebc7bc6ed1285235a7aa737df3c13	asia 2.bib	
BibelSet	set												f24fe5f79e7cd00e65475eecfd0d30c4082057340f5388b3fef16cb532dd98e6	asia 2.bib	
KratylosSet	set												2c577ed02553ea9b53e8fa10ed3f4ec07709e0694fcf08583160e2b13ec5e1a2	asia 2.bib	
WikipediaSet	set												0f24057b2b7bda1dcf1e918e51eaf97c6a3d2d43013477c84f2b413e1602f427	asia 2.bib	
Baxter1986	incollection			1986	{O}ld {C}hinese *-u and *-iw in the {S}hī-{J}īng								d8a2e91345d5ad7afaa0f115fb9921ea955efe770d824560deba9a61cde6dab5	asia 2.bib	
DeLancey2013a	incollection	DeLancey, Scott	Jing-Schmidt, Zhuo	2013	{T}he origins of {S}initic	{I}ncreased empiricism: {R}ecent advances in {C}hinese {L}inguistics		John Benjamins	Amsterdam				db714b972ff7328823d3f7aaa231cd49a06cb4fa9958cbb7d064aa69f50986ea	asia 2.bib	
Higgins2009	incollection	Higgins, Des and Lemey, Phillipe			{M}ultiple sequence alignment								004ed0c3fc11d78a7db8a3e5f4da3fb1bd504a47b8c768cd080428709384e662	asia 2.bib	
Starostin2000b	incollection	Starostin, Sergej Anatol'evič		2000	{C}omparative-historical linguistics and lexicostatistics	{T}ime depth in historical linguistics		McDonald Institute for Archaeological Research	Cambridge			1902937066	8538916a8c3fcc92afed141ce75d9d0d9bbdc1fd05971e2b02b1c073a812eb97	asia 2.bib	
Baxter2000b	incollection	Baxter, William H. and Manaster Ramer, Alexis	Renfrew, Colin and McMahon, April and Trask, Robert Larry	2000	{B}eyond lumping and splitting: {P}robabilistic issues in historical linguistics	{T}ime depth in historical linguistics		McDonald Institute for Archaeological Research	Cambridge			1902937066	82bd58e7ae4546969ef765e909b43c0af9a91735ff0d81410a8bb063ba43eb39	asia 2.bib	
Dolgopolsky1986	incollection	Dolgopolsky, A. B.	Shevoroshkin, Vitalij V.	1986	{A} probabilistic hypothesis concerning the oldest relationships among the language families of northern {E}urasia	{T}ypology, {R}elationship and {T}ime		Karoma Publisher	Ann Arbor				56060a2edd29b5ebad026b2045272b8e62c907b67c632cfc98a4c121497b20ce	asia 2.bib	
Starostin2013a	book	Starostin, George S.		2013	{M}etodologija. {K}ojsanskie jazyki								5e78b08d42a51224849c20673469967ddf407cb10b2a0186c6cae6ab5690e0dc	asia 2.bib	
Cordan1978	book		Cordan, Wolfgang	1978	{P}opol {V}uh			Diederich	Düsseldorf and Köln				7e8aa65ac48eba03141032c8c38d482d09b44356e6b20213df5b8a01ecec9379	asia 2.bib	
Castelvecchi2016	set	Castelvecchi, Davide											8ccd85c7050182cd0bde26c901724e4958254a2ed3f71d74a25692db9bd3bf31	asia 2.bib	
Dolgopolsky1964-86	set	Dolgopolsky, A. B.											40fcb3a08b2821ab95ae2243d21c832fcce82180afb32615e7e88adee3e245f4	asia 2.bib	
Arapov1974Set	set												a653f5bde35580ad2c358375209ebeefba1dfb239fba1675c096b6be1c271238	asia 2.bib	
Breal1897Set	set												8fa56389a631ab77197d55a7c2a06ffb17edfc6242a2e4693c38e4eb56590334	asia 2.bib	
Chen1606Set	set												a6ee0fa211f5c922dd7960d1f3265f152bfa72c07cce202119371c342d6aaeeb	asia 2.bib	
Jakobson1958-1971	set	Jakobson, Roman											ce78864d3e4b42f831b6ee6de479c3f6564e57644509ed725c130bc97649d602	asia 2.bib	
DeVulgariSet	set												2e6c92178427d27f2d6a04190ece4328d7ff0af15cb8dc3661f1c38ad4a5af24	asia 2.bib	
EryaSet	set												f11953965a48cceaa53d07fbd3141c6f53b61b6f7675191d1fedbef92464d1e4	asia 2.bib	
EtymologiaeSet	set												16879af34e79b695f545622e5235748ab8e9088616fe7365779feb8524ce4a9f	asia 2.bib	
FangyanSet	set												8fcf914d380696323b0bac21c2d471f4878f3602104753f8e9f3c0be60f0d1f1	asia 2.bib	
InstitutioOratoriaSet	set												6f91bc692caf6afdb7bcb4053e594351821424c2ce96cd7d9a61a7830cd00c4f	asia 2.bib	
Jiang1759Set	set												84c188b4de4aa2fef21d90145d4914ed2782c13a2d4ceea4cc4b8ee92183d509	asia 2.bib	
KratylosSet	set												36b22eec573d868c17daee9ec41c035c9e8df440a3b757f1f4bf0580f7400cc8	asia 2.bib	
Levenshtein1965Set	set												88d41e1a1a8e1c5b8184f2ace94887231e84b1f00521a6b74b1e9a36c03fe689	asia 2.bib	
PopolVuhSet	set												7b364d0294e82eff7843c268a2fca038230fa7f39423d078724b95ae495b9d1f	asia 2.bib	
PaniniSet	set												bf6bf564643aba1e0ec5694b55e4365fa44b452fba98c54a7e304a49071bd6f4	asia 2.bib	
Rask1818Set	set												eda4bb4458a41783d11700ff4ba7690f4526bd6d629ef5734bee6f41a97c22a1	asia 2.bib	
Saussure1916set	set												ad2efb2525c371fa5c188cec88ae25cef34ef8e833022003ec66e644a4796e74	asia 2.bib	
ShijingSet	set												5f4645cde3a529304b78db37051cf48fca3d406afb81c468042894b1ce7bfb40	asia 2.bib	
ShuowenSet	set												99214ae37c34e9af0c8fe58769512947b880af3567372873adf8315765c6ce91	asia 2.bib	
Starostin1989Set	set												cc8d79146d77e0f2377995db2e248a65c6c66666f32fedf5b29906afb670084a	asia 2.bib	
TekhneGrammatikeSet	set												40e619af1af59949e5cfb038e8d1169c9e23082b36833f6c827032afbd4da222	asia 2.bib	
Wilson2003set	set												95b25d875b58fe29e95fafa6a6acb96507349dab8c8bf2b406a2a12481ed3705	asia 2.bib	
ZihuiSet	set												2e64631a1e0ddc9022284074728ed727f4ab239ced1458631557f2a6666459b3	asia 2.bib	
WikipediaSet	set												4b4fe1514cfe817ac8b6e41187c2e9d9ab6abe22360fcc3d546dd923ab0699b6	asia 2.bib	
Li1974	article	Li Fang-kuei 李方桂		1974-75	Studies on Archaic Chinese		Monumenta Serica						ab8d003a684b08984c7efd7c7019ef93bb4078217d1a6086f8114b6088cce8d6	asia 2.bib	
Swiggers2017	incollection	Pierre Swiggers		2017	Intuition, exploration, and assertion of the Indo-European language relationship					10.1515/9783110261288-015			2a48afd901ac09ea7335cd698a992d0888ab9ad2c5896466319838802f7e2355	asia 2.bib	
Kallio2018	incollection	Petri Kallio and Jorma Koivulehto		2018	More remote relationships of Proto-Indo-European					10.1515/9783110542431-046			481232c81f608c48aff3068884f8d4b39b6958bbdd65aa2917f10a9f96e1d297	asia 2.bib	
LiushuSet	set												88f55f899f8cfdb3e2861cca61a1cbd16edaa440067805d78b321828f0c65803	asia 2.bib	
Starostin1989	incollection	Starostin, Sergej Anatol'evič		1989	{S}ravnitel'no-istoričeskoe jazykoznanie i leksikostatistika			Institut Vostokovedenija	Moscow				0803c8a23b7b68ed7f877df464fc6773c09c0197d113b7c089667cb978a6be19	asia 2.bib	
Lass2014	incollection	Lass, Roger	Bowern, Claire and Evans, Nicholas	2014	{L}ineage and the constructive imagination. {T}he birth of historical linguistics	{T}he {R}outledge {H}andbook of {H}istorical {L}inguistics		Routledge	New York				96c95e4f1f4df1917b818115163ebc2ba285577e41e292f1e923b307702057fe	asia 2.bib	
