extracted_unit_id	citation_target_id	normalized_source_key	matched_local_file_id	source_page_or_locator	source_entry_number	detected_inscription_identifier	detected_language	unit_type	ocr_text	confidence	linked_corpus_record_id	linked_inscription_id	link_basis	needs_manual_review	notes
iob-index-022	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XIX a	List 154 a; UB I 257-258	English	catalogue_entry	"Plate XIX a, b. List 154 a. UB I 257-258, 259. Fragments of the stone inscription in the east cella
of the Dhammayazika pagoda, W. Pwazaw, Pagan (Obverse)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-023	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XX a	List 154 b; UBI 258-259	English	catalogue_entry	Plate XX a, b. List 154 b. UBI 258-259. Ditto (Reverse).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-024	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XXI	List 152; A 42	English	catalogue_entry	Plate XXI. List 152. A 42. Now at the Patodawgyi, Amarapura (Stone 22).	high	obi-v01-n0042-ob-p0069	obi-v01-n0042	Exact structured corpus plate citation resolved to OCRed Plate XXI.	false	Linked through exact corpus plate citation(s): Pl. I 21.
iob-index-025	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XXII	List 160 a; UB II 259	English	catalogue_entry	"Plate XXII. List 160 a. UB II 259. At the Sudaungbyi (Pato Paya) cast of Thadun-e village,
Mahlaing (North face)."	high	obi-v01-n0044-ob-p0071	obi-v01-n0044	Exact structured corpus plate citation resolved to OCRed Plate XXII.	false	Linked through exact corpus plate citation(s): Pl. I 22.
iob-index-026	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXIII	List 160 b; UB II 260	English	catalogue_entry	Plate XXIII. List 160 b. UB II 260. Ditto (South face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-027	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXIV	List 161; SIP 25-26	English	catalogue_entry	"Plate XXIV. List 161. SIP 25-26, UB 1 174. From the Thambyin Yingaung pagoda, north of the
Mingalazedi, Pagan. Now at Pagan Museum (Stone 54)."	high	obi-v01-n0045-ob-p0073	obi-v01-n0045	Exact structured corpus plate citation resolved to OCRed Plate XXIV.	false	Linked through exact corpus plate citation(s): Pl. I 24.
iob-index-028	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXV	List 1299a	English	catalogue_entry	Plate XXV. List 1299a.	high	obi-v02-n0080-re-p0165	obi-v02-n0080	Exact structured corpus plate citation resolved to OCRed Plate XXV.	false	Linked through exact corpus plate citation(s): Pl. I 25.
iob-index-029	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXVI	List 1299 b; UB I 253-254 At the Kazun-o pagoda	English	catalogue_entry	"Plate XXVI. List 1299 b.
UB I 253-254 At the Kazun-o pagoda, East Pwazaw (East face).
UB I 255. Ditto (West face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-030	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXVII	List 165; PPA 167; TN 8o	English	catalogue_entry	"Plate XXVII. List 165. PPA 167, TN 8o. From the east side of the enclosure of the Shinbinbodhi
pagoda, Pagan. Now at Pagan Museum (Stone 14)."	high	obi-v01-n0047-ob-p0075	obi-v01-n0047	Exact structured corpus plate citation resolved to OCRed Plate XXVII.	false	Linked through exact corpus plate citation(s): Pl. I 27.
iob-index-031	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXVIII a	List 168 a	English	catalogue_entry	"Plate XXVIII a. List 168 a. A. 5. From the Shwepyishin pagoda, Pyinsi town. Now at the
Patodawgyi, Amarapura (Stone 24 South face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-032	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXVIII b	List 168 b; A 52-53- Ditto (North face)	English	catalogue_entry	Plate XXVIII b. List 168 b. A 52-53- Ditto (North face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-033	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXIX	List 153; A 41	English	catalogue_entry	"Plate XXIX. List 153. A 41.
Amarapura (Stone 37).
From the Dhammayazika pagoda, Pagan. Now at the Patodawgyi,
Now at the Patodawgyi, Amarapura (Stone 38 South face).
Ditto (North face)."	high	obi-v01-n0050-ob-p0081	obi-v01-n0050	Exact structured corpus plate citation resolved to OCRed Plate XXIX.	false	Linked through exact corpus plate citation(s): Pl. I 29.
iob-index-034	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXX a	List 169a; A 55	English	catalogue_entry	Plate XXX a. List 169a. A 55	high	obi-v02-n0097-tx-p0188	obi-v02-n0097	Exact structured corpus plate citation resolved to OCRed Plate XXX a.	false	Linked through exact corpus plate citation(s): Pl. I 30a.
iob-index-035	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXX b	List 169 b; A 56	English	catalogue_entry	Plate XXX b. List 169 b. A 56.	high	obi-v02-n0097-tx-p0189	obi-v02-n0097	Exact structured corpus plate citation resolved to OCRed Plate XXX b.	false	Linked through exact corpus plate citation(s): Pl. I 30b.
iob-index-036	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXI	List 273 (a); SIP -29; PPA 109-111; TN 36-57	English	catalogue_entry	"Plate XXXI. List 273 (a). SIP -29, PPA 109-111, TN 36-57. From the enclosure of the Khemawara
pagoda, north-east of Pagan. Now at Pagan Museum (Stone 50). This inscription is of one face
only; it has no connexion with List 273 (b), which is on the platform of the Lokananda pagoda,
Thiripyissaya, Pagan."	high	obi-v01-n0052-ob-p0083	obi-v01-n0052	Exact structured corpus plate citation resolved to OCRed Plate XXXI.	false	Linked through exact corpus plate citation(s): Pl. I 31.
iob-index-037	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXII	List 172; PPA 168; TN 80-81	English	catalogue_entry	"Plate XXXII. List 172. PPA 168, TN 80-81. From the east side of the enclosure of the Shinbinbodhi
pagoda, Pagan. Now at Pagan Museum (Stone 15 West face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-038	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXIII		English	catalogue_entry	Plate XXXIII. Ditto (East and North faces).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-039	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXIV	List 174; SIP 29 30; UBI 176	English	catalogue_entry	"Plate XXXIV. List 174. SIP 29 30, UBI 176. From the Mahadhi pagoda, north of the Mingalazedi,
Pagan. Now at Pagan Museum (Stone 49 East face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-040	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXV	List 174 b; UBI 177	English	catalogue_entry	Plate XXXV. List 174 b. UBI 177. Ditto (West face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-041	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXVI	SIP 30-32	English	catalogue_entry	Plate XXXVI SIP 30-32. Saw Rahan Thein inscription, Tuywindaung, Pagan.	high	obi-v01-n0062-ob-p0097	obi-v01-n0062	Exact structured corpus plate citation resolved to OCRed Plate XXXVI.	false	Linked through exact corpus plate citation(s): Pl. I 36.
iob-index-042	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXVII	List 175; PPA 169; TN 81	English	catalogue_entry	"Plate XXXVII. List 175. PPA 169, TN 81. From the south side of the enclosure of the Shinbinbodhi
pagoda, Pagan, Now at Pagan Museum (Stone 16 West face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-043	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXVIII a		English	catalogue_entry	Plate XXXVIII a. Ditto (East face).	high	obi-v01-n0061-ob-p0097	obi-v01-n0061	Exact structured corpus plate citation resolved to OCRed Plate XXXVIII a.	false	Linked through exact corpus plate citation(s): Pl. I 38a.
iob-index-044	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXVIII b		English	catalogue_entry	Plate XXXVIII b. Now at Pagan Museum (Stone 82).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-045	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XXXIX	List 176; PPA 170; TN 81-82	English	catalogue_entry	"Plate XXXIX. List 176. PPA 170, TN 81-82. From the east side of the enclosure of the Shinbinbodhi
pagoda, Pagan. Now at Pagan Museum (Stone 17 West face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-046	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XL		English	catalogue_entry	Plate XL. Ditto (East face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-047	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XLI	List 179; PPA 149; TN 69	English	catalogue_entry	"Plate XLI. List 179. PPA 149, TN 69. Smaller inscription in the west porch of the Dhammayangyi
pagoda, Pagan."	high	obi-v01-n0070-ob-p0111	obi-v01-n0070	Exact structured corpus plate citation resolved to OCRed Plate XLI.	false	Linked through exact corpus plate citation(s): Pl. I 41.
iob-index-048	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XLII		English	catalogue_entry	Plate XLII. Now at Pagan Museum (Stone 74 West face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-049	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XLIII		English	catalogue_entry	Plate XLIII. Ditto (East face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-050	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XLIV a		English	catalogue_entry	Plate XLIV a. Now at Pagan Museum (Scone 83),	high	obi-v01-n0072-ob-p0116	obi-v01-n0072	Exact structured corpus plate citation resolved to OCRed Plate XLIV a.	false	Linked through exact corpus plate citation(s): Pl. I 44a.
iob-index-051	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XLIV b	List 180; A 57	English	catalogue_entry	Plate XLIV b. List 180. A 57. Now at the Patodawgyi, Amarapura (Stone 296).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-052	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 7	Plate XLV		English	catalogue_entry	Plate XLV. Now at Pagan Museum (Stone 75).	high	obi-v01-n0081-ob-p0125	obi-v01-n0081	Exact structured corpus plate citation resolved to OCRed Plate XLV.	false	Linked through exact corpus plate citation(s): Pl. I 45.
iob-index-053	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate XLVI	List 195; A 59	English	catalogue_entry	"Plate XLVI. List 195. A 59. From the Shwelawun pagoda, Malun town. Now at the Patodawgyi,
Amarapura (Stone 353)."	high	obi-v01-n0102-ob-p0169	obi-v01-n0102	Exact structured corpus plate citation resolved to OCRed Plate XLVI.	false	Linked through exact corpus plate citation(s): Pl. I 46.
iob-index-054	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate XLV	List 183; PPA 150; TN 70	English	catalogue_entry	"Plate XLVH. List 183. PPA 150, TN 70. Pillar in the north porch of the Dhammayangyi pagoda,
Pagan (East face)."	high	obi-v01-n0081-ob-p0125	obi-v01-n0081	Exact structured corpus plate citation resolved to OCRed Plate XLV.	false	Linked through exact corpus plate citation(s): Pl. I 45.
iob-index-055	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate XLVIII		English	catalogue_entry	Plate XLVIII. Now at Pagan Museum (Stone 18 West face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-056	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate XLIX		English	catalogue_entry	Plate XLIX. Ditto (East face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-057	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate L	List 122; PPA 57; TN 27-28	English	catalogue_entry	"Plate L. List 122. PPA 57, TN 27-28. From the group of pagodas to the west of the Alèbaing stream,
Wetkyi-in (South face of the stone)."	high	obi-v01-n0057-ob-p0091	obi-v01-n0057	Exact structured corpus plate citation resolved to OCRed Plate L.	false	Linked through exact corpus plate citation(s): Pl. I 50.
iob-index-058	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate LI	List 19t; PPA 58; TN 28	English	catalogue_entry	Plate Ll. List 19t. PPA 58, TN 28. Ditto (North face of the stone).	high	obi-v01-n0095-re-p0142	obi-v01-n0095	Exact structured corpus plate citation resolved to OCRed Plate LI.	false	Linked through exact corpus plate citation(s): Pl. I 51.
iob-index-059	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 8	Plate LII		English	catalogue_entry	"Plate LII. From the Shwemoktaw pagoda, Kywe ywa, Talopmyo. Now at the Patodawgyi, Amarapura
(Stone 34)"	high	obi-v01-n0104-ob-p0172	obi-v01-n0104	Exact structured corpus plate citation resolved to OCRed Plate LII.	false	Linked through exact corpus plate citation(s): Pl. I 52.
