iob_plate	iob_plate_normalized	iob_page	list_ref	ppa_ref	tn_ref	sip_ref	ub_ref	jbrs_ref	other_ref	place_or_object_description	linked_inscription_id	linked_corpus_record_id	link_confidence	link_basis	needs_manual_review	notes
Plate XXVI	XXVI	7	List 1299 b							UB I 253-254 At the Kazun-o pagoda, East Pwazaw (East face). UB I 255. Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXVII	XXVII	7	List 165	PPA 167	TN 8o					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 14)	obi-v01-n0047	obi-v01-n0047-ob-p0075	high	Exact structured corpus plate citation resolved to OCRed Plate XXVII.	false	Linked through exact corpus plate citation(s): Pl. I 27.
Plate XXVIII a	XXVIIIa	7	List 168 a						A. 5	From the Shwepyishin pagoda, Pyinsi town. Now at the Patodawgyi, Amarapura (Stone 24 South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXVIII b	XXVIIIb	7	List 168 b						A 52-53- Ditto (North face)				medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXIX	XXIX	7	List 153						A 41	Amarapura (Stone 37). From the Dhammayazika pagoda, Pagan. Now at the Patodawgyi, Now at the Patodawgyi, Amarapura (Stone 38 South face). Ditto (North face)	obi-v01-n0050	obi-v01-n0050-ob-p0081	high	Exact structured corpus plate citation resolved to OCRed Plate XXIX.	false	Linked through exact corpus plate citation(s): Pl. I 29.
Plate XXX a	XXXa	7	List 169a						A 55		obi-v02-n0097	obi-v02-n0097-tx-p0188	high	Exact structured corpus plate citation resolved to OCRed Plate XXX a.	false	Linked through exact corpus plate citation(s): Pl. I 30a.
Plate XXX b	XXXb	7	List 169 b						A 56		obi-v02-n0097	obi-v02-n0097-tx-p0189	high	Exact structured corpus plate citation resolved to OCRed Plate XXX b.	false	Linked through exact corpus plate citation(s): Pl. I 30b.
Plate XXXI	XXXI	7	List 273 (a) | List 273 (b), which is on the platform of the	PPA 109-111	TN 36-57	SIP -29				From the enclosure of the Khemawara pagoda, north-east of Pagan. Now at Pagan Museum (Stone 50). This inscription is of one face only; it has no connexion with Lokananda pagoda, Thiripyissaya, Pagan	obi-v01-n0052	obi-v01-n0052-ob-p0083	high	Exact structured corpus plate citation resolved to OCRed Plate XXXI.	false	Linked through exact corpus plate citation(s): Pl. I 31.
Plate XXXII	XXXII	7	List 172	PPA 168	TN 80-81					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 15 West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXXIII	XXXIII	7								Ditto (East and North faces)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXXIV	XXXIV	7	List 174			SIP 29 30	UBI 176			From the Mahadhi pagoda, north of the Mingalazedi, Pagan. Now at Pagan Museum (Stone 49 East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXXV	XXXV	7	List 174 b				UBI 177			Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXXVI	XXXVI	7				SIP 30-32				Plate XXXVI. Saw Rahan Thein inscription, Tuywindaung, Pagan	obi-v01-n0062	obi-v01-n0062-ob-p0097	high	Exact structured corpus plate citation resolved to OCRed Plate XXXVI.	false	Linked through exact corpus plate citation(s): Pl. I 36.
Plate XXXVII	XXXVII	7	List 175	PPA 169	TN 81					From the south side of the enclosure of the Shinbinbodhi pagoda, Pagan, Now at Pagan Museum (Stone 16 West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXXVIII a	XXXVIIIa	7								Ditto (East face)	obi-v01-n0061	obi-v01-n0061-ob-p0097	high	Exact structured corpus plate citation resolved to OCRed Plate XXXVIII a.	false	Linked through exact corpus plate citation(s): Pl. I 38a.
Plate XXXVIII b	XXXVIIIb	7								Now at Pagan Museum (Stone 82)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXXIX	XXXIX	7	List 176	PPA 170	TN 81-82					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 17 West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XL	XL	7								Ditto (East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XLI	XLI	7	List 179	PPA 149	TN 69					Smaller inscription in the west porch of the Dhammayangyi pagoda, Pagan	obi-v01-n0070	obi-v01-n0070-ob-p0111	high	Exact structured corpus plate citation resolved to OCRed Plate XLI.	false	Linked through exact corpus plate citation(s): Pl. I 41.
Plate XLII	XLII	7								Now at Pagan Museum (Stone 74 West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XLIII	XLIII	7								Ditto (East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XLIV a	XLIVa	7								Now at Pagan Museum (Scone 83)	obi-v01-n0072	obi-v01-n0072-ob-p0116	high	Exact structured corpus plate citation resolved to OCRed Plate XLIV a.	false	Linked through exact corpus plate citation(s): Pl. I 44a.
Plate XLIV b	XLIVb	7	List 180						A 57	Now at the Patodawgyi, Amarapura (Stone 296)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XLV	XLV	7								Now at Pagan Museum (Stone 75)	obi-v01-n0081	obi-v01-n0081-ob-p0125	high	Exact structured corpus plate citation resolved to OCRed Plate XLV.	false	Linked through exact corpus plate citation(s): Pl. I 45.
Plate XLVI	XLVI	8	List 195						A 59	From the Shwelawun pagoda, Malun town. Now at the Patodawgyi, Amarapura (Stone 353)	obi-v01-n0102	obi-v01-n0102-ob-p0169	high	Exact structured corpus plate citation resolved to OCRed Plate XLVI.	false	Linked through exact corpus plate citation(s): Pl. I 46.
Plate XLV	XLV	8	List 183	PPA 150	TN 70					Pillar in the north porch of the Dhammayangyi pagoda, Pagan (East face)	obi-v01-n0081	obi-v01-n0081-ob-p0125	high	Exact structured corpus plate citation resolved to OCRed Plate XLV.	false	Linked through exact corpus plate citation(s): Pl. I 45.
Plate XLVIII	XLVIII	8								Now at Pagan Museum (Stone 18 West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XLIX	XLIX	8								Ditto (East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate L	L	8	List 122	PPA 57	TN 27-28					From the group of pagodas to the west of the Alèbaing stream, Wetkyi-in (South face of the stone)	obi-v01-n0057	obi-v01-n0057-ob-p0091	high	Exact structured corpus plate citation resolved to OCRed Plate L.	false	Linked through exact corpus plate citation(s): Pl. I 50.
Plate LI	LI	8	List 19t	PPA 58	TN 28					Ditto (North face of the stone)	obi-v01-n0095	obi-v01-n0095-re-p0142	high	Exact structured corpus plate citation resolved to OCRed Plate LI.	false	Linked through exact corpus plate citation(s): Pl. I 51.
Plate LII	LII	8								From the Shwemoktaw pagoda, Kywe ywa, Talopmyo. Now at the Patodawgyi, Amarapura (Stone 34)	obi-v01-n0104	obi-v01-n0104-ob-p0172	high	Exact structured corpus plate citation resolved to OCRed Plate LII.	false	Linked through exact corpus plate citation(s): Pl. I 52.
Plate LIII	LIII	8	List 194								obi-v01-n0101	obi-v01-n0101-ob-p0168	high	Exact structured corpus plate citation resolved to OCRed Plate LIII.	false	Linked through exact corpus plate citation(s): Pl. I 53.
Plate LIV	LIV	8	List 465								obi-v01-n0105	obi-v01-n0105-ob-p0173	high	Exact structured corpus plate citation resolved to OCRed Plate LIV.	false	Linked through exact corpus plate citation(s): Pl. I 54.
Plate LV a	LVa	8	List 192. a				UBI 181		A 60 | A. 58	Now at the Patodawgyi, Amarapura (Stone 33).. At the top of Tuywindaung, Pagan.. Now at the Patodawgyi, Amarapura (Stone 30)	obi-v01-n0110	obi-v01-n0110-ob-p0183	high	Exact structured corpus plate citation resolved to OCRed Plate LV a.	false	Linked through exact corpus plate citation(s): Pl. I 55a.
Plate LV b	LVb	8	List 243						A 7o	From the Shanbaikdaw Mahataw (Uttara monastery), Myinzaing. Now at the Patodawgyi, Amarapura (Stone 13)	obi-v01-n0175	obi-v01-n0175-ob-p0302	high	Exact structured corpus plate citation resolved to OCRed Plate LV b.	false	Linked through exact corpus plate citation(s): Pl. I 55b.
Plate LVI a	LVIa	8								Now at Pagan Museum (Stone 84 North face)	obi-v01-n0068	obi-v01-n0068-ob-p0107	high	Exact structured corpus plate citation resolved to OCRed Plate LVI a.	false	Linked through exact corpus plate citation(s): Pl. I 56a.
Plate LVI b	LVIb	8								Ditto (South face)	obi-v01-n0111	obi-v01-n0111-re-p0184	high	Exact structured corpus plate citation resolved to OCRed Plate LVI b.	false	Linked through exact corpus plate citation(s): Pl. I 56b.
Plate LVII a	LVIIa	8								Fragment (not numbered; dated 588 r.), now at the Patodawgyi, Amarapura			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LVII b	LVIIb	8								Now at the Patodawgyi, Amarapura (Stone 371)	obi-v01-n0115	obi-v01-n0115-ob-p0187	high	Exact structured corpus plate citation resolved to OCRed Plate LVII b.	false	Linked through exact corpus plate citation(s): Pl. I 57b.
Plate LVIII	LVIII	8								Now at Pagan Museum (Stone 76)	obi-v01-n0121	obi-v01-n0121-tx-p0198	high	Exact structured corpus plate citation resolved to OCRed Plate LVIII.	false	Linked through exact corpus plate citation(s): Pl. I 58.
Plate LIX	LIX	8	List 1251	PPA 192	TN 92					From the north side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 24)	obi-v01-n0007	obi-v01-n0007-ob-p0022	high	Exact structured corpus plate citation resolved to OCRed Plate LIX.	false	Linked through exact corpus plate citation(s): Pl. I 59.
Plate LX	LX	8								At the top of Thetso Mt., Tuywindaung, Pagan (East face of the stone)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LX b	LXb	8	List 203				UBI 183			Ditto (West face of the stone)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXI	LXI	8								Now at Pagan Museum (Stone B1)	obi-v01-n0127	obi-v01-n0127-ob-p0206	high	Exact structured corpus plate citation resolved to OCRed Plate LXI.	false	Linked through exact corpus plate citation(s): Pl. I 61.
Plate LXII	LXII	8	List 205	PPA 172 173	TN 82-83					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 13)	obi-v01-n0130	obi-v01-n0130-ob-p0211	high	Exact structured corpus plate citation resolved to OCRed Plate LXII.	false	Linked through exact corpus plate citation(s): Pl. I 62.
Plate LXIII a	LXIIIa	8	List 185	PPA 212 213	TN 98					Plate LXIII a, b..,. In the west porch of the Kubyauk-nge (Mahadhi) pagoda, Myinpagan (Obverse, 2 fragments)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXIV	LXIV	8								Ditto (Reverse)	obi-v01-n0093	obi-v01-n0093-re-p0140	high	Exact structured corpus plate citation resolved to OCRed Plate LXIV.	false	Linked through exact corpus plate citation(s): Pl. I 64.
Plate LXV a	LXVa	8	List 209	PPA 215	TN 99					Two-faced inscription on the platform of the Lokananda pagoda, Thiripyissaya, Pagan (Pali face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXV b	LXVb	8	List 210	PPA 216	TN 99-100					Ditto (Burmese face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXVI	LXVI	8								Plate LXVI Two-faced inscription found to the east of Myinpagan village'. Now at Pagan Museum, South Room (Obverse)	obi-v01-n0069	obi-v01-n0069-ob-p0108	high	Exact structured corpus plate citation resolved to OCRed Plate LXVI.	false	Linked through exact corpus plate citation(s): Pl. I 66.
Plate LXVII	LXVII	8								Ditto (Reverse)	obi-v01-n0136	obi-v01-n0136-re-p0220	high	Exact structured corpus plate citation resolved to OCRed Plate LXVII.	false	Linked through exact corpus plate citation(s): Pl. I 67.
Plate LXVIII	LXVIII	8	List 222	PPA 235-236	TN 107-108					In the West Zanthi pagoda, Minnanthu, Pagan (Obverse)	obi-v01-n0143	obi-v01-n0143-ob-p0240	high	Exact structured corpus plate citation resolved to OCRed Plate LXVIII.	false	Linked through exact corpus plate citation(s): Pl. I 68.
Plate LXIX	LXIX	9	List 213			SIP 39 42				UB I 184-185. From the Sawminlat pagoda, north of the Ananda pagoda, Pagan. Now at Pagan Museum (Stone 46, East face)	obi-v01-n0135	obi-v01-n0135-ob-p0218	high	Exact structured corpus plate citation resolved to OCRed Plate LXIX.	false	Linked through exact corpus plate citation(s): Pl. I 69.
Plate LXX	LXX	9	List 221						B II 769, said to come from a pagoda cast of the Tainggyut pagoda, Pagan	Ditto (West face). (Cf.,.)	obi-v01-n0144	obi-v01-n0144-re-p0242	high	Exact structured corpus plate citation resolved to OCRed Plate LXX.	false	Linked through exact corpus plate citation(s): Pl. I 70.
Plate LXXI	LXXI	9	List 224	PPA 17	TN 6					From the south porch of the Thatemokku pagoda, Shwe- zigon, Pagan. Now at Pagan Museum (Stone 100, West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXII	LXXII	9	List 145 c	PPA 21	TN 6					Ditto (East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXIII	LXXIII	9	List 190	PPA 224-226	TN 103-104	SIP 35-39				At the Lemyethna pagoda, Minnanthu, Pagan (large pillar to the south of the inscription-cella, East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXIV	LXXIV	9	List 121	PPA 217-218	TN 100 101					Ditto (West face)	obi-v01-n0097	obi-v01-n0097-tx-p0156	high	Exact structured corpus plate citation resolved to OCRed Plate LXXIV.	false	Linked through exact corpus plate citation(s): Pl. I 74.
Plate LXXV a	LXXVa	9	List 196	PPA 219-220	TN 101					Ditto (North face)			medium		true	Simple plate locator is ambiguous across two corpus records; keep this entry unlinked for review.
Plate LXXV	LXXV	9	List 193	PPA 227-228	TN 104-105					Plate LXXV h..,. Ditto (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXVI	LXXVI	9	List 186	PPA 221-223	TN 102-103					At the Lemyethna pagoda, Minnanthu, Pagan (large pillar to the north of the inscription-cella, East face)	obi-v01-n0142	obi-v01-n0142-tx-p0238	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVI.	false	Linked through exact corpus plate citation(s): Pl. I 76.
Plate LXXVII	LXXVII	9	List 197	PPA 229-230	TN 105					Ditto (West face)	obi-v01-n0142	obi-v01-n0142-tx-p0238	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVII.	false	Linked through exact corpus plate citation(s): Pl. I 77.
Plate LXXVIII a	LXXVIIIa	9	List 199	PPA 231-232	TN 106						obi-v01-n0142	obi-v01-n0142-tx-p0238	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVIII a.	false	Linked through exact corpus plate citation(s): Pl. I 78a.
Plate LXXVIII b	LXXVIIIb	9								Ditto (South face). Ditto (North face)	obi-v01-n0142	obi-v01-n0142-tx-p0238	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVIII b.	false	Linked through exact corpus plate citation(s): Pl. I 78b.
Plate LXXIX a	LXXIXa	9								At the Lemyethna pagoda, Minnanthu, Pagan (smaller pillar in the centre of the inscription-cella, East face)	obi-v01-n0146	obi-v01-n0146-tx-p0246	high	Exact structured corpus plate citation resolved to OCRed Plate LXXIX a.	false	Linked through exact corpus plate citation(s): Pl. I 79a.
Plate LXXIX b	LXXIXb	9	List 223	PPA 237 238	TN 108 109	SIP 42-44				Ditto (West face)	obi-v01-n0146	obi-v01-n0146-tx-p0246	high	Exact structured corpus plate citation resolved to OCRed Plate LXXIX b.	false	Linked through exact corpus plate citation(s): Pl. I 79b.
Plate LXXX	LXXX	9								At the Lemyethna pagoda, Minnanthu, Pagan (smaller pillar to the south-east of the inscription-cella, East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXXI	LXXXI	9								Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXXII a	LXXXIIa	9								Ditto (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXXII b	LXXXIIb	9								Ditto (North face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXXIII	LXXXIII	9	List 204	PPA 234	TN 107					At the Lemyethna pagoda, Minnanthu, Pagan (stone on the east side of the inscription-cella, north of the archway, East face)	obi-v01-n0128	obi-v01-n0128-ob-p0208	high	Exact structured corpus plate citation resolved to OCRed Plate LXXXIII.	false	Linked through exact corpus plate citation(s): Pl. I 83.
Plate LXXXIV	LXXXIV	9	List 173				UBI 175			At the Lemyethna pagoda, Minnanthu, Pagan (stone outside, against the north wall of the inscription-cella)			medium		true	Simple plate locator is ambiguous across multiple corpus records; keep this entry unlinked for review.
Plate LXXXV	LXXXV	9	List 231	PPA 177-178	TN 84 85					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 59)	obi-v01-n0154	obi-v01-n0154-ob-p0257	high	Exact structured corpus plate citation resolved to OCRed Plate LXXXV.	false	Linked through exact corpus plate citation(s): Pl. I 85.
Plate LXXXVI	LXXXVI	9								Now at Pagan Museums (Stone 43 East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXXVII	LXXXVII	9								Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate LXXXVIII	LXXXVIII	9	List 215	PPA 176	TN 84					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 58)	obi-v01-n0161	obi-v01-n0161-ob-p0270	high	Exact structured corpus plate citation resolved to OCRed Plate LXXXVIII.	false	Linked through exact corpus plate citation(s): Pl. I 88.
Plate LXXXIX	LXXXIX	9	List 227							UB I 294 295. On the platform of the Zeyyaput pagoda, East Pwazaw, Pagan (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XC	XC	9	List 230			SIP 45-47	UBI 178-180			Ditto (North face)	obi-v01-n0160	obi-v01-n0160-ob-p0267	high	Exact structured corpus plate citation resolved to OCRed Plate XC.	false	Linked through exact corpus plate citation(s): Pl. I 90.
Plate XCI	XCI	9	List 236a. UB 1 198-199							From the Mokku pagoda, north-east of the Shwegyaung monastery, Pagan. Now at Pagan Museum (Stone 42, East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XCII	XCII	10	List 236 b				UBI 200			Ditto (West face). 200			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XCIII	XCIII	10	List 211	PPA 59-60	TN 28-29					South of the road, about 2co ft. east of the two Kunzaw zedi which are about 700 ft. west of the Wetkyi-in stream, Pagan. Now at Pagan Museum (Stone 53)	obi-v01-n0169	obi-v01-n0169-ob-p0287	high	Exact structured corpus plate citation resolved to OCRed Plate XCIII.	false	Linked through exact corpus plate citation(s): Pl. I 93.
Plate XCIV a	XCIVa	10	List 237	PPA 99-100	TN 52					About a mile south-east of the Shwezigon, and about half a mile south of the Hngetpyittaung pagoda. Now at Pagan Museum (Stone 48, East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XCIV b	XCIVb	10								Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XCV a	XCVa	10	List 238						A 68	Now at the Patodawgyi, Amarapura (Stone 27)	obi-v01-n0173	obi-v01-n0173-ob-p0298	high	Exact structured corpus plate citation resolved to OCRed Plate XCV a.	false	Linked through exact corpus plate citation(s): Pl. I 95a.
Plate XCV b	XCVb	10								Fragment (not numbered, dated 595.). Now at the Patodawgyi, Amarapura	obi-v01-n0145	obi-v01-n0145-ob-p0244	high	Exact structured corpus plate citation resolved to OCRed Plate XCV b.	false	Linked through exact corpus plate citation(s): Pl. I 95b.
Plate XCVI	XCVI	10	List 235 a			SIP 49				UB I 195-196. From the Sawhlawun pagoda within Pagan town. Now at Pagan Museum (Stone 44. East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XCVII	XCVII	10	List 235 b										medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XCVIII	XCVIII	10	List 479	PPA 3ro	TN 143	SIP 49-52	UBI 197			Ditto (West face).,. In the Sudaungbyi inscription-shed, West Pwazaw, Pagan (stone in south-west corner, West face)	obi-v01-n0129	obi-v01-n0129-tx-p0209	high	Exact structured corpus plate citation resolved to OCRed Plate XCVIII.	false	Linked through exact corpus plate citation(s): Pl. I 98.
Plate XCIX	XCIX	10								Ditto (East face)	obi-v01-n0150	obi-v01-n0150-tx-p0253	high	Exact structured corpus plate citation resolved to OCRed Plate XCIX.	false	Linked through exact corpus plate citation(s): Pl. I 99.
Plate C	C	10								Ditto (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate C	C	10								Ditto (North face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate CI	CI	10	List 241	PPA 179-180	TN 85 86					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 21, West face)	obi-v01-n0178	obi-v01-n0178-tx-p0305	high	Exact structured corpus plate citation resolved to OCRed Plate CI.	false	Linked through exact corpus plate citation(s): Pl. I 101.
Plate C	C	10	List 287	PPA 101-102	TN 52-53					Outside the Izagawna pagoda, Minnanthu, Pagan			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate CIII	CIII	10	List 26, PPA61-62		TN 29-30					Within a brick monastery in the Shwegyaung pangdaik, Wetkyi-in, about foo ft. south-west of the Shwezigon, Pagan (Obverse)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate CIV	CIV	10	List 220										medium		true	English index-of-plates entry extracted from the OCRed volume.
