dashboard_id	inscription_id	corpus_record_id	corpus_title_or_label	corpus_language_field	corpus_language_scope	citation_target_id	citation_raw	normalized_source_key	source_role	matched_local_file_id	matched_ocr_text_path	translation_status_from_citation	source_text_status_from_citation	source_work_language_scope	citation_relevance_to_burmese_corpus	is_burmese_relevant	source_match_status	ocr_status	extraction_status	next_action	notes
corpus-dashboard-00011	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0369	Ray, Theravada Buddhism, p. 106	rayTheravadaBuddhism	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring author/title pair.
corpus-dashboard-00012	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0002	Anthology 5, p. 81	anthology	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring title keyword.
corpus-dashboard-00013	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0361	Blagden, JRAS 1909, p. 10	journalRoyalAsiaticSociety	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring publication abbreviation.
corpus-dashboard-00014	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0375	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33	uPeMaungTin1966myazediInscription	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	needs_manual_review		unclear_needs_manual_review	manual_citation_review	No stronger conservative family signal was detected.
corpus-dashboard-00015	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0376	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958	uThaMyat1958paliVersionMyazedi	source_text_witness	ib_ccclxi_myazedi_pali-b16e2d2e1d06		no_translation_indicator	likely_source_text	Pali	non_burmese_parallel_only	false	needs_ocr	not_requested	out_of_scope_non_burmese	retain_as_non_burmese_support	Kept as a narrow title-specific family because the reference may represent a translation-related work.
corpus-dashboard-00016	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0364	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	lwin1989rajakumars	source_text_witness			no_translation_indicator	likely_source_text	Pali	direct_burmese_relevance	true	needs_manual_review		unclear_needs_manual_review	manual_citation_review	Kept as a narrow title-specific family because the reference may represent a translation-related work.
corpus-dashboard-00017	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0358	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	harvey1925historyBurma	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring author/title pair.
corpus-dashboard-00018	obi-v01-n0001	obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0368	IPPA-209, 211	ppaCatalogue	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
corpus-dashboard-00019	obi-v01-n0001	obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0005	List-52	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	exact_or_near_exact_match	not_requested	out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00020	obi-v01-n0001	obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0363	IOB4-361/b	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	already_ocr_available	completed	out_of_scope_non_burmese	retain_as_non_burmese_support	No stronger conservative family signal was detected.
corpus-dashboard-00021	obi-v01-n0001	obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0006	EB Vol.1, n°1	epigraphiaBirmanica	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00022	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0368	IPPA-203	ppaCatalogue	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
corpus-dashboard-00023	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0005	List-51	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	direct_burmese_relevance	true	exact_or_near_exact_match	not_requested	citation_not_translation	use_as_cross_reference	Grouped by recurring leading label.
corpus-dashboard-00024	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0363	IOB4-364/a	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	direct_burmese_relevance	true	already_ocr_available	completed	citation_not_translation	use_as_cross_reference	No stronger conservative family signal was detected.
corpus-dashboard-00025	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0006	EB Vol.1 n°1 BED B 474-1	epigraphiaBirmanica	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label.
corpus-dashboard-00026	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0363	Pl. IV 364a+b	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	direct_burmese_relevance	true	already_ocr_available	completed	citation_not_translation	use_as_cross_reference	Grouped by recurring leading label.
corpus-dashboard-00027	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0367	OBI 1, p. 4 and OBI1,p.1	oldBurmeseInscriptions	internal_corpus_source			no_translation_indicator	no_source_text_indicator	Old Burmese	direct_burmese_relevance	true	needs_manual_review		citation_not_translation	no_extraction_action	Grouped by recurring leading label.
corpus-dashboard-00028	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0378	UEM no. 3, p. 3	uemSelectionsPagan	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	needs_manual_review		unclear_needs_manual_review	manual_citation_review	Grouped by recurring leading label.
corpus-dashboard-00029	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0006	EB 1 (1), 1919, p. 1	epigraphiaBirmanica	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label.
corpus-dashboard-00030	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0005	List 51+52	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	direct_burmese_relevance	true	exact_or_near_exact_match	not_requested	citation_not_translation	use_as_cross_reference	Grouped by recurring leading label.
corpus-dashboard-00031	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0372	TN, p. 97	tnInscriptionsPaganPinyaAva	translation_witness			likely_translation_source	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label.
corpus-dashboard-00032	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0369	Ray, Theravada Buddhism, p. 106	rayTheravadaBuddhism	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring author/title pair.
corpus-dashboard-00033	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0002	Anthology 5, p. 81	anthology	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring title keyword.
corpus-dashboard-00034	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0361	Blagden, JRAS 1909, p. 10	journalRoyalAsiaticSociety	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring publication abbreviation.
corpus-dashboard-00035	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0375	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33	uPeMaungTin1966myazediInscription	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	needs_manual_review		unclear_needs_manual_review	manual_citation_review	No stronger conservative family signal was detected.
corpus-dashboard-00036	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0376	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958	uThaMyat1958paliVersionMyazedi	source_text_witness	ib_ccclxi_myazedi_pali-b16e2d2e1d06		no_translation_indicator	likely_source_text	Pali	non_burmese_parallel_only	false	needs_ocr	not_requested	out_of_scope_non_burmese	retain_as_non_burmese_support	Kept as a narrow title-specific family because the reference may represent a translation-related work.
corpus-dashboard-00037	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0364	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	lwin1989rajakumars	source_text_witness			no_translation_indicator	likely_source_text	Pali	direct_burmese_relevance	true	needs_manual_review		unclear_needs_manual_review	manual_citation_review	Kept as a narrow title-specific family because the reference may represent a translation-related work.
corpus-dashboard-00038	obi-v01-n0002	obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0358	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	harvey1925historyBurma	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		citation_not_translation	no_extraction_action	Grouped by recurring author/title pair.
corpus-dashboard-00039	obi-v01-n0002	obi-v01-n0002-tx-p0006	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0368	IPPA-207	ppaCatalogue	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
corpus-dashboard-00040	obi-v01-n0002	obi-v01-n0002-tx-p0006	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0005	List-51	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	exact_or_near_exact_match	not_requested	out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00041	obi-v01-n0002	obi-v01-n0002-tx-p0006	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0363	IOB4-361/a	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	already_ocr_available	completed	out_of_scope_non_burmese	retain_as_non_burmese_support	No stronger conservative family signal was detected.
corpus-dashboard-00042	obi-v01-n0002	obi-v01-n0002-tx-p0006	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	pali	Pali	corpus-citation-target-0006	EB Vol.1, n°1	epigraphiaBirmanica	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00043	obi-v01-n0003	obi-v01-n0003-ob-p0008	နဘဲတောဘုရား ကျောက်စာ		unknown	corpus-citation-target-0370	RDASB 1955-56 BED B 474-2	rdasbSourceFamily	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring publication abbreviation.
corpus-dashboard-00044	obi-v01-n0003	obi-v01-n0003-ob-p0008	နဘဲတောဘုရား ကျောက်စာ		unknown	corpus-citation-target-0367	OBI 1, p. 8	oldBurmeseInscriptions	internal_corpus_source			no_translation_indicator	no_source_text_indicator	Old Burmese	out_of_scope_non_burmese_record	false	needs_manual_review		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00045	obi-v01-n0003	obi-v01-n0003-ob-p0008	နဘဲတောဘုရား ကျောက်စာ		unknown	corpus-citation-target-0357	Luce J 2675	gHLuceNotebookJ	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	out_of_scope_non_burmese_record	false	needs_manual_review		out_of_scope_non_burmese	retain_as_non_burmese_support	No stronger conservative family signal was detected.
corpus-dashboard-00046	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0368	IPPA-159	ppaCatalogue	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
corpus-dashboard-00047	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0005	List-66/a	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	exact_or_near_exact_match	not_requested	out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00048	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0363	IOB1-1 BED B 493-1	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	already_ocr_available	completed	out_of_scope_non_burmese	retain_as_non_burmese_support	No stronger conservative family signal was detected.
corpus-dashboard-00049	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0363	Pl. I 1+2	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	already_ocr_available	completed	out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00050	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0367	OBI 1, p. 11	oldBurmeseInscriptions	internal_corpus_source			no_translation_indicator	no_source_text_indicator	Old Burmese	out_of_scope_non_burmese_record	false	needs_manual_review		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00051	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0005	List 66 a+b	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	out_of_scope_non_burmese_record	false	exact_or_near_exact_match	not_requested	out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00052	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0368	PPA, p. 159	ppaCatalogue	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00053	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0372	TN, p. 73	tnInscriptionsPaganPinyaAva	translation_witness			likely_translation_source	no_source_text_indicator	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring leading label.
corpus-dashboard-00054	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0360	Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28	journalBurmaResearchSociety	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring publication abbreviation.
corpus-dashboard-00055	obi-v01-n0004	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ		unknown	corpus-citation-target-0369	Ray, Theravada Buddhism, p. 108	rayTheravadaBuddhism	commentary_witness			no_translation_indicator	no_source_text_indicator	mixed_or_uncertain	out_of_scope_non_burmese_record	false	no_local_candidate_found		out_of_scope_non_burmese	retain_as_non_burmese_support	Grouped by recurring author/title pair.
