corpus_record_id	inscription_id	corpus_title_or_label	corpus_date_or_period	corpus_language_field	citation_raw	citation_type_if_given	source_abbreviation	source_author	source_title	source_year	source_volume_issue	source_page_or_plate	mentions_translation	mentions_text	mentions_transcription	mentions_edition	mentions_rubbing_or_plate	mentions_commentary_only	corpus_language_scope	source_work_language_scope	citation_relevance_to_burmese_corpus	citation_target_id	notes
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Ray, Theravada Buddhism, p. 106	page	Theravada Buddhism	Ray	Theravada Buddhism		p. 106		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0369	Grouped by recurring author/title pair.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Anthology 5, p. 81	volume_page		Anthology 5	p. 81		5, p. 81		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0002	Grouped by recurring title keyword.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Blagden, JRAS 1909, p. 10	volume_page	JRAS		Journal of the Royal Asiatic Society	1909	1909, p. 10		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0361	Grouped by recurring publication abbreviation.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33	volume_page	Myazedi Inscription	U Pe Maung Tin	The Myazedi Inscription	1966	1966, p. 23-33		false	true	false	false	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0375	No stronger conservative family signal was detected.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958	year	Myazedi Inscription	U Tha Myat	The Pali Version of the Myazedi Inscription	1958	1958		false	true	false	false	false	false	Old Burmese	Pali	non_burmese_parallel_only	corpus-citation-target-0376	Kept as a narrow title-specific family because the reference may represent a translation-related work.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	year	U T	U Tin Lwin	Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	1989	1989		false	true	false	false	false	false	Old Burmese	Pali	direct_burmese_relevance	corpus-citation-target-0364	Kept as a narrow title-specific family because the reference may represent a translation-related work.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	page	History of Burma	G. E. Harvey	History of Burma	1925	43-44		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0358	Grouped by recurring author/title pair.
obi-v01-n0001-tx-p0002	obi-v01-n0001	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112	pali	IPPA-209, 211	number	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		209, 211		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0368	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
obi-v01-n0001-tx-p0002	obi-v01-n0001	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112	pali	List-52	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	52		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0001-tx-p0002	obi-v01-n0001	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112	pali	IOB4-361/b	unclear	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IOB4-361/b		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0363	No stronger conservative family signal was detected.
obi-v01-n0001-tx-p0002	obi-v01-n0001	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112	pali	EB Vol.1, n°1	unclear	EB		Epigraphia Birmanica	1919	EB Vol.1, n°1		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0006	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	IPPA-203	number	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		203		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0368	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	List-51	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	51		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	IOB4-364/a	unclear	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IOB4-364/a		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0363	No stronger conservative family signal was detected.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	EB Vol.1 n°1 BED B 474-1	unclear	EB		Epigraphia Birmanica	1919	EB Vol.1 n°1 BED B 474-1		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0006	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Pl. IV 364a+b	plate	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IV 364a+b		false	true	false	true	true	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0363	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	OBI 1, p. 4 and OBI1,p.1	volume_page	OBI	Tilman Frasch	Old Burmese Inscriptions		1, p. 4		false	true	false	true	false	false	Old Burmese	Old Burmese	direct_burmese_relevance	corpus-citation-target-0367	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	UEM no. 3, p. 3	volume_page	UEM	U E Maung (ed.)	Selections from the Inscriptions of Pagan	1958	3, p. 3		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0378	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	EB 1 (1), 1919, p. 1	volume_page	EB		Epigraphia Birmanica	1919	1919, p. 1		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0006	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	List 51+52	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	51+52		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	TN, p. 97	page	TN	U Tun Nyein (tr.)	Inscriptions of Pagan, Pinya and Ava	1897	97		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0372	Grouped by recurring leading label.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Ray, Theravada Buddhism, p. 106	page	Theravada Buddhism	Ray	Theravada Buddhism		p. 106		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0369	Grouped by recurring author/title pair.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Anthology 5, p. 81	volume_page		Anthology 5	p. 81		5, p. 81		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0002	Grouped by recurring title keyword.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Blagden, JRAS 1909, p. 10	volume_page	JRAS		Journal of the Royal Asiatic Society	1909	1909, p. 10		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0361	Grouped by recurring publication abbreviation.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33	volume_page	Myazedi Inscription	U Pe Maung Tin	The Myazedi Inscription	1966	1966, p. 23-33		false	true	false	false	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0375	No stronger conservative family signal was detected.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958	year	Myazedi Inscription	U Tha Myat	The Pali Version of the Myazedi Inscription	1958	1958		false	true	false	false	false	false	Old Burmese	Pali	non_burmese_parallel_only	corpus-citation-target-0376	Kept as a narrow title-specific family because the reference may represent a translation-related work.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	year	U T	U Tin Lwin	Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	1989	1989		false	true	false	false	false	false	Old Burmese	Pali	direct_burmese_relevance	corpus-citation-target-0364	Kept as a narrow title-specific family because the reference may represent a translation-related work.
obi-v01-n0002-tx-p0004	obi-v01-n0002	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	page	History of Burma	G. E. Harvey	History of Burma	1925	43-44		false	false	false	false	false	true	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0358	Grouped by recurring author/title pair.
obi-v01-n0002-tx-p0006	obi-v01-n0002	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	CS = CE	pali	IPPA-207	number	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		207		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0368	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
obi-v01-n0002-tx-p0006	obi-v01-n0002	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	CS = CE	pali	List-51	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	51		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0002-tx-p0006	obi-v01-n0002	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	CS = CE	pali	IOB4-361/a	unclear	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IOB4-361/a		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0363	No stronger conservative family signal was detected.
obi-v01-n0002-tx-p0006	obi-v01-n0002	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	CS = CE	pali	EB Vol.1, n°1	unclear	EB		Epigraphia Birmanica	1919	EB Vol.1, n°1		false	true	false	true	false	false	Pali	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0006	Grouped by recurring leading label.
obi-v01-n0003-ob-p0008	obi-v01-n0003	နဘဲတောဘုရား ကျောက်စာ	CS 474 = CE 1112 AB 1656 = CE 1112		RDASB 1955-56 BED B 474-2	year	RDASB		Report of the Director, Archaeological Survey of Burma	1955	1955		false	false	false	false	false	true	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0370	Grouped by recurring publication abbreviation.
obi-v01-n0003-ob-p0008	obi-v01-n0003	နဘဲတောဘုရား ကျောက်စာ	CS 474 = CE 1112 AB 1656 = CE 1112		OBI 1, p. 8	volume_page	OBI	Tilman Frasch	Old Burmese Inscriptions		1, p. 8		false	true	false	true	false	false	unknown	Old Burmese	out_of_scope_non_burmese_record	corpus-citation-target-0367	Grouped by recurring leading label.
obi-v01-n0003-ob-p0008	obi-v01-n0003	နဘဲတောဘုရား ကျောက်စာ	CS 474 = CE 1112 AB 1656 = CE 1112		Luce J 2675	unclear	Luce J	G. H. Luce	G. H. Luce Notebook J		Luce J 2675		false	false	false	false	false	true	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0357	No stronger conservative family signal was detected.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		IPPA-159	number	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		159		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0368	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		List-66/a	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	66/a		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		IOB1-1 BED B 493-1	unclear	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IOB1-1 BED B 493-1		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0363	No stronger conservative family signal was detected.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		Pl. I 1+2	plate	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	I 1+2		false	true	false	true	true	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0363	Grouped by recurring leading label.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		OBI 1, p. 11	volume_page	OBI	Tilman Frasch	Old Burmese Inscriptions		1, p. 11		false	true	false	true	false	false	unknown	Old Burmese	out_of_scope_non_burmese_record	corpus-citation-target-0367	Grouped by recurring leading label.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		List 66 a+b	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	66 a+b		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		PPA, p. 159	page	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		159		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0368	Grouped by recurring leading label.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		TN, p. 73	page	TN	U Tun Nyein (tr.)	Inscriptions of Pagan, Pinya and Ava	1897	73		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0372	Grouped by recurring leading label.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28	volume_page	JBRS		Journal of the Burma Research Society	1920	1920, p. 67-74		false	false	false	false	false	true	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0360	Grouped by recurring publication abbreviation.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		Ray, Theravada Buddhism, p. 108	page	Theravada Buddhism	Ray	Theravada Buddhism		p. 108		false	false	false	false	false	true	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0369	Grouped by recurring author/title pair.
obi-v01-n0004-ob-p0011	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS 492 = CE 1130 Śaka 1053 = CE 1131		OR 3475, no. 18	number	OR		British Library Oriental manuscripts		3475, no. 18		false	false	false	false	false	true	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0003	Grouped by recurring leading label.
obi-v01-n0004-re-p0015	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS = CE		IPPA-162	number	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		162		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0368	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
obi-v01-n0004-re-p0015	obi-v01-n0004	ရွှေဂူကြီးဘုရားကျောက်စာ	CS = CE		List-66/b	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	66/b		false	true	false	true	false	false	unknown	mixed_or_uncertain	out_of_scope_non_burmese_record	corpus-citation-target-0005	Grouped by recurring leading label.
