bibliography_id	short_label	raw_reference_strings	ocr_status	translation_relevance
bib-b-2-p-630	B 2, p. 630	B 2, p. 630	not_started	unknown
bib-b-2-p-645-646	B 2, p. 645-646	B 2, p. 645-646	not_started	unknown
bib-b-2-p-665-first-part	B 2, p. 665 (first part)	B 2, p. 665 (first part)	not_started	unknown
bib-b-2-p-72	B 2, p. 72	B 2, p. 72	not_started	unknown
bib-b-2-p-722	B 2, p. 722	B 2, p. 722	not_started	unknown
bib-b-2-p-747	B 2 p. 747	B 2 p. 747 | B 2, p. 747	not_started	unknown
bib-b-2-p-76	B 2, p. 76	B 2, p. 76	not_started	unknown
bib-b-2-p-760	B 2, p. 760	B 2, p. 760	not_started	unknown
bib-b-2-p-768	B 2, p. 768	B 2, p. 768	not_started	unknown
bib-b-2-p-769	B 2, p. 769	B 2, p. 769	not_started	unknown
bib-b-2-p-781-783	B 2, p. 781-783	B 2, p. 781-783	not_started	unknown
bib-b-2-p-788	B 2, p. 788	B 2, p. 788	not_started	unknown
bib-b-2-p-792	B 2, p. 792	B 2, p. 792	not_started	unknown
bib-b-2-p-796	B 2, p. 796	B 2, p. 796	not_started	unknown
bib-b-2-p-796-mm	B 2, p. 796 (MM)	B 2, p. 796 (MM)	not_started	unknown
bib-b-2-p-813	B 2, p. 813	B 2, p. 813	not_started	unknown
bib-b-2-p-815	B 2, p. 815	B 2, p. 815	not_started	unknown
bib-b-2-p-818	B 2, p. 818	B 2, p. 818	not_started	unknown
bib-b-2-p-819-dated-cs-636-1274-and-list-453-second-inscr	B 2, p. 819 (dated CS 636/ 1274) and List 453 (second inscr.)	B 2, p. 819 (dated CS 636/ 1274) and List 453 (second inscr.)	not_started	unknown
bib-b-2-p-819-first-inscr	B 2, p. 819 (first inscr.)	B 2, p. 819 (first inscr.)	not_started	unknown
bib-b-2-p-821	B 2, p. 821	B 2, p. 821	not_started	unknown
bib-b-2-p-822	B 2, p. 822	B 2, p. 822	not_started	unknown
bib-b-2-p-823	B 2, p. 823	B 2, p. 823	not_started	unknown
bib-b-2-p-827-dated-cs-676-1314	B 2, p. 827 (dated CS 676/1314)	B 2, p. 827 (dated CS 676/1314)	not_started	unknown
bib-b-2-p-830	B 2, p. 830	B 2, p. 830	not_started	unknown
bib-b-2-p-838	B 2, p. 838	B 2, p. 838	not_started	unknown
bib-b-2-p-842	B 2, p. 842	B 2, p. 842	not_started	unknown
bib-b-2-p-846	B 2, p. 846	B 2, p. 846	not_started	unknown
bib-b-2-p-847	B 2, p. 847	B 2, p. 847	not_started	unknown
bib-b-2-p-887	B 2, p. 887	B 2, p. 887	not_started	unknown
bib-b-2-p-927	B 2, p. 927	B 2, p. 927	not_started	unknown
bib-b-28	/b+ 28	/b+ 28	not_started	unknown
bib-ba-1-9	BA 1, 9	BA 1, 9	not_started	unknown
bib-ba-10	BA-10	BA-10	not_started	unknown
bib-ba-101	BA-101	BA-101	not_started	unknown
bib-ba-103	BA-103	BA-103	not_started	unknown
bib-ba-105	BA-105	BA-105	not_started	unknown
bib-ba-106	BA-106,	BA-106,	not_started	unknown
bib-ba-107	BA 107	BA 107	not_started	unknown
bib-ba-109-157	BA-109, 157	BA-109, 157	not_started	unknown
bib-ba-11	BA-11	BA-11	not_started	unknown
bib-ba-110	BA-110	BA-110	not_started	unknown
bib-ba-111	BA-111	BA-111	not_started	unknown
bib-ba-112	BA 112	BA 112	not_started	unknown
bib-ba-113	BA-113,	BA-113,	not_started	unknown
bib-ba-114	BA-114	BA-114	not_started	unknown
bib-ba-115	BA-115	BA-115	not_started	unknown
bib-ba-116	BA-116	BA-116	not_started	unknown
bib-ba-117	BA-117	BA-117	not_started	unknown
bib-ba-118	BA-118	BA-118	not_started	unknown
bib-ba-121	BA-121	BA-121	not_started	unknown
bib-ba-122	BA-122	BA-122	not_started	unknown
bib-ba-124	BA-124	BA-124	not_started	unknown
bib-ba-125	BA-125	BA-125	not_started	unknown
bib-ba-127	BA-127	BA-127	not_started	unknown
bib-ba-128	BA-128	BA-128	not_started	unknown
bib-ba-130	BA-130	BA-130	not_started	unknown
bib-ba-133	BA-133	BA-133	not_started	unknown
bib-ba-135	BA 135	BA 135	not_started	unknown
bib-ba-137-138	BA-137-138	BA-137-138	not_started	unknown
bib-ba-139-140	BA-139-140	BA-139-140	not_started	unknown
bib-ba-141	BA-141	BA-141	not_started	unknown
bib-ba-142	BA-142	BA-142	not_started	unknown
bib-ba-143-144	BA-143-144	BA-143-144	not_started	unknown
bib-ba-145	BA-145	BA-145	not_started	unknown
bib-ba-146	BA-146	BA-146	not_started	unknown
bib-ba-147	BA-147	BA-147	not_started	unknown
bib-ba-149	BA-149	BA-149	not_started	unknown
bib-ba-150	BA-150	BA-150	not_started	unknown
bib-ba-151-152	BA-151-152	BA-151-152	not_started	unknown
bib-ba-153	BA-153	BA-153	not_started	unknown
bib-ba-154	BA-154	BA-154	not_started	unknown
bib-ba-156	BA-156	BA-156	not_started	unknown
bib-ba-16	BA-16	BA-16	not_started	unknown
bib-ba-162	BA-162	BA-162	not_started	unknown
bib-ba-164	BA-164	BA-164	not_started	unknown
bib-ba-165	BA-165	BA-165	not_started	unknown
bib-ba-166-167	BA-166-167	BA-166-167	not_started	unknown
bib-ba-168	BA-168	BA-168	not_started	unknown
bib-ba-169	BA-169	BA-169	not_started	unknown
bib-ba-170	BA-170	BA-170	not_started	unknown
bib-ba-174	BA-174	BA-174	not_started	unknown
bib-ba-177	BA-177	BA-177	not_started	unknown
bib-ba-179	BA-179	BA-179	not_started	unknown
bib-ba-18	BA-18	BA-18	not_started	unknown
bib-ba-183	BA-183	BA-183	not_started	unknown
bib-ba-184	BA-184	BA-184	not_started	unknown
bib-ba-185	BA-185	BA-185	not_started	unknown
bib-ba-186	BA-186	BA-186	not_started	unknown
bib-ba-187	BA-187	BA-187	not_started	unknown
bib-ba-188	BA-188	BA-188	not_started	unknown
bib-ba-189	BA-189	BA-189	not_started	unknown
bib-ba-19	BA-19	BA-19	not_started	unknown
bib-ba-190	BA-190	BA-190	not_started	unknown
bib-ba-191	BA-191	BA-191	not_started	unknown
bib-ba-192	BA-192	BA-192	not_started	unknown
bib-ba-193	BA-193	BA-193	not_started	unknown
bib-ba-194	BA-194,	BA-194,	not_started	unknown
bib-ba-195	BA-195,	BA-195,	not_started	unknown
bib-ba-197	BA-197	BA-197	not_started	unknown
bib-ba-198-199	BA-198-199	BA-198-199	not_started	unknown
bib-ba-200	BA-200	BA-200	not_started	unknown
bib-ba-202	BA-202,	BA-202,	not_started	unknown
bib-ba-209	BA-209	BA-209	not_started	unknown
bib-ba-215	BA-215	BA-215	not_started	unknown
bib-ba-217	BA-217	BA-217	not_started	unknown
bib-ba-225-226	BA-225-226	BA-225-226	not_started	unknown
bib-ba-228-582	BA-228 & 582	BA-228 & 582	not_started	unknown
bib-ba-229	BA-229	BA-229	not_started	unknown
bib-ba-244	BA-244	BA-244	not_started	unknown
bib-ba-254	BA-254	BA-254	not_started	unknown
bib-ba-27	BA-27	BA-27	not_started	unknown
bib-ba-270	BA-270	BA-270	not_started	unknown
bib-ba-271-272	BA-271-272	BA-271-272	not_started	unknown
bib-ba-273	BA-273	BA-273	not_started	unknown
bib-ba-274	BA-274	BA-274	not_started	unknown
bib-ba-28	BA-28	BA-28	not_started	unknown
bib-ba-332	BA-332	BA-332	not_started	unknown
bib-ba-34	BA-34	BA-34	not_started	unknown
bib-ba-357	BA-357	BA-357	not_started	unknown
bib-ba-36	BA-36	BA-36	not_started	unknown
bib-ba-39	BA-39	BA-39	not_started	unknown
bib-ba-395	BA-395	BA-395	not_started	unknown
bib-ba-399	BA-399,	BA-399,	not_started	unknown
bib-ba-41	BA-41	BA-41	not_started	unknown
bib-ba-419	BA-419	BA-419	not_started	unknown
bib-ba-42	BA-42	BA-42	not_started	unknown
bib-ba-428	BA-428,	BA-428,	not_started	unknown
bib-ba-43	BA-43	BA-43	not_started	unknown
bib-ba-436-1-2-3-4-5	BA-436, 1-2-3-4-5-,	BA-436, 1-2-3-4-5-,	not_started	unknown
bib-ba-437	BA-437	BA-437	not_started	unknown
bib-ba-466	BA-466	BA-466	not_started	unknown
bib-ba-47	BA-47	BA-47	not_started	unknown
bib-ba-471	BA-471	BA-471	not_started	unknown
bib-ba-472	BA-472	BA-472	not_started	unknown
bib-ba-474	BA-474	BA-474	not_started	unknown
bib-ba-487	BA-487	BA-487	not_started	unknown
bib-ba-49	BA-49	BA-49	not_started	unknown
bib-ba-494	BA-494	BA-494	not_started	unknown
bib-ba-496	BA-496	BA-496	not_started	unknown
bib-ba-50	BA-50	BA-50	not_started	unknown
bib-ba-508	BA-508	BA-508	not_started	unknown
bib-ba-51	BA-51	BA-51	not_started	unknown
bib-ba-510	BA-510	BA-510	not_started	unknown
bib-ba-52	BA-52	BA-52	not_started	unknown
bib-ba-535	BA-535	BA-535	not_started	unknown
bib-ba-54	BA-54	BA-54	not_started	unknown
bib-ba-545	BA-545	BA-545	not_started	unknown
bib-ba-546	BA-546	BA-546	not_started	unknown
bib-ba-55-56	BA-55 & 56	BA-55 & 56	not_started	unknown
bib-ba-554	BA-554	BA-554	not_started	unknown
bib-ba-57-539	BA-57 & 539	BA-57 & 539	not_started	unknown
bib-ba-574-227	BA-574-227	BA-574-227	not_started	unknown
bib-ba-58	BA-58	BA-58	not_started	unknown
bib-ba-583	BA-583	BA-583	not_started	unknown
bib-ba-59	BA-59	BA-59	not_started	unknown
bib-ba-595	BA-595	BA-595	not_started	unknown
bib-ba-60	BA-60	BA-60	not_started	unknown
bib-ba-61	BA-61	BA-61	not_started	unknown
bib-ba-62	BA-62	BA-62	not_started	unknown
bib-ba-63	BA-63	BA-63	not_started	unknown
bib-ba-66	BA-66,	BA-66,	not_started	unknown
bib-ba-67	BA-67	BA-67	not_started	unknown
bib-ba-68	BA-68	BA-68	not_started	unknown
bib-ba-69	BA 69	BA 69	not_started	unknown
bib-ba-7	BA-7	BA-7	not_started	unknown
bib-ba-70	BA-70	BA-70	not_started	unknown
bib-ba-71	BA-71	BA-71	not_started	unknown
bib-ba-72	BA-72	BA-72	not_started	unknown
bib-ba-75	BA-75	BA-75	not_started	unknown
bib-ba-79	BA-79	BA-79	not_started	unknown
bib-ba-80	BA-80	BA-80	not_started	unknown
bib-ba-81	BA-81	BA-81	not_started	unknown
bib-ba-82	BA-82	BA-82	not_started	unknown
bib-ba-83	BA-83	BA-83	not_started	unknown
bib-ba-85	BA-85	BA-85	not_started	unknown
bib-ba-86	BA-86	BA-86	not_started	unknown
bib-ba-88	BA-88	BA-88	not_started	unknown
bib-ba-89	BA-89	BA-89	not_started	unknown
bib-ba-90	BA-90	BA-90	not_started	unknown
bib-ba-93	BA-93	BA-93	not_started	unknown
bib-ba-97-492	BA-97 & 492	BA-97 & 492	not_started	unknown
bib-ba-98	BA-98	BA-98	not_started	unknown
bib-ba-99	BA-99	BA-99	not_started	unknown
bib-ba-bed-b-635-2	BA BED B 635-2	BA BED B 635-2	not_started	unknown
bib-bed-a	BED A	BED A	not_started	unknown
bib-bed-b-481-1	BED B 481-1	BED B 481-1	not_started	unknown
bib-bed-b-512-1	BED B 512-1	BED B 512-1	not_started	unknown
bib-bed-b-512-4	BED B 512-4	BED B 512-4	not_started	unknown
bib-bed-b-530-3	BED B 530-3	BED B 530-3	not_started	unknown
bib-bed-b-532-1	BED B 532-1	BED B 532-1	not_started	unknown
bib-bed-b-538-1	BED B 538-1	BED B 538-1	not_started	unknown
bib-bed-b-545-1	BED B 545-1	BED B 545-1	not_started	unknown
bib-bed-b-557-5	BED B 557-5	BED B 557-5	not_started	unknown
bib-bed-b-558-2	BED B 558-2	BED B 558-2	not_started	unknown
bib-bed-b-559-2	BED B 559-2	BED B 559-2	not_started	unknown
bib-bed-b-567-1	BED B 567-1	BED B 567-1	not_started	unknown
bib-bed-b-570-3	BED B 570-3	BED B 570-3	not_started	unknown
bib-bed-b-577-1	BED B 577-1	BED B 577-1	not_started	unknown
bib-bed-b-584-1	BED B 584-1	BED B 584-1	not_started	unknown
bib-bed-b-586-4	BED B 586-4	BED B 586-4	not_started	unknown
bib-bed-b-586-8	BED B 586-8	BED B 586-8	not_started	unknown
bib-bed-b-587-2a	BED B 587-2a	BED B 587-2a	not_started	unknown
bib-bed-b-587-2b	BED B 587-2b	BED B 587-2b	not_started	unknown
bib-bed-b-587-7	BED B 587-7	BED B 587-7	not_started	unknown
bib-bed-b-588-4	BED B 588-4	BED B 588-4	not_started	unknown
bib-bed-b-591-6	BED B 591-6	BED B 591-6	not_started	unknown
bib-bed-b-593-3	BED B 593-3	BED B 593-3	not_started	unknown
bib-bed-b-594-5	BED B 594-5	BED B 594-5	not_started	unknown
bib-bed-b-595-11	BED B 595-11	BED B 595-11	not_started	unknown
bib-bed-b-595-7	BED B 595-7	BED B 595-7	not_started	unknown
bib-bed-b-595-8	BED B 595-8	BED B 595-8	not_started	unknown
bib-bed-b-597-11	BED B 597-11	BED B 597-11	not_started	unknown
bib-bed-b-597-12	BED B 597-12	BED B 597-12	not_started	unknown
bib-bed-b-597-3	BED B 597-3	BED B 597-3	not_started	unknown
bib-bed-b-598-6a	BED B 598-6a	BED B 598-6a	not_started	unknown
bib-bed-b-600-7	BED B 600-7	BED B 600-7	not_started	unknown
bib-bed-b-602-1	BED B 602-1	BED B 602-1	not_started	unknown
bib-bed-b-602-4	BED B 602-4	BED B 602-4	not_started	unknown
bib-bed-b-602-5	BED B 602-5	BED B 602-5	not_started	unknown
bib-bed-b-603-2	BED B 603-2	BED B 603-2	not_started	unknown
bib-bed-b-603-4	BED B 603-4	BED B 603-4	not_started	unknown
bib-bed-b-604-6	BED B 604-6	BED B 604-6	not_started	unknown
bib-bed-b-604-9	BED B 604-9	BED B 604-9	not_started	unknown
bib-bed-b-609-2	BED B 609-2	BED B 609-2	not_started	unknown
bib-bed-b-612-1	BED B 612-1	BED B 612-1	not_started	unknown
bib-bed-b-620-3	BED B 620-3	BED B 620-3	not_started	unknown
bib-bed-b-622-12	BED B 622-12	BED B 622-12	not_started	unknown
bib-bed-b-622-4	BED B 622-4	BED B 622-4	not_started	unknown
bib-bed-b-622-6	BED B 622-6	BED B 622-6	not_started	unknown
bib-bed-b-623-1	BED B 623-1	BED B 623-1	not_started	unknown
bib-bed-b-628-7	BED B 628-7	BED B 628-7	not_started	unknown
bib-bed-b-645-2	BED B 645-2	BED B 645-2	not_started	unknown
bib-bed-b-711-1	BED B 711-1	BED B 711-1	not_started	unknown
bib-blagden-jras-1909-p-10	Blagden, JRAS 1909, p. 10	Blagden, JRAS 1909, p. 10	not_started	unknown
bib-bm1-183-184	BM1-183-184	BM1-183-184	not_started	unknown
bib-bm1-184	BM1-184	BM1-184	not_started	unknown
bib-bm1-245	BM1-245	BM1-245	not_started	unknown
bib-bm1-250	BM1-250,	BM1-250,	not_started	unknown
bib-bm1-262-270	BM1-262+270	BM1-262+270	not_started	unknown
bib-bm1-270-279	BM1-270 + 279	BM1-270 + 279	not_started	unknown
bib-bm1-351-352	BM1-351-352	BM1-351-352	not_started	unknown
bib-bm1-380	BM1-380	BM1-380	not_started	unknown
bib-bm1-381	BM1-381	BM1-381	not_started	unknown
bib-bm1-420	BM1-420	BM1-420	not_started	unknown
bib-bm1-72	BM1-72	BM1-72	not_started	unknown
bib-bm1-80	BM1-80	BM1-80	not_started	unknown
bib-bm1184	BM1184	BM1184	not_started	unknown
bib-bm2-558	BM2 -558	BM2 -558	not_started	unknown
bib-bm2-760	BM2-760	BM2-760	not_started	unknown
bib-bm2-768	BM2-768	BM2-768	not_started	unknown
bib-bm2-830-838	BM2-830, 838	BM2-830, 838	not_started	unknown
bib-co-pies-list-225	co pies List 225	co pies List 225	not_started	unknown
bib-copies-list-212	copies: List 212	copies: List 212	not_started	unknown
bib-copies-list-217	copies List 217	copies List 217	not_started	unknown
bib-copies-list-402-second-inscr	copies List 402 (second inscr.)	copies List 402 (second inscr.)	not_started	unknown
bib-copy-list-106	copy List 106	copy List 106	not_started	unknown
bib-copy-list-114	copy List 114	copy List 114	not_started	unknown
bib-copy-list-150	copy List 150	copy List 150	not_started	unknown
bib-copy-list-163-162	copy List 163 (162?)	copy List 163 (162?)	not_started	unknown
bib-copy-list-221	copy List 221	copy List 221	not_started	unknown
bib-copy-list-28-dated-cs-433-1071	copy List 28 (dated CS 433/ 1071)	copy List 28 (dated CS 433/ 1071)	not_started	unknown
bib-copy-list-316-317	copy List 316-317	copy List 316-317	not_started	unknown
bib-copy-list-347	copy List 347	copy List 347	not_started	unknown
bib-copy-list-402	copy List 402	copy List 402	not_started	unknown
bib-copy-list-427	copy List 427	copy List 427	not_started	unknown
bib-copy-list-486	copy List 486	copy List 486	not_started	unknown
bib-copy-list-5	copy List 5	copy List 5	not_started	unknown
bib-copy-list-918	copy List 918	copy List 918	not_started	unknown
bib-copy-mm-3-no-30-p-131	copy MM 3, no. 30, p. 131	copy MM 3, no. 30, p. 131	not_started	unknown
bib-copy-partly-list-116	copy (partly): List 116	copy (partly): List 116	not_started	unknown
bib-cp-a-p-17-first-part	cp. A, p. 17 (first part)	cp. A, p. 17 (first part)	not_started	unknown
bib-duroiselle-arasi-1912-p-149-51-hledaung-inscr	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr.)	Duroiselle, ARASI 1912, p. 149-51 (Hledaung inscr.)	not_started	unknown
bib-duroiselle-jbrs-6-2-1916-p-88	Duroiselle, JBRS 6.2, 1916, p. 88	Duroiselle, JBRS 6.2, 1916, p. 88	not_started	unknown
bib-eb-1-1-1919-p-1	EB 1 (1), 1919, p. 1	EB 1 (1), 1919, p. 1	not_started	unknown
bib-eb-vol-1-n-1	EB Vol.1, n°1	EB Vol.1, n°1	not_started	unknown
bib-eb-vol-1-n-1-bed-b-474-1	EB Vol.1, n°1 BED B 474-1	EB Vol.1, n°1 BED B 474-1 | EB Vol.1 n°1 BED B 474-1	not_started	unknown
bib-frasch-coastal-peripheries-p-74	Frasch, “Coastal Peripheries”, p. 74	Frasch, “Coastal Peripheries”, p. 74	not_started	unknown
bib-frasch-mhrj-1998-p-23-37	Frasch, MHRJ 1998, p. 23-37	Frasch, MHRJ 1998, p. 23-37	not_started	unknown
bib-frasch-pagan-p-102-103	Frasch, Pagan, p. 102-103	Frasch, Pagan, p. 102-103	not_started	unknown
bib-harvey-history-p-331	Harvey, History, p. 331	Harvey, History, p. 331	not_started	unknown
bib-hla-thamein-bagan-hket-p-113	Hla Thamein, Bagan-hket, p. 113	Hla Thamein, Bagan-hket, p. 113	not_started	unknown
bib-htupayon-2-p-117	Htupayon 2, p. 117	Htupayon 2, p. 117	not_started	unknown
bib-htupayon-2-p-183	Htupayon 2, p. 183	Htupayon 2, p. 183	not_started	unknown
bib-htupayon1-p-249	Htupayon1 p.249,	Htupayon1 p.249,	not_started	unknown
bib-in-situ	in situ	in situ	not_started	unknown
bib-iob-1-51-bed-b-572	IOB-1-51. BED B 572	IOB-1-51. BED B 572	not_started	unknown
bib-iob-192-bed-b-600-7	IOB-192 BED B 600-7	IOB-192 BED B 600-7	not_started	unknown
bib-iob-278-bed-b-622-4	IOB--278 BED B 622-4	IOB--278 BED B 622-4	not_started	unknown
bib-iob-34-bed-b-573-2	IOB-34 BED B 573-2	IOB-34 BED B 573-2	not_started	unknown
bib-iob-418-bed-b-622-6	IOB-418 BED B 622-6	IOB-418 BED B 622-6	not_started	unknown
bib-iob-44-b-33-b-bed-b-578-4	IOB-44/b & 33/b BED B 578-4	IOB-44/b & 33/b BED B 578-4	not_started	unknown
bib-iob-446-a-bed-b-623-1	IOB-446/a BED B 623-1	IOB-446/a BED B 623-1	not_started	unknown
bib-iob-462-b	IOB--462/b	IOB--462/b	not_started	unknown
bib-iob-47-bed-b-582-2	IOB-47 BED B 582-2	IOB-47 BED B 582-2	not_started	unknown
bib-iob1-1-bed-b-493-1	IOB1-1 BED B 493-1	IOB1-1 BED B 493-1	not_started	unknown
bib-iob1-10-a-bed-b-552-1	IOB1-10/a BED B 552-1	IOB1-10/a BED B 552-1	not_started	unknown
