sip_inscription_unit_id	parent_witness_unit_id	sip_ref	iob_plate	list_ref	ppa_ref	tn_ref	detected_entry_number	detected_entry_title	detected_entry_location	raw_ocr_text_snippet	cleaned_witness_text_snippet	candidate_corpus_record_ids	candidate_inscription_ids	candidate_basis	current_review_status	unlinked_review_status	reason_for_review	recommended_human_action	notes
sip-witness-007-seg-01	sip-witness-007	SIP 29-30	Plate XXXIV	List 174						ja (၂၆) ၊ လုနှစ်တွက်သေါအကုတိယ် ၂၃၀ အနှစ် ၄ သန်မှတနိယ်ဟိသေါသင်္ဃာ တငြယ်၊ လုနှစ်တွက်သေါအကူတိ။ (၂၇) ၉၂၁ ကူတိယ်အ မွတ်အနှစ် ၆ သန်မှ တနိယ်ဟိသော ရေါရပ်ငြယ်။ ခုနှစ် တွက်သေါအကူတိယ် ၃ (၂၀) ၆၀၆ ကုတိယ်အမွတ်အနှစ် ၄ သန်မှ တနိယ်ဟိသောမဟ	ja (၂၆) ၊ လုနှစ်တွက်သေါအကုတိယ် ၂၃၀ အနှစ် ၄ သန်မှတနိယ်ဟိသေါသင်္ဃာ တငြယ်၊ လုနှစ်တွက်သေါအကူတိ။ (၂၇) ၉၂၁ ကူတိယ်အ မွတ်အနှစ် ၆ သန်မှ တနိယ်ဟိသော ရေါရပ်ငြယ်။ ခုနှစ် တွက်သေါအကူတိယ် ၃ (၂၀) ၆၀၆ ကုတိယ်အမွတ်အနှစ် ၄ သန်မှ တနိယ်ဟိသောမဟ			list ref List 174 | IOB plate Plate XXXIV | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 29-30 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-007. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-007-seg-02	sip-witness-007	SIP 29-30	Plate XXXIV	List 174			16	မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။		၁၆။ မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။ (၁) ဝ ။ သကရစ် ၅၇၃ ခု။ အာသုတ်နှစ်သံဝစ်ဆိရ်နှစ်။ (၂) သန္တုလဆုတ် ၇ ရှက်ကြသပတိယ်နိယ်အာအတိုင်သျှင်အလေါင် ၇ (၃) မင် (က)။ ဖုရှါကိုဝ်သိင်မဟာထီထမ္မ၀ိလဿတန်ဆာပုစဝ်သောရှ (၄) နှိုက်သိင်	၁၆။ မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။ (၁) ဝ ။ သကရစ် ၅၇၃ ခု။ အာသုတ်နှစ်သံဝစ်ဆိရ်နှစ်။ (၂) သန္တုလဆုတ် ၇ ရှက်ကြသပတိယ်နိယ်အာအတိုင်သျှင်အလေါင် ၇ (၃) မင် (က)။ ဖုရှါကိုဝ်သိင်မဟာထီထမ္မ၀ိလဿတန်ဆာပုစဝ်သောရှ (၄) နှိုက်သိင်			list ref List 174 | IOB plate Plate XXXIV | title မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။ | Local SIP citation evidence only.	needs_link_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 29-30 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-007. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-008-seg-01	sip-witness-008	SIP 30-32	Plate XXXVI							၂၉ (၃၅) တံသဘုရါတိုပ်ကိုင် လေမဘူစေသတေ။ ငာကောင်မှုကိုပ် ပင်ပါခေl မင်မင်မျာမင်သါအမ (၃၆) ်စစ်သူကြီပိုဒ်ပါ ရဟန်သင်္ဃာတိုင်သည် အရိယ်အရံ မူလေယူပါ၏။ င ဝတ္ထုကိုဝ်စါကာမမူ (၃၇) စူ ဖါသသူ၊ တိမ်ခဲငြိသည်ကိုဝ်မဝ်ပါသသူဟာ၊ လူဖွစ်သေါသေလူတက	၂၉ (၃၅) တံသဘုရါတိုပ်ကိုင် လေမဘူစေသတေ။ ငာကောင်မှုကိုပ် ပင်ပါခေl မင်မင်မျာမင်သါအမ (၃၆) ်စစ်သူကြီပိုဒ်ပါ ရဟန်သင်္ဃာတိုင်သည် အရိယ်အရံ မူလေယူပါ၏။ င ဝတ္ထုကိုဝ်စါကာမမူ (၃၇) စူ ဖါသသူ၊ တိမ်ခဲငြိသည်ကိုဝ်မဝ်ပါသသူဟာ၊ လူဖွစ်သေါသေလူတက	obi-v01-n0062-ob-p0097		local candidate ids from SIP-to-corpus cross-reference search | IOB plate Plate XXXVI | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	Linked through exact corpus plate citation(s): Pl. I 36. | Extracted from SIP printed pages 30-32 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-008. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-008-seg-02	sip-witness-008	SIP 30-32	Plate XXXVI				16	မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။		၁၆။ မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။ (၁) ဝ ။ သကရစ် ၅၇၃ ခု။ အာသုတ်နှစ်သံဝစ်ဆိရ်နှစ်။ (၂) သန္တုလဆုတ် ၇ ရှက်ကြသပတိယ်နိယ်အာအတိုင်သျှင်အလေါင် ၇ (၃) မင် (က)။ ဖုရှါကိုဝ်သိင်မဟာထီထမ္မ၀ိလဿတန်ဆာပုစဝ်သောရှ (၄) နှိုက်သိင်	၁၆။ မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။ (၁) ဝ ။ သကရစ် ၅၇၃ ခု။ အာသုတ်နှစ်သံဝစ်ဆိရ်နှစ်။ (၂) သန္တုလဆုတ် ၇ ရှက်ကြသပတိယ်နိယ်အာအတိုင်သျှင်အလေါင် ၇ (၃) မင် (က)။ ဖုရှါကိုဝ်သိင်မဟာထီထမ္မ၀ိလဿတန်ဆာပုစဝ်သောရှ (၄) နှိုက်သိင်	obi-v01-n0062-ob-p0097		local candidate ids from SIP-to-corpus cross-reference search | IOB plate Plate XXXVI | title မဟာထီးဘုရားကျောက်စာ၊ ပုဂံမင်္ဂလာစေတီမြောက်။ | Local SIP citation evidence only.	needs_link_review	plausible_link_needs_human_review	Linked through exact corpus plate citation(s): Pl. I 36. | Extracted from SIP printed pages 30-32 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-008. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-009-seg-01	sip-witness-009	SIP 39-42	Plate LXIX	List 213						po (၂၁) တန်တိုင်တစ်ထပ်သော အပန်ကျင်ကာ သာသနာကိုင် ချွတ်ရယ်ညှင် ကျင်သောလှိုင် အရိယာတိုက်နိယ်စိ သောငှာ မျာစွာသော လောင် လေအစန်ပြု၏ (၂၂) လွိုင်အရိယာတိုင္အရိယ်ချီသာစိ၌ သောဌာ ဥတ္တိဖွယ်သောရိယ်တွင်လေ တူ၏။ဥတ္တိဖွယ်သော ၄ ထောင်ကာန်လေ	po (၂၁) တန်တိုင်တစ်ထပ်သော အပန်ကျင်ကာ သာသနာကိုင် ချွတ်ရယ်ညှင် ကျင်သောလှိုင် အရိယာတိုက်နိယ်စိ သောငှာ မျာစွာသော လောင် လေအစန်ပြု၏ (၂၂) လွိုင်အရိယာတိုင္အရိယ်ချီသာစိ၌ သောဌာ ဥတ္တိဖွယ်သောရိယ်တွင်လေ တူ၏။ဥတ္တိဖွယ်သော ၄ ထောင်ကာန်လေ			list ref List 213 | IOB plate Plate LXIX | Best corpus-text overlap within parent sip-witness-009.	needs_segmentation_review	linked_after_segmentation	Linked through exact corpus plate citation(s): Pl. I 69. | Extracted from SIP printed pages 39-42 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-009. | Best corpus-text overlap within parent sip-witness-009.	compare_with_list_ref	Best corpus-text overlap within parent sip-witness-009.
sip-witness-010-seg-01	sip-witness-010	SIP 35-39	Plate LXXIII	List 190	PPA 224-226	TN 103-104				၁၁ (၃၁) ရွယ်ဦခွန်ကို စာမိအံ (အစ်ဖြစ်ရယ်။) ဤယ်အရင်နိယ်သောဘွိုင်သ (၃၂) ည်ဦယန်အခွန်ကိုအလို ဟိယ်ရွယ် ၃လတ်တံ။ မိန့်လတ်သော ရှေ (၃၃) တစ်ခ၁ ၂ ပိယ်သယ်။ အလျှင်ပိယ်စိယ်သောမဟုတ်၌်တေ (၃၄) ဤယ်ဥယန်ကိုင်လုစာသောသူကာမိယ်ကာ အထက်ပေ လုစာသောသ	၁၁ (၃၁) ရွယ်ဦခွန်ကို စာမိအံ (အစ်ဖြစ်ရယ်။) ဤယ်အရင်နိယ်သောဘွိုင်သ (၃၂) ည်ဦယန်အခွန်ကိုအလို ဟိယ်ရွယ် ၃လတ်တံ။ မိန့်လတ်သော ရှေ (၃၃) တစ်ခ၁ ၂ ပိယ်သယ်။ အလျှင်ပိယ်စိယ်သောမဟုတ်၌်တေ (၃၄) ဤယ်ဥယန်ကိုင်လုစာသောသူကာမိယ်ကာ အထက်ပေ လုစာသောသ			list ref List 190 | IOB plate Plate LXXIII | PPA ref PPA 224-226 | TN ref TN 103-104 | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 35-39 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-010. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-010-seg-02	sip-witness-010	SIP 35-39	Plate LXXIII	List 190	PPA 224-226	TN 103-104	19	လေးထောင့်ကန်အရပ် လေးမျက်နှာဘုရားကျောက်စာ။		၁၉။ ။လေးထောင့်ကန်အရပ် လေးမျက်နှာဘုရားကျောက်စာ။ (၁)။ သကရစ် ၅၇၅ ခု။ အာသိက်သံ၊နတ္တာခ်လဆုတ် ၇ ရာက် သုကြာနိ၌အခ။မွတ်စွာသောမင်ကြီအမတ္တာ၊မဟာသေနာပတ် (၂) အနန္တသူရ် မောင်နှံနှစ်ယောက် ဤယ်လူတွင်နှိုက် အတိုင်မသိသဒ္ဓါရယ် ပြုသောကောင်မှု	၁၉။ ။လေးထောင့်ကန်အရပ် လေးမျက်နှာဘုရားကျောက်စာ။ (၁)။ သကရစ် ၅၇၅ ခု။ အာသိက်သံ၊နတ္တာခ်လဆုတ် ၇ ရာက် သုကြာနိ၌အခ။မွတ်စွာသောမင်ကြီအမတ္တာ၊မဟာသေနာပတ် (၂) အနန္တသူရ် မောင်နှံနှစ်ယောက် ဤယ်လူတွင်နှိုက် အတိုင်မသိသဒ္ဓါရယ် ပြုသောကောင်မှု	obi-v04-n0086-ob-p0136		local candidate ids from SIP-to-corpus cross-reference search | list ref List 190 | IOB plate Plate LXXIII | PPA ref PPA 224-226 | TN ref TN 103-104 | title လေးထောင့်ကန်အရပ် လေးမျက်နှာဘုရားကျောက်စာ။ | Local SIP citation evidence only.	needs_link_review	plausible_link_needs_human_review	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 35-39 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-010. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-010-seg-03	sip-witness-010	SIP 35-39	Plate LXXIII	List 190	PPA 224-226	TN 103-104	9			၉။ (၁၃) အထွတ်ဩက်ရှကာပုဆိုဝ် ၇ ထပ်လွှဧအ်။ ပုဆိုဝ်ထက္က ရှယ်ကျက်တ ငိုယ်ခတ်ဧအ်။ရှယ် ၃ဝ သွန်သောရှယ်ပုရှာ ၁ ခု။ ငုယ် ၅ဝ သွန်သောငုယ် ပုရာ (၁၄) ၁ ခု။ ကျောက်ဖြူရုယ်ရှယ်ရာည်ရိယ်သောပုရှာ ၁ ခု။ ရှယ်ထီငယ်ထိ တိုက်လေးဆောင်၏။ ထိုဂ်သို ့	၉။ (၁၃) အထွတ်ဩက်ရှကာပုဆိုဝ် ၇ ထပ်လွှဧအ်။ ပုဆိုဝ်ထက္က ရှယ်ကျက်တ ငိုယ်ခတ်ဧအ်။ရှယ် ၃ဝ သွန်သောရှယ်ပုရှာ ၁ ခု။ ငုယ် ၅ဝ သွန်သောငုယ် ပုရာ (၁၄) ၁ ခု။ ကျောက်ဖြူရုယ်ရှယ်ရာည်ရိယ်သောပုရှာ ၁ ခု။ ရှယ်ထီငယ်ထိ တိုက်လေးဆောင်၏။ ထိုဂ်သို ့			list ref List 190 | IOB plate Plate LXXIII | PPA ref PPA 224-226 | TN ref TN 103-104 | Local SIP citation evidence only.	needs_link_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 35-39 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-010. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-011-seg-01	sip-witness-011	SIP 42-44	Plate LXXIX b	List 223	PPA 237 238	TN 108 109				၄၁ (၁၅) ကိုင်လူယက်ဖျက်ဆီသသူကာ ဤလူလက်ထက်လေ အပ္ပစ် ဂ ပါရောက် စေသတေ (၁၆) ခန္ဓာပျက်ရှုယ်သေခသောလေသည္ကိုေငရယ် ကာလသုတ်ငရဲ တာပနငရဲ ပတာပနငရဲသ (၁၇) ဃာတငရဲရောရင်ငရဲမဟာရောရင်ငရဲအဝီစိငရဲ၍သိုဝ်သောငရဲတိုင်နှိုက် လေတေဝတတ် (၁ဂ) ခံ၏တေဝတတ်	၄၁ (၁၅) ကိုင်လူယက်ဖျက်ဆီသသူကာ ဤလူလက်ထက်လေ အပ္ပစ် ဂ ပါရောက် စေသတေ (၁၆) ခန္ဓာပျက်ရှုယ်သေခသောလေသည္ကိုေငရယ် ကာလသုတ်ငရဲ တာပနငရဲ ပတာပနငရဲသ (၁၇) ဃာတငရဲရောရင်ငရဲမဟာရောရင်ငရဲအဝီစိငရဲ၍သိုဝ်သောငရဲတိုင်နှိုက် လေတေဝတတ် (၁ဂ) ခံ၏တေဝတတ်	obi-v01-n0146-tx-p0246		local candidate ids from SIP-to-corpus cross-reference search | list ref List 223 | IOB plate Plate LXXIX b | PPA ref PPA 237 238 | TN ref TN 108 109 | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	Linked through exact corpus plate citation(s): Pl. I 79b. | Extracted from SIP printed pages 42-44 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-011. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-012-seg-01	sip-witness-012	SIP 45-47	Plate XC	List 230						12 ၄၄ (၂ဂ) မိယ်လ်ဂျာတိုဟူး၏ ပယ်ထက်သွာ အစွယ်သင်တို့ကာ မြင်စိယ် ဟုသ (၂၉) ကာမပြတ်ဖူအစန်ရှည်ထာပိယ်ကာဟူဧ၏။ ဤသိုဝ်အတံတျာဆင်လျက် (၃၀) လျှင်နိယ်တိုင်ထွက်ပယ်တေ။ တနိယ်လျှင်ချွတ် ( ) လ ဩင်စကြပယ် တေဟု () (၃၁) စဖင်ဟိတ်နှင်ပတာမှောက်စာ	12 ၄၄ (၂ဂ) မိယ်လ်ဂျာတိုဟူး၏ ပယ်ထက်သွာ အစွယ်သင်တို့ကာ မြင်စိယ် ဟုသ (၂၉) ကာမပြတ်ဖူအစန်ရှည်ထာပိယ်ကာဟူဧ၏။ ဤသိုဝ်အတံတျာဆင်လျက် (၃၀) လျှင်နိယ်တိုင်ထွက်ပယ်တေ။ တနိယ်လျှင်ချွတ် ( ) လ ဩင်စကြပယ် တေဟု () (၃၁) စဖင်ဟိတ်နှင်ပတာမှောက်စာ	obi-v01-n0160-ob-p0267		local candidate ids from SIP-to-corpus cross-reference search | list ref List 230 | IOB plate Plate XC | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	Linked through exact corpus plate citation(s): Pl. I 90. | Extracted from SIP printed pages 45-47 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-012. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-013-seg-01	sip-witness-013	SIP 49	Plate XCVI	List 235 a						၄၀ (၃) င၁မိထုယ်လျှင်တေငာမိအေဟုရွယ်။ ဤမ်နိယ်ပိယ်အေ။ ဤမ်ထောင် ကျွန်လယ်လေပိယ်တ (၄) ်မူ၏။ဤမ်လေနိယ်၏။ကျွန်လောစိယ်ဧအ်။ လယ်လေငာစာဧအ်။ ဤမ်ာ်နိယ်သော ထက် (၅) ကာ။သတင်ပြညာဟိသော သင်္ချာနိယ်သောမွတ်၏ဟုရုယ်ငာကြံ မိရ က၁။ကူလေ&ဧအ်။ကူညီရကာ။	၄၀ (၃) င၁မိထုယ်လျှင်တေငာမိအေဟုရွယ်။ ဤမ်နိယ်ပိယ်အေ။ ဤမ်ထောင် ကျွန်လယ်လေပိယ်တ (၄) ်မူ၏။ဤမ်လေနိယ်၏။ကျွန်လောစိယ်ဧအ်။ လယ်လေငာစာဧအ်။ ဤမ်ာ်နိယ်သော ထက် (၅) ကာ။သတင်ပြညာဟိသော သင်္ချာနိယ်သောမွတ်၏ဟုရုယ်ငာကြံ မိရ က၁။ကူလေ&ဧအ်။ကူညီရကာ။			list ref List 235 a | IOB plate Plate XCVI | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 49-49 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-013. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-014-seg-01	sip-witness-014	SIP 49-52	Plate XCVIII	List 479	PPA 3ro	TN 143				၄၀ (၃) င၁မိထုယ်လျှင်တေငာမိအေဟုရွယ်။ ဤမ်နိယ်ပိယ်အေ။ ဤမ်ထောင် ကျွန်လယ်လေပိယ်တ (၄) ်မူ၏။ဤမ်လေနိယ်၏။ကျွန်လောစိယ်ဧအ်။ လယ်လေငာစာဧအ်။ ဤမ်ာ်နိယ်သော ထက် (၅) ကာ။သတင်ပြညာဟိသော သင်္ချာနိယ်သောမွတ်၏ဟုရုယ်ငာကြံ မိရ က၁။ကူလေ&ဧအ်။ကူညီရကာ။	၄၀ (၃) င၁မိထုယ်လျှင်တေငာမိအေဟုရွယ်။ ဤမ်နိယ်ပိယ်အေ။ ဤမ်ထောင် ကျွန်လယ်လေပိယ်တ (၄) ်မူ၏။ဤမ်လေနိယ်၏။ကျွန်လောစိယ်ဧအ်။ လယ်လေငာစာဧအ်။ ဤမ်ာ်နိယ်သော ထက် (၅) ကာ။သတင်ပြညာဟိသော သင်္ချာနိယ်သောမွတ်၏ဟုရုယ်ငာကြံ မိရ က၁။ကူလေ&ဧအ်။ကူညီရကာ။			list ref List 479 | IOB plate Plate XCVIII | PPA ref PPA 3ro | TN ref TN 143 | Best corpus-text overlap within parent sip-witness-014.	needs_segmentation_review	linked_after_segmentation	Linked through exact corpus plate citation(s): Pl. I 98. | Extracted from SIP printed pages 49-52 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-014. | Best corpus-text overlap within parent sip-witness-014.	compare_with_list_ref	Best corpus-text overlap within parent sip-witness-014.
sip-witness-014-seg-02	sip-witness-014	SIP 49-52	Plate XCVIII	List 479	PPA 3ro	TN 143	4	ဝန်ဘုရား on လူ		၄။ ဝန်ဘုရား on လူ (၁) ။၁။သကရစ် ၅၉၀ ခု၊ကြတိုက်နှင့် ပါဠိ ကြောင်း (၄) နှစ်လုံမ၌လျာ…အရိမဒ္ဒနပူရ်မည် (၅) သောပြည်နှိုက်အားအကြောင်မင်းက မြတ်စွာသော ဘေးထိုင်ပင် (၆) အအမတျာကားအသတ်မည်သေဘေး အညံ့ဟု မင်းအမတ်။ (၇) ထိုဝ်အမတ်ဧအေသင်ချိုင	၄။ ဝန်ဘုရား on လူ (၁) ။၁။သကရစ် ၅၉၀ ခု၊ကြတိုက်နှင့် ပါဠိ ကြောင်း (၄) နှစ်လုံမ၌လျာ…အရိမဒ္ဒနပူရ်မည် (၅) သောပြည်နှိုက်အားအကြောင်မင်းက မြတ်စွာသော ဘေးထိုင်ပင် (၆) အအမတျာကားအသတ်မည်သေဘေး အညံ့ဟု မင်းအမတ်။ (၇) ထိုဝ်အမတ်ဧအေသင်ချိုင	obi-v01-n0129-tx-p0209		local candidate ids from SIP-to-corpus cross-reference search | list ref List 479 | IOB plate Plate XCVIII | PPA ref PPA 3ro | TN ref TN 143 | title ဝန်ဘုရား on လူ | Local SIP citation evidence only.	needs_link_review	plausible_link_needs_human_review	Linked through exact corpus plate citation(s): Pl. I 98. | Extracted from SIP printed pages 49-52 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-014. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-014-seg-03	sip-witness-014	SIP 49-52	Plate XCVIII	List 479	PPA 3ro	TN 143	20			20။ (၂၅) ကုလ၁တောင်တံခ၁န္ထသော ငုယ် ၁ ကျပ်။တံခာခုံက္ကောက် ၁ ဆူသော ကာနယ် (၂၆) ၁ + ကုလာက္ပောင်ဖွယ်သောပုရာန်လက်ခ ၃။ ၂။ လည်ခခွက် ၁၉ (၂၇) ငယ် ၂ ကျပ်။ ၁၃၅၂ ( ၆ သေ၁) ငှက် ၂ ကျပ်၊ စပါး(၄)တင်သော ငယ် (၂)	20။ (၂၅) ကုလ၁တောင်တံခ၁န္ထသော ငုယ် ၁ ကျပ်။တံခာခုံက္ကောက် ၁ ဆူသော ကာနယ် (၂၆) ၁ + ကုလာက္ပောင်ဖွယ်သောပုရာန်လက်ခ ၃။ ၂။ လည်ခခွက် ၁၉ (၂၇) ငယ် ၂ ကျပ်။ ၁၃၅၂ ( ၆ သေ၁) ငှက် ၂ ကျပ်၊ စပါး(၄)တင်သော ငယ် (၂)	obi-v01-n0129-tx-p0209		local candidate ids from SIP-to-corpus cross-reference search | list ref List 479 | IOB plate Plate XCVIII | PPA ref PPA 3ro | TN ref TN 143 | Local SIP citation evidence only.	needs_link_review	plausible_link_needs_human_review	Linked through exact corpus plate citation(s): Pl. I 98. | Extracted from SIP printed pages 49-52 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-014. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-015-seg-01	sip-witness-015	SIP 52-55	Plate CV a	List 242	PPA 63 | PPA 181-182	TN 30 | TN 86-87				မာ (၄) ဂ ၊ ညဝ က မူကာ အငယ် (၂၁ (၁၇) လေပုဟာမာဂြိုလ်သလေ ၁၁၊ ပန်ခံဂိတ်သလေငယ် ၂၀၊ ပြာ သည် ပုံ (၁၀) ရယ်သံလေပုခြည်မျှင် ၁ ထည် ခဆီ ၁ သည်။ပုရှာသမာဒိယ်သောမည် (၁၉) င် ၁ ထည်းဆီ ၁ သည်။ မန်နီဝယ်သောပုခြည် ၁ ထည် ခဆီ ၁ ထည်၊ (၂၀) လက်သမား 	မာ (၄) ဂ ၊ ညဝ က မူကာ အငယ် (၂၁ (၁၇) လေပုဟာမာဂြိုလ်သလေ ၁၁၊ ပန်ခံဂိတ်သလေငယ် ၂၀၊ ပြာ သည် ပုံ (၁၀) ရယ်သံလေပုခြည်မျှင် ၁ ထည် ခဆီ ၁ သည်။ပုရှာသမာဒိယ်သောမည် (၁၉) င် ၁ ထည်းဆီ ၁ သည်။ မန်နီဝယ်သောပုခြည် ၁ ထည် ခဆီ ၁ ထည်၊ (၂၀) လက်သမား 	obi-v01-n0179-tx-p0306		local candidate ids from SIP-to-corpus cross-reference search | list ref List 242 | IOB plate Plate CV a | PPA ref PPA 63 | PPA 181-182 | TN ref TN 30 | TN 86-87 | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	Linked through exact corpus plate citation(s): Pl. I 105a. | Extracted from SIP printed pages 52-55 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-015. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-015-seg-02	sip-witness-015	SIP 52-55	Plate CV a	List 242	PPA 63 | PPA 181-182	TN 30 | TN 86-87	20			20။ (၂၅) ကုလ၁တောင်တံခ၁န္ထသော ငုယ် ၁ ကျပ်။တံခာခုံက္ကောက် ၁ ဆူသော ကာနယ် (၂၆) ၁ + ကုလာက္ပောင်ဖွယ်သောပုရာန်လက်ခ ၃။ ၂။ လည်ခခွက် ၁၉ (၂၇) ငယ် ၂ ကျပ်။ ၁၃၅၂ ( ၆ သေ၁) ငှက် ၂ ကျပ်၊ စပါး(၄)တင်သော ငယ် (၂) [[SIP page 53 / OCR page 63]	20။ (၂၅) ကုလ၁တောင်တံခ၁န္ထသော ငုယ် ၁ ကျပ်။တံခာခုံက္ကောက် ၁ ဆူသော ကာနယ် (၂၆) ၁ + ကုလာက္ပောင်ဖွယ်သောပုရာန်လက်ခ ၃။ ၂။ လည်ခခွက် ၁၉ (၂၇) ငယ် ၂ ကျပ်။ ၁၃၅၂ ( ၆ သေ၁) ငှက် ၂ ကျပ်၊ စပါး(၄)တင်သော ငယ် (၂) (JB) SH = 1. 10	obi-v01-n0179-tx-p0306		local candidate ids from SIP-to-corpus cross-reference search | list ref List 242 | IOB plate Plate CV a | PPA ref PPA 63 | PPA 181-182 | TN ref TN 30 | TN 86-87 | Local SIP citation evidence only.	needs_link_review	plausible_link_needs_human_review	Linked through exact corpus plate citation(s): Pl. I 105a. | Extracted from SIP printed pages 52-55 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-015. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
