family_id	raw_reference_string	occurrence_count	example_record_ids	notes
fam-bed-b-catalogue	BED B 538-1	1	obi-v01-n0204-ob-p0345	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 545-1	1	obi-v01-n0194-re-p0330	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 557-5	1	obi-v01-n0215-ob-p0365	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 558-2	1	obi-v01-n0035-ob-p0057	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 559-2	1	obi-v01-n0037-re-p0059	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 567-1	1	obi-v01-n0221-tx-p0375	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 570-3	1	obi-v01-n0056-ob-p0090	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 577-1	1	obi-v01-n0067-ob-p0106	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 584-1	1	obi-v01-n0091-ob-p0138	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 586-4	1	obi-v01-n0100-ob-p0167	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 586-8	1	obi-v01-n0104-ob-p0172	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 587-2a	1	obi-v01-n0107-ob-p0175	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 587-2b	1	obi-v01-n0107-re-p0175	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 587-7	1	obi-v01-n0113-ob-p0185	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 588-4	1	obi-v01-n0221-tx-p0376	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 591-6	1	obi-v01-n0129-tx-p0209	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 593-3	1	obi-v01-n0136-re-p0220	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 594-5	1	obi-v01-n0141-ob-p0227	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 595-11	1	obi-v01-n0145-ob-p0244	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 595-7	1	obi-v01-n0149-ob-p0251	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 595-8	1	obi-v01-n0150-tx-p0253	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 597-11	1	obi-v01-n0163-re-p0273	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 597-12	1	obi-v01-n0160-ob-p0267	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 597-3	1	obi-v01-n0154-ob-p0257	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 598-6a	1	obi-v01-n0170-ob-p0289	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 602-1	1	obi-v02-n0010-ob-p0015	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 602-5	1	obi-v02-n0117-ob-p0213	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 603-2	1	obi-v02-n0121-tx-p0225	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 603-4	1	obi-v02-n0017-ob-p0027	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 604-6	1	obi-v02-n0026-re-p0051	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 604-9	1	obi-v02-n0029-ob-p0054	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 609-2	1	obi-v02-n0047-re-p0087	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 612-1	1	obi-v02-n0074-ob-p0155	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 620-3	1	obi-v02-n0100-ob-p0193	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 622-12	1	obi-v04-n0138-re-p0235	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 628-7	1	obi-v04-n0117-re-p0191	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 711-1	1	obi-v04-n0051-ob-p0081	Grouped by recurring leading label.
fam-eb-publication	EB 1 (1), 1919, p. 1	2	obi-v01-n0001-tx-p0001 | obi-v01-n0002-tx-p0004	Grouped by recurring leading label.
fam-eb-publication	EB Vol.1, n°1	2	obi-v01-n0001-tx-p0002 | obi-v01-n0002-tx-p0006	Grouped by recurring leading label.
fam-eb-publication	EB Vol.1 n°1 BED B 474-1	1	obi-v01-n0002-tx-p0004	Grouped by recurring leading label.
fam-eb-publication	EB Vol.1, n°1 BED B 474-1	1	obi-v01-n0001-tx-p0001	Grouped by recurring leading label.
fam-harvey-history	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	2	obi-v01-n0001-tx-p0001 | obi-v01-n0002-tx-p0004	Grouped by recurring author/title pair.
fam-harvey-history	Harvey, History, p. 331	1	obi-v01-n0021-ob-p0042	Grouped by recurring author/title pair.
fam-iob-catalogue	IOB--278 BED B 622-4	1	obi-v03-n0094-ob-p0169	Grouped by recurring leading label.
fam-iob-catalogue	IOB--462/b	1	obi-v04-n0011-re-p0015	Grouped by recurring leading label.
fam-iob-catalogue	IOB-1-51. BED B 572	1	obi-v01-n0057-ob-p0091	Grouped by recurring leading label.
fam-iob-catalogue	IOB-192 BED B 600-7	1	obi-v02-n0101-ob-p0194	Grouped by recurring leading label.
fam-iob-catalogue	IOB-34 BED B 573-2	1	obi-v01-n0059-ob-p0093	Grouped by recurring leading label.
fam-iob-catalogue	IOB-418 BED B 622-6	1	obi-v03-n0154-ob-p0257	Grouped by recurring leading label.
fam-iob-catalogue	IOB-44/b & 33/b BED B 578-4	1	obi-v01-n0073-ob-p0117	Grouped by recurring leading label.
fam-iob-catalogue	IOB-446/a BED B 623-1	1	obi-v03-n0202-ob-p0330	Grouped by recurring leading label.
fam-iob-catalogue	IOB-47 BED B 582-2	1	obi-v01-n0086-tx-p0133	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA	2	obi-v01-n0134-re-p0216 | obi-v04-n0116-ob-p0185	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 101-102	1	obi-v02-n0077-ob-p0159	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 137-138	1	obi-v04-n0036-re-p0059	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 139	1	obi-v01-n0021-ob-p0042	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 159	1	obi-v01-n0183-ob-p0315	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 176	1	obi-v01-n0161-ob-p0270	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 181, 182	1	obi-v01-n0179-tx-p0306	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 188-189	1	obi-v03-n0024-tx-p0035	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 286-287	1	obi-v02-n0004-ob-p0006	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 306, 7-8	1	obi-v04-n0108-re-p0175	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 59, 60	1	obi-v01-n0169-ob-p0287	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 61, 62	1	obi-v01-n0181-ob-p0311	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 63	1	obi-v01-n0181-re-p0313	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 78-79-80-81-82	1	obi-v05-n0009-ob-p0021	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA 83-84-85-86	1	obi-v05-n0009-re-p0025	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-103-104	1	obi-v02-n0034-ob-p0064	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-105	1	obi-v02-n0091-ob-p0179	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-106	1	obi-v02-n0101-ob-p0194	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-107	1	obi-v03-n0114-ob-p0193	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-109, 111	1	obi-v01-n0052-ob-p0083	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-112-113	1	obi-v02-n0046-ob-p0085	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-114, 116	1	obi-v02-n0021-ob-p0037	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-117-118	1	obi-v02-n0020-ob-p0033	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-119-120	1	obi-v02-n0025-ob-p0049	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-12	1	obi-v02-n0018-ob-p0029	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-121-122	1	obi-v02-n0024-ob-p0047	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-123	1	obi-v03-n0099-ob-p0174	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-141	1	obi-v01-n0012-ob-p0029	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-143	1	obi-v01-n0012-re-p0030	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-145-146 BED B 545-3	1	obi-v01-n0205-ob-p0347	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-147-148	1	obi-v02-n0083-ob-p0170	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-149	1	obi-v01-n0070-ob-p0111	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-15	1	obi-v04-n0111-re-p0180	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-150	1	obi-v01-n0086-tx-p0133	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-151	1	obi-v01-n0029-ob-p0050	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-153, 154	1	obi-v01-n0029-re-p0051	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-155-157	1	obi-v02-n0016-ob-p0024	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-159	1	obi-v01-n0004-ob-p0011	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-162	1	obi-v01-n0004-re-p0015	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-165	1	obi-v01-n0027-ob-p0048	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-166	1	obi-v01-n0034-re-p0056	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-167	1	obi-v01-n0047-ob-p0075	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-168	1	obi-v01-n0054-ob-p0086	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-169	1	obi-v01-n0063-ob-p0099	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-17	1	obi-v01-n0148-ob-p0249	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-170	1	obi-v01-n0065-ob-p0102	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-172-173	1	obi-v01-n0130-ob-p0211	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-174-175	1	obi-v02-n0041-ob-p0076	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-179	1	obi-v01-n0178-tx-p0305	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-18	1	obi-v01-n0038-ob-p0060	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-183	1	obi-v01-n0186-ob-p0319	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-184, 185	1	obi-v02-n0022-ob-p0041	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-186	1	obi-v02-n0050-ob-p0089	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-187	1	obi-v02-n0052-ob-p0092	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-190	1	obi-v02-n0098-ob-p0190	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-191	1	obi-v03-n0001-ob-p0001	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-192	1	obi-v01-n0007-ob-p0022	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-193	1	obi-v03-n0057-tx-p0092	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-20	1	obi-v01-n0038-re-p0061	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-201	1	obi-v02-n0118-re-p0217	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-203	1	obi-v01-n0002-tx-p0004	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-207	1	obi-v01-n0002-tx-p0006	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-209	1	obi-v01-n0001-tx-p0001	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-209, 211	1	obi-v01-n0001-tx-p0002	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-21	1	obi-v01-n0148-re-p0250	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-212-213,	1	obi-v01-n0084-ob-p0129	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-215	1	obi-v01-n0134-ob-p0215	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-217, 218	1	obi-v01-n0097-tx-p0156	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-219-220	1	obi-v01-n0108-tx-p0176	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-221	1	obi-v01-n0142-tx-p0229	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-224-226	1	obi-v01-n0097-tx-p0151	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-227, 228	1	obi-v01-n0097-tx-p0161	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-229, 230	1	obi-v01-n0142-tx-p0235	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-231, 232	1	obi-v01-n0142-tx-p0233	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-234	1	obi-v01-n0128-ob-p0208	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-235	1	obi-v01-n0143-ob-p0240	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-237, 238	1	obi-v01-n0146-tx-p0246	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-239	1	obi-v01-n0187-ob-p0320	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-240-241	1	obi-v02-n0023-ob-p0044	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-243-245	1	obi-v02-n0053-tx-p0093	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-246-248	1	obi-v02-n0054-ob-p0099	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-253-254	1	obi-v03-n0115-ob-p0194	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-255	1	obi-v03-n0052-re-p0083	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-257	1	obi-v03-n0045-re-p0073	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-260	1	obi-v03-n0086-re-p0150	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-264	1	obi-v03-n0037-ob-p0058	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-266	1	obi-v03-n0021-ob-p0028	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-269	1	obi-v03-n0029-re-p0047	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-270-271	1	obi-v03-n0087-ob-p0152	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-274-276	1	obi-v03-n0046-re-p0074	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-277	1	obi-v03-n0055-ob-p0089	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-278	1	obi-v03-n0060-ob-p0097	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-280	1	obi-v03-n0068-ob-p0113	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-281	1	obi-v03-n0081-ob-p0135	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-283	1	obi-v03-n0083-ob-p0139	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-284	1	obi-v03-n0098-ob-p0173	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-293	1	obi-v03-n0122-re-p0206	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-294	1	obi-v02-n0054-re-p0103	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-295	1	obi-v03-n0059-ob-p0095	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-297-8-9	1	obi-v04-n0116-ob-p0185	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-300-1-2	1	obi-v04-n0116-re-p0188	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-303, 4-5	1	obi-v04-n0108-ob-p0172	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-311-312	1	obi-v03-n0212-ob-p0343	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-313-314	1	obi-v03-n0039-ob-p0065	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-320	1	obi-v05-n0018-ob-p0061	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-341	1	obi-v04-n0074-ob-p0117	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-55	1	obi-v03-n0002-re-p0002	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-57	1	obi-v01-n0057-ob-p0091	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-58	1	obi-v01-n0095-re-p0142	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-64	1	obi-v03-n0088-ob-p0158	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-87-88	1	obi-v05-n0009-tx-p0030	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-89-90	1	obi-v05-n0009-tx-p0032	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-9	1	obi-v02-n0073-tx-p0155	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-96-97	1	obi-v03-n0061-ob-p0100	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-98	1	obi-v03-n0042-ob-p0068	Grouped by recurring leading label.
fam-ippa-catalogue	IPPA-99-100	1	obi-v01-n0172-ob-p0291	Grouped by recurring leading label.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 5	2	obi-v01-n0054-tx-p0089 | obi-v01-n0055-ob-p0089	Grouped by recurring publication abbreviation.
fam-jbrs-publication	Duroiselle, JBRS 6.2, 1916, p. 88	1	obi-v01-n0029-ob-p0050	Grouped by recurring publication abbreviation.
fam-jbrs-publication	Luce, Myanmar's Debt, JBRS 1932, p. 125	1	obi-v01-n0097-tx-p0151	Grouped by recurring publication abbreviation.
fam-jbrs-publication	Luce, Prayers, JBRS 1936, p. 135	1	obi-v01-n0043-ob-p0070	Grouped by recurring publication abbreviation.
fam-jbrs-publication	Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28	1	obi-v01-n0004-ob-p0011	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 1	1	obi-v01-n0208-ob-p0353	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 12	1	obi-v01-n0076-ob-p0119	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 2	1	obi-v01-n0209-ob-p0354	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 3	1	obi-v01-n0209-ob-p0354	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 4	1	obi-v01-n0214-ob-p0363	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 6	1	obi-v01-n0077-ob-p0121	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 7	1	obi-v01-n0113-ob-p0185	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 8	1	obi-v01-n0116-ob-p0188	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Hswai, JBRS 48 (2), 1965, p. 67, no. 9	1	obi-v01-n0177-ob-p0304	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Lu Pe Win, OBEP – A Radical Review, in JBRS	1	obi-v01-n0126-ob-p0205	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Than Tun, Buddhism, JBRS 1978, p. 130-3	1	obi-v01-n0097-tx-p0151	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Than Tun, JBRS 1959, p. 77-79	1	obi-v01-n0174-ob-p0298	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8	1	obi-v01-n0174-ob-p0298	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Than Tun, JBRS 1978, p. 140	1	obi-v01-n0179-tx-p0306	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Than Tun, JBRS 1978, p. 15	1	obi-v01-n0043-ob-p0070	Grouped by recurring publication abbreviation.
fam-jbrs-publication	U Than Tun, Religious Buildings, JBRS 1959, p. 74-5	1	obi-v01-n0097-tx-p0151	Grouped by recurring publication abbreviation.
fam-jras-publication	Blagden, JRAS 1909, p. 10	2	obi-v01-n0001-tx-p0001 | obi-v01-n0002-tx-p0004	Grouped by recurring publication abbreviation.
fam-list-catalogue	List 90	78	obi-v03-n0002-re-p0002 | obi-v03-n0014-re-p0020 | obi-v03-n0015-ob-p0021 | obi-v03-n0016-ob-p0022 | obi-v03-n0016-re-p0023	Grouped by recurring leading label.
fam-list-catalogue	List 302	77	obi-v03-n0001-ob-p0001 | obi-v03-n0008-re-p0011 | obi-v03-n0009-ob-p0012 | obi-v03-n0010-ob-p0013 | obi-v03-n0011-ob-p0014	Grouped by recurring leading label.
fam-list-catalogue	List 255	66	obi-v03-n0003-ob-p0003 | obi-v03-n0022-ob-p0033 | obi-v03-n0023-ob-p0033 | obi-v03-n0023-re-p0034 | obi-v03-n0024-re-p0036	Grouped by recurring leading label.
fam-list-catalogue	List 254	12	obi-v02-n0016-ob-p0024 | obi-v02-n0137-tx-p0240 | obi-v02-n0138-tx-p0240 | obi-v02-n0139-tx-p0241 | obi-v02-n0140-ob-p0242	Grouped by recurring leading label.
fam-list-catalogue	List 1255	9	obi-v02-n0004-ob-p0006 | obi-v02-n0032-ob-p0060 | obi-v02-n0033-ob-p0061 | obi-v02-n0033-re-p0063 | obi-v02-n0034-ob-p0064	Grouped by recurring leading label.
fam-list-catalogue	List 308	7	obi-v03-n0005-ob-p0005 | obi-v03-n0032-tx-p0051 | obi-v03-n0033-ob-p0052 | obi-v03-n0035-ob-p0055 | obi-v03-n0035-re-p0056	Grouped by recurring leading label.
fam-list-catalogue	List 173	5	obi-v02-n0002-ob-p0003 | obi-v02-n0019-re-p0031 | obi-v02-n0020-ob-p0033 | obi-v02-n0020-re-p0035 | obi-v02-n0021-ob-p0037	Grouped by recurring leading label.
fam-list-catalogue	List 253	5	obi-v02-n0010-ob-p0015 | obi-v02-n0072-ob-p0151 | obi-v02-n0073-tx-p0155 | obi-v02-n0076-ob-p0157 | obi-v02-n0077-ob-p0159	Grouped by recurring leading label.
fam-list-catalogue	List 307a+b	5	obi-v03-n0008-ob-p0009 | obi-v03-n0056-ob-p0090 | obi-v03-n0056-re-p0091 | obi-v03-n0057-tx-p0092 | obi-v03-n0060-ob-p0097	Grouped by recurring leading label.
