source_file_id	source_file_label	source_path	local_text_path	file_type	extraction_method	tool_used	extraction_status	text_sha256	text_length	page_scope	notes
luce_1937_ancient_pyu-6a948eb3f6cc	Luce 1937 Ancient Pyu.pdf	data/local/bibliography_sources/luce_1937_ancient_pyu-6a948eb3f6cc/Luce 1937 Ancient Pyu.pdf	data/local/ocr_text/luce_1937_ancient_pyu-6a948eb3f6cc.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	1f012a1ef4f29078772b312bfe9e6f9254450620b531bccc5a3703bd0bc741fb	41441	1-15	
luce_1959_chin-a957a41dee46	Luce 1959 chin.pdf	data/local/bibliography_sources/luce_1959_chin-a957a41dee46/Luce 1959 chin.pdf	data/local/ocr_text/luce_1959_chin-a957a41dee46.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	d91ad154128c3274fb9eb4b2eb8c8ffbfab51ad6e514dd6810927038f78babd5	34485	1-9	
luce_1974_advent_of_buddhism-162815c03f4f	Luce 1974 Advent of Buddhism.pdf	data/local/bibliography_sources/luce_1974_advent_of_buddhism-162815c03f4f/Luce 1974 Advent of Buddhism.pdf	data/local/ocr_text/luce_1974_advent_of_buddhism-162815c03f4f.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	5291b7f32b333398fde2ce665f566935becfb63a65ca684b27eac34e2bdb576e	80270	1-20	
luce_1976_sources_of_early_burma_history-4e7c374ffbe5	Luce 1976 Sources of Early Burma History.pdf	data/local/bibliography_sources/luce_1976_sources_of_early_burma_history-4e7c374ffbe5/Luce 1976 Sources of Early Burma History.pdf	data/local/ocr_text/luce_1976_sources_of_early_burma_history-4e7c374ffbe5.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	1315edfc43be8206adf3809fb81932d67e873af21bb4b4fe4395b8e98ef1466f	32893	1-7	
luce_1985_phases_of_pre_pagan_burma_2_pl-dccd1e43c654	Luce 1985 Phases of Pre Pagan Burma - 2 Plates.PDF	data/local/bibliography_sources/luce_1985_phases_of_pre_pagan_burma_2_pl-dccd1e43c654/Luce 1985 Phases of Pre Pagan Burma - 2 Plates.PDF	data/local/ocr_text/luce_1985_phases_of_pre_pagan_burma_2_pl-dccd1e43c654.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	e9133fa4c0aaa9b1ac80f4c74314a1332bea6fee21ee1bf8cfd1b638aeb9ed82	6752	1-10, 95-104	
luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea	Luce and Tin Htway 1976 15th Century Inscription and Library at Pagan.pdf	data/local/bibliography_sources/luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea/Luce and Tin Htway 1976 15th Century Inscription and Library at Pagan.pdf	data/local/ocr_text/luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	26361e479da88580d31e79c01726af5aa151c72e66943d035c8a5aa5c0cf79d9	41133	1-10, 48-57	
luce_burmish_comparisons-455dc3921565	Luce Burmish comparisons.djvu	data/local/bibliography_sources/luce_burmish_comparisons-455dc3921565/Luce Burmish comparisons.djvu	data/local/ocr_text/luce_burmish_comparisons-455dc3921565.txt	djvu	ddjvu+tesseract	ddjvu+tesseract	success	344dce351fdf330166d9d6cc9c993034365e1a8181a3e2977a09b6ea1b4b79c3	15516	1-10	
luce_ob_wordlist-a620a49780fb	Luce OB wordlist.djvu	data/local/bibliography_sources/luce_ob_wordlist-a620a49780fb/Luce OB wordlist.djvu	data/local/ocr_text/luce_ob_wordlist-a620a49780fb.txt	djvu	ddjvu+tesseract	ddjvu+tesseract	success	2df35913d64eda86a662c233a81edfa42e38cfa88c2d3808a2c5dcbd8da78e15	3733	1-10	
293264-36fe582c909b	Luce&PeMaungTin_BurmaDownToFallOfPagan_1939.pdf	data/local/bibliography_sources/293264-36fe582c909b/293264.pdf	data/local/ocr_text/293264-36fe582c909b.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	094e82bc2153fe4c7f42f0643ba1d28b9e788cefa792551a91942f9c12a3eded	29944	1-10	
luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	data/local/bibliography_sources/luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9/Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	data/local/ocr_text/luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	4857f5165df472f4b162797b0ed8ec71122db2fc4486498e16780321f948ad3d	23553	1-10, 21-30	
luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	data/local/bibliography_sources/luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44/Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	data/local/ocr_text/luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	2d7b2d5604a37ae507d4ebc833756248204e101755a2828fb216240b29d924e6	41611	1-10, 57-66	
luce_phases_burma1985-143ccbb78ee9	luce_phases-burma1985.pdf	data/local/bibliography_sources/luce_phases_burma1985-143ccbb78ee9/luce_phases-burma1985.pdf	data/local/ocr_text/luce_phases_burma1985-143ccbb78ee9.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	c374e2e4e21b53a5dbf378ed22dce811bfa80965898fd05ca619c8ca4b5e5694	24996	1-10, 338-347	
