family_id	family_label	family_type	occurrence_count	sample_raw_references	resolution_status	resolution_level	authority_key	needs_human_review	evidence_id	evidence_source	evidence_confidence	next_action	notes
fam-bed-b-catalogue	BED B references	source_catalogue	66	BED B 645-2 | BED B 622-4 | BED B 623-1	source_family_resolved	source_family	fraschBaganEpigraphicDatabasePartB	true	bagan_epig_database-c4cfc990741f	frasch_word_document	high	Retain the source-family or series mapping and defer issue/article normalization.	Treat as a Frasch-derived local source family.
fam-sip-catalogue	SIP references	source_catalogue	38	SIP no. 26, p. 55 | SIP no. 11, p. 19 | SIP no. 12, p. 21	source_family_resolved	source_family	sipSourceFamily	true	fam-sip-catalogue	corpus_reference	low	Retain the source-family or series mapping and defer issue/article normalization.	Keep provisional pending fuller identification.
fam-raw-b-2	B 2, p. 815	unclear	32	B 2, p. 815 | B 2, p. 830 | B 2 p. 747	alias_resolved	abbreviation	fraschBaganEpigraphicDatabasePartBShort	true	bagan_epig_database-c4cfc990741f	source_abbreviation_seed	medium	Retain the source-family or series mapping and defer issue/article normalization.	B is kept as a stable abbreviation family rather than an ordinary work-level citation.
fam-raw-ub-1	UB 1, p. 297	unclear	30	UB 1, p. 297 | UB 1, p. 300 | UB 1, p. 191	alias_resolved	abbreviation	ubSourceFamily	true	fam-raw-ub-1	source_abbreviation_seed	medium	Retain the source-family or series mapping and defer issue/article normalization.	UB references are preserved as a stable source-family abbreviation with locators.
fam-mm-catalogue	MM references	source_catalogue	23	MM 1, no. 13, p. 117 | MM 1, no. 15, p. 136 | MM 1, no. 16, p. 140	source_family_resolved	source_family	mmSourceFamily	true	frasch-ref-01917	frasch_bibliography	medium	Retain the source-family or series mapping and defer issue/article normalization.	Do not force a local-file match without stronger evidence.
fam-jbrs-publication	JBRS references	publication	22	U Hswai, JBRS 48 (2), 1965, p. 67, no. 5 | Duroiselle, JBRS 6.2, 1916, p. 88 | Luce, Myanmar's Debt, JBRS 1932, p. 125	series_level_resolved	series	journalBurmaResearchSociety	false	luce_1924_countries_neighbouring_burma_j-056f581dfe61	local_luce_folder	high	Retain the source-family or series mapping and defer issue/article normalization.	Article-level matches can override this series-level mapping. Manual identification supplied by Nathan; documentary source agrees.
fam-or-catalogue	OR references	source_catalogue	21	OR 3475, no. 4 | OR 3434 (gā: verso) | OR 3434 fol. ghā verso (with further dates)	source_family_resolved	source_family		true	fam-or-catalogue	corpus_reference	medium	Retain the source-family or series mapping and defer issue/article normalization.	OR citations are modeled as a source family with folio-like locators. No strong definition candidate found in searched corpus documentation or Frasch files. The Frasch witness explicitly links OR citations to British Library Oriental manuscript shelfmarks and folio references.
fam-raw-mp-1	MP 1, p. 81	unclear	17	MP 1, p. 81 | MP 1, no. 1, p. 1 | MP 1, p. 139	alias_resolved	abbreviation		true	fam-raw-mp	corpus_reference	medium	Retain the source-family or series mapping and defer issue/article normalization.	MP references are stable enough to keep as a source-family abbreviation with locators. No strong definition candidate found in searched corpus documentation or Frasch files. The Frasch text repeatedly equates MP references with Mandalay Palace stone labels, supporting a collection-locator reading.
fam-raw-ub-2	UB 2, p. 203	unclear	14	UB 2, p. 203 | UB 2 p. 233 | UB 2, p. 133	alias_resolved	abbreviation	ubSourceFamily	true	fam-raw-ub-1	source_abbreviation_seed	medium	Retain the source-family or series mapping and defer issue/article normalization.	UB references are preserved as a stable source-family abbreviation with locators.
fam-bbhc-publication	BBHC references	publication	13	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96 | Luce/ U Pe Maung Tin, BBHC 1 (2) | Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72	series_level_resolved	series	burmaHistoricalCommissionBulletin	true	fam-bbhc-publication	corpus_reference	low	Retain the source-family or series mapping and defer issue/article normalization.	Keep as a provisional publication family.
fam-raw-mp	MP, p. 107	unclear	12	MP, p. 107 | MP, p. 13 | MP, p. 151	source_family_resolved	abbreviation		true	fam-raw-mp	corpus_reference	medium	Retain the source-family or series mapping and defer issue/article normalization.	MP references are stable enough to keep as a source-family abbreviation with locators. No strong definition candidate found in searched corpus documentation or Frasch files. The Frasch text repeatedly equates MP references with Mandalay Palace stone labels, supporting a collection-locator reading.
fam-raw-u-kyaw-bagan-minsa	U Kyaw, “Bagan Minsa”, p. 195	unclear	12	U Kyaw, “Bagan Minsa”, p. 195	provisional_work	article	uKyawBaganMinsa	true	frasch-ref-00825	frasch_bibliography	medium	Confirm work-level publication details and keep the authority key stable.	Promoted from repeated Frasch shorthand citations pending fuller publication details.
fam-iob-catalogue	IOB references	source_catalogue	9	IOB--278 BED B 622-4 | IOB--462/b | IOB-1-51. BED B 572	confirmed_work	book	lucePeMaungTinInscriptionsOfBurma	true	fam-iob-catalogue	corpus_reference	medium	Confirm work-level publication details and keep the authority key stable.	IOB behaves as a known work family with number-based locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., not IOB; IOB is therefore kept as a locator-family relation to the same underlying work rather than as a standalone title expansion.
fam-raw-mp-2	MP 2, p. 159	unclear	7	MP 2, p. 159 | MP 2, p. 61 | MP 2, p. 65	alias_resolved	abbreviation		true	fam-raw-mp	corpus_reference	medium	Retain the source-family or series mapping and defer issue/article normalization.	MP references are stable enough to keep as a source-family abbreviation with locators. No strong definition candidate found in searched corpus documentation or Frasch files. The Frasch text repeatedly equates MP references with Mandalay Palace stone labels, supporting a collection-locator reading.
fam-anthology	Anthology references	book	6	Anthology 5, p. 81 | Anthology 1, p. 39 | Anthology 5, p. 82	needs_human_review	unknown	anthology	true	fam-anthology	corpus_reference	low	Review local or Frasch evidence before promoting the provisional work/source-family mapping.	Provisional entry generated from corpus reference triage; requires human review.
