raw_reference_string	family_id	source_family_id	source_work_key	bibtex_key	locator	locator_type	issue_type	severity	recommended_fix	notes
List 209	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 209	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 211	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 211	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 213	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 213	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 214	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 214	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 215	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 215	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 216	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 216	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 217	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 217	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 218	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 218	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 222	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 222	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 224	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 224	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 226	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 226	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 228	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 228	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 229	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 229	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 23	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 23	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 23, 27 BED B 420-2	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 23, 27 BED B 420-2	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 230	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 230	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 231	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 231	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 232	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 232	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 233	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 233	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 235/b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 235/b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 235a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 235a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 236a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 236a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 237	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 237	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 238	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 238	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 24	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 24	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 241	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 241	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 242	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 242	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 243	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 243	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 244	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 244	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 246	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 246	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 247	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 247	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 248	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 248	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 249	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 249	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 253	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 253	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 254	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 254	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 255	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 255	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 256	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 256	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 257	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 257	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 258	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 258	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 258 (rev.)	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 258 (rev.)	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 259	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 259	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 260-261	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 260-261	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 262	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 262	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 262-263	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 262-263	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 264a	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 264a	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 267	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 267	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 27	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 27	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 270a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 270a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 271	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 271	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 271a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 271a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 272	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 272	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 273(a)	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 273(a)	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 273(b)	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 273(b)	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 278/b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 278/b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 278b (?)	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 278b (?)	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 284	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 284	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 285	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 285	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 287	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 287	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 288	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 288	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 290	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 290	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 291	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 291	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 292	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 292	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 295	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 295	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 30	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 30	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 302	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 302	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 303 a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 303 a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 305	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 305	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 306	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 306	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 307a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 307a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 308	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 308	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 31	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 31	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 314/a	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 314/a	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 314/b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 314/b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 314a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 314a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 32	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 32	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 323	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 323	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 328	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 328	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
