abbreviation	family_id	family_type	provisional_label	probable_bibtex_key	source_type	evidence_source_file	evidence_ref_id	evidence_quote_short	confidence	needs_human_review	notes
List	fam-list-catalogue		List of Inscriptions Found in Burma	duroiselle1921list	source_catalogue	Duroiselle 1921 List of Inscriptions.pdf	duroiselle_1921_list_of_inscriptions-fd372f9141d6	List of Inscriptions	high	false	Use as the stable catalogue family for List locators.
Luce D			Luce D source family	luceDictionarySourceFamily	misc	U Tin Htway 2001 Burmese epigraphy G H Luce legacy.pdf	u_tin_htway_2001_burmese_epigraphy_g_h_l-cc78c5fabb4b	Burmese epigraphy G H Luce legacy	low	true	Luce D is kept as a provisional Luce source-family shorthand pending exact work confirmation.
Luce J			Luce J source family	luceJournalSourceFamily	misc	U Tin Htway 2001 Burmese epigraphy G H Luce legacy.pdf	u_tin_htway_2001_burmese_epigraphy_g_h_l-cc78c5fabb4b	Burmese epigraphy G H Luce legacy	low	true	Luce J is kept as a provisional Luce source-family shorthand pending exact work confirmation.
MM	fam-mm-catalogue		MM catalogue family	mmSourceFamily	source_catalogue	Bagan Epig Database.doc	frasch-ref-01917	Frasch, “Dhammasats,” App.	medium	true	Do not force a local-file match without stronger evidence.
MP	fam-raw-mp		MP source family	mpSourceFamily	source_catalogue	Bagan Epig Database.doc	frasch-ref-01641	Pichard, IMP 698	medium	true	Keep as a provisional Frasch-backed source family.
OBI	fam-obi-internal		Old Burmese Inscriptions corpus source set	obiCorpusSource	source_catalogue	Bibliographic information vol 1 & 2.docx	bibliographic_information_vol_1_2-a8236fd175a0	Bibliographic information vol 1 and 2	high	false	Treat OBI as the structured corpus source family, not a machine stub.
OR	fam-or-catalogue		OR catalogue family	orSourceFamily	source_catalogue	Bagan Epig Database.doc	frasch-ref-00583	Harvey, History, p. 331	medium	true	Keep provisional and prioritize if frequency rises.
PPA	fam-ppa-catalogue		PPA catalogue family	ppaCatalogue	source_catalogue			Attested repeatedly in extracted Frasch references; fuller bibliographic identification still needs review.	low	true	Keep as a provisional local-source-backed catalogue family.
Pl.	fam-plate-references		Plate reference system	obiPlateReferenceSystem	internal_reference	Bagan Epig Database.doc	frasch-ref-00138	U Than Tun, Supplementary Note to the Legal System in Bagan, Myanmar Law Teachers' Journal 1 (2), 1959, p. 184	medium	true	Plate family remains an internal-reference scaffold.
RDASB	fam-rdasb-publication		Report of the Director, Archaeological Survey of Burma	reportDirectorArchaeologicalSurveyBurma	publication			Recurring RDASB references identify a serial/report family.	low	true	Use locators for year and page pending issue-level review.
SIP	fam-sip-catalogue		SIP catalogue family	sipSourceFamily	source_catalogue			Attested in extracted Frasch bibliography evidence; precise expansion remains under review.	low	true	Keep provisional pending fuller identification.
TN	fam-tn-catalogue		Than Tun catalogue family	thanTunCatalogue	source_catalogue	Bagan Epig Database.doc	frasch-ref-01929	U Than Tun, ROB 1, p. 31	medium	true	Keep provisional until the precise Than Tun source work is pinned down.
U Min Hswe	fam-u-min-hswe-catalogue		U Min Hswe catalogue family	uMinHsweSourceFamily	source_catalogue	Bagan Epig Database.doc	frasch-ref-02534	U Min Hswe, ??	medium	true	Still needs bibliographic normalization beyond the named catalogue marker.
UB	fam-raw-ub		UB source family	ubSourceFamily	source_catalogue			UB references are preserved as a stable source-family abbreviation with locators.	medium	true	UB references are preserved as a stable source-family abbreviation with locators.
UEM	fam-uem-catalogue		UEM catalogue family	uemCatalogue	source_catalogue			Attested repeatedly in extracted Frasch references as a stable catalogue abbreviation.	low	true	Keep provisional until the full work title is recovered.
