raw_reference_string	family_id	source_family_id	source_work_key	work_candidate_id	bibtex_key	locator	locator_type	resolution_status	resolution_level	match_type	match_confidence	evidence	needs_human_review	notes
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 91	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 91	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 96	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
BED B 481-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 481-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 512-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 512-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 512-4	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 512-4	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 530-3	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 530-3	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 532-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 532-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 538-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 538-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 545-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 545-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 557-5	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 557-5	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 558-2	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 558-2	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 559-2	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 559-2	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 567-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 567-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 570-3	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 570-3	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 577-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 577-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 584-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 584-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 586-4	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 586-4	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 586-8	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 586-8	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 587-2a	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 587-2a	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 587-2b	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 587-2b	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 587-7	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 587-7	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 588-4	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 588-4	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 591-6	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 591-6	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 593-3	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 593-3	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 594-5	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 594-5	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 595-11	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 595-11	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 595-7	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 595-7	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 595-8	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 595-8	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 597-11	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 597-11	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 597-12	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 597-12	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 597-3	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 597-3	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 598-6a	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 598-6a	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 600-7	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 600-7	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 602-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 602-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 602-4	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 602-4	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 602-5	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 602-5	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 603-2	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 603-2	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 603-4	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 603-4	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 604-6	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 604-6	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 604-9	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 604-9	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 609-2	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 609-2	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 612-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 612-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 620-3	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 620-3	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 622-12	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 622-12	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 622-4	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 622-4	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 622-6	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 622-6	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 623-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 623-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 628-7	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 628-7	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 645-2	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 645-2	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
BED B 711-1	fam-bed-b-catalogue	sf-bed-b	fraschBaganEpigraphicDatabasePartB	work-bed-b-catalogue	fraschBaganEpigraphicDatabasePartB	BED B 711-1	unclear	source_family_resolved	source_family	source_family_match	high	Treat as a Frasch-derived local source family.	true	Grouped by recurring leading label.
EB 1 (1), 1919, p. 1	fam-eb-publication	sf-eb	epigraphiaBirmanica	work-eb-publication	epigraphiaBirmanica	1919, p. 1	volume_page	series_level_resolved	series	series_level_match	medium	Series-level entry only at this stage. Manual identification supplied by Nathan; documentary source agrees.	true	Grouped by recurring leading label.
EB Vol.1 n°1 BED B 474-1	fam-eb-publication	sf-eb	epigraphiaBirmanica	work-eb-publication	epigraphiaBirmanica	EB Vol.1 n°1 BED B 474-1	unclear	series_level_resolved	series	series_level_match	medium	Series-level entry only at this stage. Manual identification supplied by Nathan; documentary source agrees.	true	Grouped by recurring leading label.
EB Vol.1, n°1	fam-eb-publication	sf-eb	epigraphiaBirmanica	work-eb-publication	epigraphiaBirmanica	EB Vol.1, n°1	unclear	series_level_resolved	series	series_level_match	medium	Series-level entry only at this stage. Manual identification supplied by Nathan; documentary source agrees.	true	Grouped by recurring leading label.
EB Vol.1, n°1 BED B 474-1	fam-eb-publication	sf-eb	epigraphiaBirmanica	work-eb-publication	epigraphiaBirmanica	EB Vol.1, n°1 BED B 474-1	unclear	series_level_resolved	series	series_level_match	medium	Series-level entry only at this stage. Manual identification supplied by Nathan; documentary source agrees.	true	Grouped by recurring leading label.
Harvey, History, p. 331	fam-harvey-history		harvey1925historyBurma	work-harvey-history	harvey1925historyBurma	331	page	provisional_work	book	provisional_work_match	medium	Promoted from repeated Frasch shorthand citations; precise edition details still need confirmation.	true	Grouped by recurring author/title pair.
The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	fam-harvey-history		harvey1925historyBurma	work-harvey-history	harvey1925historyBurma	43-44	page	provisional_work	book	provisional_work_match	medium	Promoted from repeated Frasch shorthand citations; precise edition details still need confirmation.	true	Grouped by recurring author/title pair.
IOB--278 BED B 622-4	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB--278 BED B 622-4	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB--462/b	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB--462/b	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-1-51. BED B 572	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-1-51. BED B 572	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-192 BED B 600-7	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-192 BED B 600-7	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-34 BED B 573-2	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-34 BED B 573-2	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-418 BED B 622-6	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-418 BED B 622-6	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-44/b & 33/b BED B 578-4	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-44/b & 33/b BED B 578-4	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-446/a BED B 623-1	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-446/a BED B 623-1	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IOB-47 BED B 582-2	fam-iob-catalogue	sf-iob	lucePeMaungTinInscriptionsOfBurma	work-iob-catalogue	lucePeMaungTinInscriptionsOfBurma	IOB-47 BED B 582-2	unclear	confirmed_work	book	source_family_match	high	Treat as the stable source family for IOB locators. No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., no…	true	Grouped by recurring leading label.
IPPA	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA	number	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 101-102	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 101-102	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 137-138	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 137-138	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 139	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 139	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 159	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 159	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 176	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 176	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 181, 182	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 181, 182	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 188-189	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 188-189	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 286-287	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 286-287	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 306, 7-8	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 306, 7-8	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
IPPA 59, 60	fam-ippa-catalogue	sf-ippa		work-ippa-catalogue	ippaSourceFamily	IPPA 59, 60	unclear	source_family_resolved	source_family	source_family_match	low	Keep provisional and route remaining ambiguity to high-frequency review. No strong definition candidate found in searched corpus documentation or Frasch files. Targeted search did…	true	Grouped by recurring leading label.
