occurrence_id	record_id	source_deposit	source_layer	source_volume	source_inscription_number	title_original	raw_reference_string	full_references_original	neighboring_reference_before	neighboring_reference_after	parsed_locator	line_or_record_context	notes
ippa-occ-0011	obi-v01-n0027-ob-p0048	zenodo_4321314	structured_obi	1	27	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၂	IPPA-165	IPPA-165; List-120; IOB1-3 BED B 550-1; Pl. I 13; OBI 1, p. 48; UEM no. 7, p. 12; List 120; PPA, p. 165; TN, p. 79; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96		List-120	165	references_original on obverse face/page 48; locator_type=number	Same record also cites PPA, p. 165.
ippa-occ-0012	obi-v01-n0029-ob-p0050	zenodo_4321314	structured_obi	1	29	အမတ်ကြီး သိင်္ဃသူကျောက်စာ	IPPA-151	IPPA-151; List-123/a; IOB1-10/a BED B 552-1; Pl. I 10a+b; OBI 1, p. 50; SIP no. 11, p. 19; UEM no. 8, p. 13; List 123a +b; PPA, p. 151; TN, p. 70; Duroiselle, JBRS 6.2, 1916, p. 88; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 80; Anthology 5, p. 84; U Min Hswe, no. 20		List-123/a	151	references_original on obverse face/page 50; locator_type=number	Same record also cites PPA, p. 151.
ippa-occ-0013	obi-v01-n0029-re-p0051	zenodo_4321314	structured_obi	1	29	အမတ်ကြီး သိင်္ဃသူရ် ကျောက်စာ	IPPA-153, 154	IPPA-153, 154; List-123/b; IOB1-10/b		List-123/b	153, 154	references_original on reverse face/page 51; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 151.
ippa-occ-0014	obi-v01-n0034-re-p0056	zenodo_4321314	structured_obi	1	34	သခင် ငပွဲသောင်ကျောက်စာ	IPPA-166	IPPA-166; List-144; IOB1-14 BED B 558-1; Pl. I 14; OBI 1, p. 56; List 144; PPA, p. 166; TN, p. 80; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96		List-144	166	references_original on reverse face/page 56; locator_type=number	Same record also cites PPA, p. 166.
ippa-occ-0015	obi-v01-n0038-ob-p0060	zenodo_4321314	structured_obi	1	38	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-18	IPPA-18; List-145/a; IOB1-15		List-145/a	18	references_original on obverse face/page 60; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0016	obi-v01-n0038-re-p0061	zenodo_4321314	structured_obi	1	38	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-20	IPPA-20; List 145/b; IOB1-16		List 145/b	20	references_original on reverse face/page 61; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0017	obi-v01-n0047-ob-p0075	zenodo_4321314	structured_obi	1	47	စိုးမင်းပျံချီသမီးကျောက်စာ	IPPA-167	IPPA-167; List-165-27 BED B 566-2; Pl. I 27; OBI 1, p. 75; List 165; PPA, p. 167; TN, p. 80		List-165-27 BED B 566-2	167	references_original on obverse face/page 75; locator_type=number	Same record also cites PPA, p. 167.
ippa-occ-0018	obi-v01-n0052-ob-p0083	zenodo_4321314	structured_obi	1	52	နားတောင်းများမင်းကြီးကျောက်စာ	IPPA-109, 111	IPPA-109, 111; List-273/a; IOB1-31 BED B 593-1; Pl. I 31; OBI 1, p. 83; SIP no. 15, p. 26; UEM no. 15, p. 29; List 273(a); PPA, p. 109; TN, p. 56; copies: List 212; B 2, p. 846; MM 3, no. 37-38, p. 155-160; another copy MM 3, no. 25, p. 107; and MM 4, no. 47, p. 214 (said to come from Sagaing); Ray, Theravada Buddhism, p. 164, Frasch, ‘King Nadaungmya's Great Gift’, p. xx; U Min Hswe, no. 24		List-273/a	109, 111	references_original on obverse face/page 83; locator_type=number	Same record also cites PPA, p. 109.
ippa-occ-0019	obi-v01-n0054-ob-p0086	zenodo_4321314	structured_obi	1	54	ငါစန်သင်ကျောက်စာ	IPPA-168	IPPA-168; List-172; IOB1-32 BED B 570-1; Pl. I 32-33; OBI 1, p. 86; List 172; PPA, p. 168; TN, p. 80		List-172	168	references_original on obverse face/page 86; locator_type=number	Same record also cites PPA, p. 168.
ippa-occ-0020	obi-v01-n0057-ob-p0091	zenodo_4321314	structured_obi	1	57	ကြံသိုင်းမယား ကျောက်စာ	IPPA-57	IPPA-57; List-102; IOB1-50 -b; IOB-1-51. BED B 572; Pl. I 50; OBI 1, p. 91; UEM no. 21, p. 41; List 122; PPA, p. 57; TN, p. 27; U Min Hswe, no. 4		List-102	57	references_original on obverse face/page 91; locator_type=number	Same record also cites PPA, p. 57.
ippa-occ-0021	obi-v01-n0063-ob-p0099	zenodo_4321314	structured_obi	1	63	သင်ကြီး ဓမ္မပါလ်ကျောက်စာ	IPPA-169	IPPA-169; List-175; IOB1-37 BED 574-2; Pl. I 37-38a; OBI 1, p. 99; UEM no. 18, p. 36; List 175; PPA, p. 169; TN, p. 81		List-175	169	references_original on obverse face/page 99; locator_type=number	Same record also cites PPA, p. 169.
ippa-occ-0022	obi-v01-n0065-ob-p0102	zenodo_4321314	structured_obi	1	65	သင်လျင် အိုကပ်သင်ချင် ကျောက်စာ	IPPA-170	IPPA-170; List-176; IOB1-39 BED B 575-1; Pl. I 39-40; OBI 1, p. 102; UEM no. 19, p. 38; List 176; PPA, p. 170; TN, p. 81; copy MM 3, no. 30, p. 131; U Min Hswe, no. 70		List-176	170	references_original on obverse face/page 102; locator_type=number	Same record also cites PPA, p. 170.
ippa-occ-0023	obi-v01-n0070-ob-p0111	zenodo_4321314	structured_obi	1	70	နားတောင်းသိခင်ကျောက်စာ	IPPA-149	IPPA-149; List-179; IOB1-41 BED B 578-1; Pl. I 41; OBI 1, p. 111; UEM no. 20, p. 179; List 179; PPA, p. 149; TN, p. 69; List 78; B 2, p. 788; MM 3, no. 31, p. 133; OR 3475, no. 5		List-179	149	references_original on obverse face/page 111; locator_type=number	Same record also cites PPA, p. 149.
ippa-occ-0024	obi-v01-n0084-ob-p0129	zenodo_4321314	structured_obi	1	84	နားတောင်းများမင်းကြီး ကျောက်စာ	IPPA-212-213,	IPPA-212-213,; List-185,; IOB1-63/a-b BED A; Pl. I 63; OBI 1, p. 129; UEM no. 26, p. 49; List 185; PPA, p. 212; TN, p. 98		List-185,	212-213	references_original on obverse face/page 129; locator_type=number	Same record also cites PPA, p. 212.
ippa-occ-0025	obi-v01-n0086-tx-p0133	zenodo_4321314	structured_obi	1	86	ခင်မိပယ်ပိုသီ ကျောက်စာ	IPPA-150	IPPA-150; List-183; IOB-47 BED B 582-2; Pl. I 47; OBI 1, p. 133; List 183; PPA, p. 150; OR 3475, no. 6 (with date CS 581/1219)		List-183	150	references_original on east face/page 133; locator_type=number	Same record also cites PPA, p. 150.
ippa-occ-0026	obi-v01-n0095-re-p0142	zenodo_4321314	structured_obi	1	95	ကြံသိုင်းကြီးသမီးကျောက်စာ	IPPA-58	IPPA-58; List-191; IOB1-51 BED B 585-3; Pl. I 51; OBI 1, p. 142; UEM no. 21, p. 43; List 191; PPA, p. 98; TN, p. 28; U Min Hswe, no. 3		List-191	58	references_original on reverse face/page 142; locator_type=number	Same record also cites PPA, p. 98.
ippa-occ-0027	obi-v01-n0097-tx-p0151	zenodo_4321314	structured_obi	1	97	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	IPPA-224-226	IPPA-224-226; List 190; IOB1-73 BED B 585-4; Ref.: Pl. I 73; OBI 1, p. 151; SIP no. 19, p. 35; UEM no. 31, p. 58; List 190; PPA, p. 224; TN, p. 103; U Than Tun, Religious Buildings, JBRS 1959, p. 74-5; Luce, Myanmar's Debt, JBRS 1932, p. 125; Strachan, Pagan, p. 127-8; U Than Tun, Buddhism, JBRS 1978, p. 130-3; Anthology 5, p. 85; Lubeigt, Pagan, p. 339; Hla Thamein, Bagan-hket, p. 113		List 190	224-226	references_original on east face/page 151; locator_type=number	Same record also cites PPA, p. 224.
ippa-occ-0028	obi-v01-n0097-tx-p0156	zenodo_4321314	structured_obi	1	97	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	IPPA-217, 218	IPPA-217, 218; List-121; IOB1-74 BED B 585-5; Pl. I 74; OBI 1, p. 156; UEM no. 31, p. 65; List 121; PPA, p. 217; TN, p. 100		List-121	217, 218	references_original on west face/page 156; locator_type=number	Same record also cites PPA, p. 217.
ippa-occ-0029	obi-v01-n0097-tx-p0161	zenodo_4321314	structured_obi	1	97	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	IPPA-227, 228	IPPA-227, 228; List-193; IOB1-75/b BED B 586-1; Pl. I 75a; OBI 1, p. 161; UEM no. 31, p. 72; List 193; PPA, p. 227		List-193	227, 228	references_original on south face/page 161; locator_type=number	Same record also cites PPA, p. 227.
ippa-occ-0030	obi-v01-n0108-tx-p0176	zenodo_4321314	structured_obi	1	108	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	IPPA-219-220	IPPA-219-220; List-196; IOB1-75/a BED B 587-3; Pl. I 75a; OBI 1, p. 176; UEM no. 33, p. 69; List 196; PPA, p. 219; TN, p. 101		List-196	219-220	references_original on north face/page 176; locator_type=number	Same record also cites PPA, p. 219.
ippa-occ-0031	obi-v01-n0128-ob-p0208	zenodo_4321314	structured_obi	1	128	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	IPPA-234	IPPA-234; List-204; IOB183 BED B 591-5; Pl. I 83; OBI 1, p. 208; UEM no. 25, p. 48; List 204; PPA, p. 234; List 486; B 2 p. 747; TN, p. 107		List-204	234	references_original on obverse face/page 208; locator_type=number	Same record also cites PPA, p. 234.
ippa-occ-0032	obi-v01-n0130-ob-p0211	zenodo_4321314	structured_obi	1	130	သိခင် ငစွယ်သင် ကျောက်စာ	IPPA-172-173	IPPA-172-173; List-205; IOB1-62 BED B 591-7; Pl. I 62; OBI 1, p. 211; List 205; PPA, p. 172; TN, p. 82; U Min Hswe, no. 57		List-205	172-173	references_original on obverse face/page 211; locator_type=number	Same record also cites PPA, p. 172.
ippa-occ-0033	obi-v01-n0134-ob-p0215	zenodo_4321314	structured_obi	1	134	မဟာဒါနပတိအမတ်ကျောက်စာ	IPPA-215	IPPA-215; List-209; IOB1-65/a BED B 592-4; Pl. I 65a+b; OBI 1, p. 215; List 209; PPA, p. 216; TN, p. 99		List-209	215	references_original on obverse face/page 215; locator_type=number	Same record also cites PPA, p. 216.
ippa-occ-0034	obi-v01-n0134-re-p0216	zenodo_4321314	structured_obi	1	134	မဟာဒါနပတိအမတ်ကျောက်စာ	IPPA	IPPA; List-210; IOB1-65/b		List-210	IPPA	references_original on reverse face/page 216; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 216.
ippa-occ-0035	obi-v01-n0142-tx-p0229	zenodo_4321314	structured_obi	1	142	လေးမျက်နှာဘုရားကျောက်စာရုံ အမှတ် ၃ ကျောက်စာ	IPPA-221	IPPA-221; List-186; IOB1-76		List-186	221	references_original on east face/page 229; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159).
ippa-occ-0036	obi-v01-n0142-tx-p0233	zenodo_4321314	structured_obi	1	142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	IPPA-231, 232	IPPA-231, 232; List-199; IOB1 78/a		List-199	231, 232	references_original on north face/page 233; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159).
ippa-occ-0037	obi-v01-n0142-tx-p0235	zenodo_4321314	structured_obi	1	142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	IPPA-229, 230	IPPA-229, 230; List-197; IOB1-77		List-197	229, 230	references_original on west face/page 235; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159).
ippa-occ-0038	obi-v01-n0143-ob-p0240	zenodo_4321314	structured_obi	1	143	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	IPPA-235	IPPA-235; List-222; IOB1-68 BED B 595-1; Pl. I 68; OBI 1, p. 240; UEM no. 29, p. 54; List 222; PPA, p. 235; TN, p. 107		List-222	235	references_original on obverse face/page 240; locator_type=number	Same record also cites PPA, p. 235.
ippa-occ-0039	obi-v01-n0146-tx-p0246	zenodo_4321314	structured_obi	1	146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	IPPA-237, 238	IPPA-237, 238; List-223; IOB1-79/b BED B 595-4; Pl. I 79a; OBI 1, p. 245; UEM no. 31, p. 86; Pl. I 79b; OBI 1, p. 246; UEM no. 31, p. 88; List 233; PPA, p. 237; TN, p. 108		List-223	237, 238	references_original on west face/page 246; locator_type=number	Same record also cites PPA, p. 237.
ippa-occ-0040	obi-v01-n0148-ob-p0249	zenodo_4321314	structured_obi	1	148	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-17	IPPA-17; List-224; IOB1-71 BED B 595-6; Pl. I 71-72; OBI 1, p. 249; List 224; PPA, p. 17; TN, p. 6		List-224	17	references_original on obverse face/page 249; locator_type=number	Same record also cites PPA, p. 17.
ippa-occ-0041	obi-v01-n0148-re-p0250	zenodo_4321314	structured_obi	1	148	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-21	IPPA-21; List-145/c; IOB1-72		List-145/c	21	references_original on reverse face/page 250; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 17.
ippa-occ-0042	obi-v01-n0161-ob-p0270	zenodo_4321314	structured_obi	1	161	ငမျင်ခင် ည္အ်စ်ကိုကျောက်စာ	IPPA 176	IPPA 176; List 215; IOB1--8 BED B 597-9; Pl. I 88; OBI 1, p. 270; List 215; PPA, p. 176; TN, p. 84; OR 3434 (gā: verso); U Min Hswe, no. 17		List 215	176	references_original on obverse face/page 270; locator_type=number	Same record also cites PPA, p. 176.
ippa-occ-0043	obi-v01-n0169-ob-p0287	zenodo_4321314	structured_obi	1	169	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	IPPA 59, 60	IPPA 59, 60; List-211; IOB1-93 BED B 598-5; Pl. I 93; OBI 1, p. 287; List 211; PPA, p. 59; TN, p. 28		List-211	59, 60	references_original on obverse face/page 287; locator_type=number	Same record also cites PPA, p. 59.
ippa-occ-0044	obi-v01-n0172-ob-p0291	zenodo_4321314	structured_obi	1	172	ရာဇသူရ သမီးမောင်နှံ ကျောက်စာ	IPPA-99-100	IPPA-99-100; List-237; IOB1-94/a BED B 598-4; Pl. I 94a+b; OBI 1, p. 291; List 237; PPA, p. 99; TN, p. 52		List-237	99-100	references_original on obverse face/page 291; locator_type=number	Same record also cites PPA, p. 99.
ippa-occ-0045	obi-v01-n0178-tx-p0305	zenodo_4321314	structured_obi	1	178	ငါဆုသင် မောင်နှံ ကျောက်စာ	IPPA-179	IPPA-179; List-241; IOB1-101 BED B 599-3; Pl. I 101; OBI 1, p. 305; List 241; PPA, p. 179; TN, p. 85; U Min Hswe, no. 6		List-241	179	references_original on west face/page 305; locator_type=number	Same record also cites PPA, p. 179.
ippa-occ-0046	obi-v01-n0179-tx-p0306	zenodo_4321314	structured_obi	1	179	အမတ် ညာဏပိစည်း ကျောက်စာ	IPPA 181, 182	IPPA 181, 182; List 242; IOB1-105/a BED B 599-4; Pl. I 105a; OBI 1, p. 306; SIP no. 25, p. 52; UEM no. 36, p. 99; List 242; PPA, p. 181; MM 3, no. 44, p. 189; TN, p. 86; U Than Tun, JBRS 1978, p. 140; U Min Hswe, no. 76		List 242	181, 182	references_original on west face/page 306; locator_type=number	Same record also cites PPA, p. 181.
ippa-occ-0047	obi-v01-n0181-ob-p0311	zenodo_4321314	structured_obi	1	181	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	IPPA 61, 62	IPPA 61, 62; List-206; IOB1-103 BED B 600-8; Pl. I 103-104; OBI 1, p. 311; List 206/List 220; PPA, p. 61; TN, p. 29		List-206	61, 62	references_original on obverse face/page 311; locator_type=number	Same record also cites PPA, p. 61.
ippa-occ-0048	obi-v01-n0181-re-p0313	zenodo_4321314	structured_obi	1	181	တကာကြီးမိနှင့် တကာကြီးကျောက်စာ	IPPA 63	IPPA 63; List-220; IOB1-104		List-220	63	references_original on reverse face/page 313; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 61.
ippa-occ-0049	obi-v01-n0183-ob-p0315	zenodo_4321314	structured_obi	1	183	ငါမင်သင် လင်မယား ကျောက်စာ	IPPA 159	IPPA 159; List-1252; IOB2-129 BED B 600-9; Pl. II 129; OBI 1, p. 315; List 1252; PPA, p. 159; TN, p. 93		List-1252	159	references_original on obverse face/page 315; locator_type=number	Same record also cites PPA, p. 159.
ippa-occ-0050	obi-v01-n0186-ob-p0319	zenodo_4321314	structured_obi	1	186	မြင်းကပါ ပိဇယ်တို့ကျောက်စာ	IPPA-183	IPPA-183; List-247; IOB2-131/b BED B 600-5; Pl. II 131b; OBI 1, p. 319; List 247; PPA, p. 183; TN, p. 87; U Min Hswe, no. 44		List-247	183	references_original on obverse face/page 319; locator_type=number	Same record also cites PPA, p. 183.
ippa-occ-0051	obi-v01-n0187-ob-p0320	zenodo_4321314	structured_obi	1	187	သံဗျင်သက်ရှည်ကျောက်စာ	IPPA-239	IPPA-239; List 246; IOB2-132/a BED B 600-6; Pl. II 132a; OBI 1, p. 320; UEM no. 40, p. 112; List 246; PPA p. 239; TN, p. 109		List 246	239	references_original on obverse face/page 320; locator_type=number	Same record also cites PPA p. 239.
ippa-occ-0052	obi-v01-n0205-ob-p0347	zenodo_4321314	structured_obi	1	205	စူဠာမဏိဘုရားကျောက်စာ	IPPA-145-146 BED B 545-3	List 113; IPPA-145-146 BED B 545-3; List 113; OBI 1, p. 347; PPA, p. 145; TN p. 67; List 109-110; B 2, p. 781-783; MM 2, nos. 38-39; OR 6452 B (1), no. 31	List 113	List 113	145-146	references_original on obverse face/page 347; locator_type=number	Same record also cites PPA, p. 145.
ippa-occ-0053	obi-v02-n0004-ob-p0006	zenodo_4321314	structured_obi	2	4	ရတနာသုံးပါးအား ကျွန်လယ်လှူသော ကျောက်စာ	IPPA 286-287	IPPA 286-287; List-1255; IOB2-133 BED B 601-4; Pl. II 133; OBI 2, p. 6; List 1255; PPA, p. 286 (this ref. in List is incorrect !)		List-1255	286-287	references_original on obverse face/page 6; locator_type=number	Same record also cites PPA, p. 286 (this ref. in List is incorrect !).
ippa-occ-0054	obi-v02-n0016-ob-p0024	zenodo_4321314	structured_obi	2	16	ဖွားစောခေါ် အမိပုဟားစော ကျောက်စာ	IPPA-155-157	IPPA-155-157; List-254,; IOB2-138 BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195		List-254,	155-157	references_original on obverse face/page 24; locator_type=number	Same record also cites PPA, p. 155.
ippa-occ-0055	obi-v02-n0018-ob-p0029	zenodo_4321314	structured_obi	2	18	ဖွားစောခေါ် အမိပုရှာစော ကျောက်စာ	IPPA-12	IPPA-12; List-368,; IOB2-139 BED B 603-5; Pl. II 139; OBI 2, p. 29; UEM no. 43, p. 116; List 368; PPA, p. 12; TN, p. 3; OR 6452 B (1), no. 1		List-368,	12	references_original on obverse face/page 29; locator_type=number	Same record also cites PPA, p. 12.
ippa-occ-0056	obi-v02-n0020-ob-p0033	zenodo_4321314	structured_obi	2	20	ညောင်ရံကြီးသမီး ကျောက်စာ	IPPA-117-118	IPPA-117-118; List-263,; IOB2-143/a BED B 571-2; Pl. I 84; OBI 2, p. 3; UEM no. 42, p. 115; List 173		List-263,	117-118	references_original on obverse face/page 33; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0057	obi-v02-n0021-ob-p0037	zenodo_4321314	structured_obi	2	21	ညောင်ရံကြီးသမီးကျောက်စာ	IPPA-114, 116	IPPA-114, 116; List-262; IOB2-144 BED B 571-2; Pl. I 84; OBI 2, p. 3; UEM no. 42, p. 115; List 173		List-262	114, 116	references_original on obverse face/page 37; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0058	obi-v02-n0022-ob-p0041	zenodo_4321314	structured_obi	2	22	ညောင်ရမ်းကြီးသမီးကျောက်စာ	IPPA-184, 185	IPPA-184, 185; List-259; IOB2-145 BED B 604-3; Pl. II 145; OBI 2, p. 41; SIP no. 28, p. 63; UEM no. 47, p. 129; List 259; PPA, p. 184; TN, p. 88; U Min Hswe, no. 34		List-259	184, 185	references_original on obverse face/page 41; locator_type=number	Same record also cites PPA, p. 184.
ippa-occ-0059	obi-v02-n0023-ob-p0044	zenodo_4321314	structured_obi	2	23	ညောင်ရမ်းကြီးသမီးကျောက်စာ	IPPA-240-241	& 2; IPPA-240-241; List-257; IOB2-146 BED B 604-4; Pl. II 146; OBI 2, p. 44; UEM no. 47, p. 131; List 257; PPA, p. 240; TN, p. 109, U Min Hswe, no. 53	& 2	List-257	240-241	references_original on obverse face/page 44; locator_type=number	Same record also cites PPA, p. 240.
ippa-occ-0060	obi-v02-n0024-ob-p0047	zenodo_4321314	structured_obi	2	24	ညောင်ရမ်းကြီးသမီးကျောက်စာ	IPPA-121-122	12; IPPA-121-122; List-261; IOB2-147/a BED B 604-5; Pl. II 147a+b; OBI 2, p. 47; UEM no. 48, p. 134; List 260-261; PPA, p. 119; TN, p. 61-62; U Min Hswe, no. 22-3	12	List-261	121-122	references_original on obverse face/page 47; locator_type=number	Same record also cites PPA, p. 119.
