acronym	current_status	current_expansion	best_evidence_source	best_evidence_quote	manual_seed	ocr_sources_checked	new_ocr_hits	candidate_expansions	recommended_resolution	confidence	needs_human_review	notes
Luce D	unresolved_after_targeted_search		frasch_extracted_text.txt	References: Pl. V 581a = List 1406 = Luce D 825 ... Pl. V 599a-b = List 1445-1446 = A, p. 591-2 = Luce D 835					unresolved_after_targeted_search	low	true	"No strong definition candidate found in searched corpus documentation or Frasch files. Luce D is repeatedly cited as a numbered shorthand, but the targeted local sources do not define it explicitly. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/acronym_definition_candidates.tsv. Searched terms: ""Luce D"" | Dictionary | Old Burma | wordlist."
Luce J	unresolved_after_targeted_search		frasch_extracted_text.txt	References: Pl. V 567b = Luce J2509 ... References: Luce J 2507 ... References: Luce J 2689					unresolved_after_targeted_search	low	true	"No strong definition candidate found in searched corpus documentation or Frasch files. The extracted Frasch text preserves Luce J as a numbered citation family, but no explicit abbreviation-list definition was found in the targeted corpus. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/acronym_definition_candidates.tsv. Searched terms: ""Luce J"" | Journal | JBRS | articles."
MM	confirmed_expansion	Middle Mon	Frasch 2018 Myanmar Epigraphy.pdf	MM = Middle Mon				Middle Mon	confirmed_expansion	high	false	
MP	unresolved_after_targeted_search		frasch_extracted_text.txt	References: List 23 = OBI 1, p. 321 = B 2, p. 830 = A, p.1 = MP 1, p. 21 ... continuation on reverse: MP 1, p. 9					unresolved_after_targeted_search	low	true	No strong definition candidate found in searched corpus documentation or Frasch files. MP survives as a page-based source-family shorthand in the Frasch text, but the targeted files do not define its title explicitly. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/frasch_bagan_epig_database_abbreviations.tsv. Searched terms: MP | Mandalay Palace | stone | collection.
OBI	confirmed_expansion	Old Burmese Inscriptions	Frasch 2004 Measuring Burmese Soil.pdf	OBI = Old Burmese Inscriptions	Old Burmese Inscriptions		Frasch 2004 Measuring Burmese Soil.pdf	Old Burmese Inscriptions | Old Myanmar Inscriptions (Department of Archaeology)	confirmed_expansion	high	false	Manual identification supplied by Nathan; documentary source agrees.
OR	unresolved_after_targeted_search		frasch_extracted_text.txt	References: List 41 = B 2, p. 763 = MM 1, p. ?; OR 6452 B (1), no. 23 ... OR has dates CS 355/993 and 411/1049					unresolved_after_targeted_search	low	true	No strong definition candidate found in searched corpus documentation or Frasch files. OR behaves like a holding or shelfmark reference in targeted usage, but no documentary expansion was found in the searched local files. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/acronym_definition_candidates.tsv. Searched terms: OR | OR 6452 | rubbings | catalogue.
PPA	confirmed_expansion	Inscriptions of Pagan, Pinya and Ava	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Inscriptions of Pagan, Pinya and Ava (PPA)				Inscriptions of Pagan, Pinya and Ava	confirmed_expansion	high	false	
Pl.	internal_locator	Plate reference into Inscriptions of Burma	Frasch 2018 Myanmar Epigraphy.pdf	Pl. = Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956)				Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956)	internal_locator	high	false	
RDASB	unresolved_after_targeted_search		frasch_extracted_text.txt	References: Pl. V 557c; RDASB 1938, p. xi, and app. H, no. 5 ... References: Pl. V 558a; RDASB 1938, p. xii, and app. H, no. 19				Report of the Director, Archaeological Survey of Burma	unresolved_after_targeted_search	low	true	No strong definition candidate found in searched corpus documentation or Frasch files. The targeted local evidence preserves RDASB as a year-based report citation, but no explicit abbreviation-list line was recovered for a documentary confirmation. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/frasch_bagan_epig_database_abbreviations.tsv. Searched terms: RDASB | Report of the Director, Archaeological Survey of Burma | Director of Archaeology.
SIP	confirmed_expansion	Pe Maung Tin and G. H. Luce, Selections from the Inscriptions of Pagan	Luce 1981 comparative wordlist.pdf	SIP = Pe Maung Tin and G. H. Luce, Selections from the Inscriptions of Pagan				Pe Maung Tin and G. H. Luce, Selections from the Inscriptions of Pagan	confirmed_expansion	high	false	
TN	confirmed_expansion	U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava	frasch_extracted_text.txt	TN U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava, Rangoon 1897				U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava	confirmed_expansion	high	false	No strong definition candidate found in searched corpus documentation or Frasch files. Explicit abbreviation-list definition in Frasch's extracted text. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt. Searched terms: TN | U Tun Nyein | Inscriptions of Pagan, Pinya and Ava.
UB	confirmed_expansion	Inscriptions Collected in Upper Burma	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Inscriptions Collected in Upper Burma (UB 1, UB 2)				Inscriptions Collected in Upper Burma	confirmed_expansion	high	false	
UEM	confirmed_expansion	U E Maung (ed.), Selections from the Inscriptions of Pagan	frasch_extracted_text.txt	UEM U E Maung (ed.), Selections from the Inscriptions of Pagan, Rangoon 1958				U E Maung (ed.), Selections from the Inscriptions of Pagan	confirmed_expansion	high	false	No strong definition candidate found in searched corpus documentation or Frasch files. Explicit abbreviation-list definition in Frasch's extracted text. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt. Searched terms: UEM | U E Maung | Selections from the Inscriptions of Pagan.
U Min Hswe	not_an_acronym	U Min Hswe							not_an_acronym	low	false	No strong definition candidate found in searched corpus documentation or Frasch files.
