query	matched_file_id	matched_file_label	match_location	short_context_before	match_text	short_context_after	evidence_type	supports_alias_of_ppa	supports_distinct_expansion	supports_typo	confidence	notes
IPPA-170							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-149							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-212-213,							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-150							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-58							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-224-226							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-217, 218							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-227, 228							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-219-220							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-234							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-172-173							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-215							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA	26a5bbf72226	acronym_definition_candidates.tsv	data/working/bibliography/local_sources/acronym_definition_candidates.tsv:L2	riod Number: A Date: Donor: ? Contents: ? Location: Thingade	ippa	monastery, Sagaing; now lost References: Pl. V 603b Remarks	contextual_usage	false	false	false	low	Exact query was found in the local extracted-text cache.
IPPA-221							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-231, 232							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-229, 230							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-235							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-237, 238							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-17							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-21							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 176							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 59, 60							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-99-100							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-179							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 181, 182							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 61, 62							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 63							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 159							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-183							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-239							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-145-146 BED B 545-3							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 286-287							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-155-157							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-12							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-117-118							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-114, 116							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-184, 185							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-240-241							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-121-122							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-119-120							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-103-104							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-174-175							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-112-113							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-186							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-187							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-243-245							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-246-248							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-294							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-9							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 101-102							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-147-148							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-105							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-190							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-106							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-201							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-191							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-55							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-266							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 188-189							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-269							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-264							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-313-314							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-98							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-257							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-274-276							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-255							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-277							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-193							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-295							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-278							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-96-97							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-280							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-281							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-283							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-260							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-270-271							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-64							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-284							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-123							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-107							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-253-254							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-293							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-311-312							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 137-138							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-341							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-303, 4-5							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 306, 7-8							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-15							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-297-8-9							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-300-1-2							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 78-79-80-81-82							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 83-84-85-86							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-87-88							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-89-90							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-320							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
I PPA							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
I.P.P.A.							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
I.P.A.							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 101							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 102							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 137							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 138							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
PPA 101							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
PPA 102							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
PPA 137	e72d8e9f34dd	luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44.txt	data/local/ocr_text/luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44.txt:L16	. isa later inscription (Plate V, 476, List 533,	PPA 137	-8, T.N.6!-65, SIP i	contextual_usage	false	false	false	low	Exact query was found in the local extracted-text cache.
PPA 138							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
Pagan Pinya Ava 101							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
Pagan Pinya Ava 137							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
Inscriptions of Pagan, Pinya and Ava	26a5bbf72226	acronym_definition_candidates.tsv	data/working/bibliography/local_sources/acronym_definition_candidates.tsv:L14	Pagan, Delhi 1936). 5 The first volume to be published was	Inscriptions of Pagan, Pinya and Ava	(PPA), Rangoon 1892. In 1897 followed to the two volumes of	abbreviation_list	true	false	false	medium	Positive local control hit for the underlying PPA source title.
