record_id	title_original	references_original	other_sources_cited	IPPA_locator	parallel_OBI_or_List_or_PPA_reference	likely_source_relationship	review_decision	confidence	notes
obi-v01-n0027-ob-p0048	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၂	IPPA-165; List-120; IOB1-3 BED B 550-1; Pl. I 13; OBI 1, p. 48; UEM no. 7, p. 12; List 120; PPA, p. 165; TN, p. 79; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96	List-120 | IOB1-3 BED B 550-1 | Pl. I 13 | OBI 1, p. 48 | UEM no. 7, p. 12 | List 120 | PPA, p. 165 | TN, p. 79	165	List-120 | Pl. I 13 | OBI 1, p. 48 | UEM no. 7, p. 12 | List 120 | PPA, p. 165	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0029-ob-p0050	အမတ်ကြီး သိင်္ဃသူကျောက်စာ	IPPA-151; List-123/a; IOB1-10/a BED B 552-1; Pl. I 10a+b; OBI 1, p. 50; SIP no. 11, p. 19; UEM no. 8, p. 13; List 123a +b; PPA, p. 151; TN, p. 70; Duroiselle, JBRS 6.2, 1916, p. 88; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 80; Anthology 5, p. 84; U Min Hswe, no. 20	List-123/a | IOB1-10/a BED B 552-1 | Pl. I 10a+b | OBI 1, p. 50 | SIP no. 11, p. 19 | UEM no. 8, p. 13 | List 123a +b | PPA, p. 151	151	List-123/a | Pl. I 10a+b | OBI 1, p. 50 | UEM no. 8, p. 13 | List 123a +b | PPA, p. 151	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0029-re-p0051	အမတ်ကြီး သိင်္ဃသူရ် ကျောက်စာ	IPPA-153, 154; List-123/b; IOB1-10/b	List-123/b | IOB1-10/b	153, 154	List-123/b	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0034-re-p0056	သခင် ငပွဲသောင်ကျောက်စာ	IPPA-166; List-144; IOB1-14 BED B 558-1; Pl. I 14; OBI 1, p. 56; List 144; PPA, p. 166; TN, p. 80; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96	List-144 | IOB1-14 BED B 558-1 | Pl. I 14 | OBI 1, p. 56 | List 144 | PPA, p. 166 | TN, p. 80 | Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96	166	List-144 | Pl. I 14 | OBI 1, p. 56 | List 144 | PPA, p. 166 | TN, p. 80	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0038-ob-p0060	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-18; List-145/a; IOB1-15	List-145/a | IOB1-15	18	List-145/a	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0038-re-p0061	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-20; List 145/b; IOB1-16	List 145/b | IOB1-16	20	List 145/b	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0047-ob-p0075	စိုးမင်းပျံချီသမီးကျောက်စာ	IPPA-167; List-165-27 BED B 566-2; Pl. I 27; OBI 1, p. 75; List 165; PPA, p. 167; TN, p. 80	List-165-27 BED B 566-2 | Pl. I 27 | OBI 1, p. 75 | List 165 | PPA, p. 167 | TN, p. 80	167	List-165-27 BED B 566-2 | Pl. I 27 | OBI 1, p. 75 | List 165 | PPA, p. 167 | TN, p. 80	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0052-ob-p0083	နားတောင်းများမင်းကြီးကျောက်စာ	IPPA-109, 111; List-273/a; IOB1-31 BED B 593-1; Pl. I 31; OBI 1, p. 83; SIP no. 15, p. 26; UEM no. 15, p. 29; List 273(a); PPA, p. 109; TN, p. 56; copies: List 212; B 2, p. 846; MM 3, no. 37-38, p. 155-160; another copy MM 3, no. 25, p. 107; and MM 4, no. 47, p. 214 (said to come from Sagaing); Ray, Theravada Buddhism, p. 164, Frasch, ‘King Nadaungmya's Great Gift’, p. xx; U Min Hswe, no. 24	List-273/a | IOB1-31 BED B 593-1 | Pl. I 31 | OBI 1, p. 83 | SIP no. 15, p. 26 | UEM no. 15, p. 29 | List 273(a) | PPA, p. 109	109, 111	List-273/a | Pl. I 31 | OBI 1, p. 83 | UEM no. 15, p. 29 | List 273(a) | PPA, p. 109	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0054-ob-p0086	ငါစန်သင်ကျောက်စာ	IPPA-168; List-172; IOB1-32 BED B 570-1; Pl. I 32-33; OBI 1, p. 86; List 172; PPA, p. 168; TN, p. 80	List-172 | IOB1-32 BED B 570-1 | Pl. I 32-33 | OBI 1, p. 86 | List 172 | PPA, p. 168 | TN, p. 80	168	List-172 | Pl. I 32-33 | OBI 1, p. 86 | List 172 | PPA, p. 168 | TN, p. 80	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0057-ob-p0091	ကြံသိုင်းမယား ကျောက်စာ	IPPA-57; List-102; IOB1-50 -b; IOB-1-51. BED B 572; Pl. I 50; OBI 1, p. 91; UEM no. 21, p. 41; List 122; PPA, p. 57; TN, p. 27; U Min Hswe, no. 4	List-102 | IOB1-50 -b | IOB-1-51. BED B 572 | Pl. I 50 | OBI 1, p. 91 | UEM no. 21, p. 41 | List 122 | PPA, p. 57	57	List-102 | Pl. I 50 | OBI 1, p. 91 | UEM no. 21, p. 41 | List 122 | PPA, p. 57	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0063-ob-p0099	သင်ကြီး ဓမ္မပါလ်ကျောက်စာ	IPPA-169; List-175; IOB1-37 BED 574-2; Pl. I 37-38a; OBI 1, p. 99; UEM no. 18, p. 36; List 175; PPA, p. 169; TN, p. 81	List-175 | IOB1-37 BED 574-2 | Pl. I 37-38a | OBI 1, p. 99 | UEM no. 18, p. 36 | List 175 | PPA, p. 169 | TN, p. 81	169	List-175 | Pl. I 37-38a | OBI 1, p. 99 | UEM no. 18, p. 36 | List 175 | PPA, p. 169	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0065-ob-p0102	သင်လျင် အိုကပ်သင်ချင် ကျောက်စာ	IPPA-170; List-176; IOB1-39 BED B 575-1; Pl. I 39-40; OBI 1, p. 102; UEM no. 19, p. 38; List 176; PPA, p. 170; TN, p. 81; copy MM 3, no. 30, p. 131; U Min Hswe, no. 70	List-176 | IOB1-39 BED B 575-1 | Pl. I 39-40 | OBI 1, p. 102 | UEM no. 19, p. 38 | List 176 | PPA, p. 170 | TN, p. 81	170	List-176 | Pl. I 39-40 | OBI 1, p. 102 | UEM no. 19, p. 38 | List 176 | PPA, p. 170	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0070-ob-p0111	နားတောင်းသိခင်ကျောက်စာ	IPPA-149; List-179; IOB1-41 BED B 578-1; Pl. I 41; OBI 1, p. 111; UEM no. 20, p. 179; List 179; PPA, p. 149; TN, p. 69; List 78; B 2, p. 788; MM 3, no. 31, p. 133; OR 3475, no. 5	List-179 | IOB1-41 BED B 578-1 | Pl. I 41 | OBI 1, p. 111 | UEM no. 20, p. 179 | List 179 | PPA, p. 149 | TN, p. 69	149	List-179 | Pl. I 41 | OBI 1, p. 111 | UEM no. 20, p. 179 | List 179 | PPA, p. 149	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0084-ob-p0129	နားတောင်းများမင်းကြီး ကျောက်စာ	IPPA-212-213,; List-185,; IOB1-63/a-b BED A; Pl. I 63; OBI 1, p. 129; UEM no. 26, p. 49; List 185; PPA, p. 212; TN, p. 98	List-185, | IOB1-63/a-b BED A | Pl. I 63 | OBI 1, p. 129 | UEM no. 26, p. 49 | List 185 | PPA, p. 212 | TN, p. 98	212-213	List-185, | Pl. I 63 | OBI 1, p. 129 | UEM no. 26, p. 49 | List 185 | PPA, p. 212	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0086-tx-p0133	ခင်မိပယ်ပိုသီ ကျောက်စာ	IPPA-150; List-183; IOB-47 BED B 582-2; Pl. I 47; OBI 1, p. 133; List 183; PPA, p. 150; OR 3475, no. 6 (with date CS 581/1219)	List-183 | IOB-47 BED B 582-2 | Pl. I 47 | OBI 1, p. 133 | List 183 | PPA, p. 150 | OR 3475, no. 6 (with date CS 581/1219)	150	List-183 | Pl. I 47 | OBI 1, p. 133 | List 183 | PPA, p. 150	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0095-re-p0142	ကြံသိုင်းကြီးသမီးကျောက်စာ	IPPA-58; List-191; IOB1-51 BED B 585-3; Pl. I 51; OBI 1, p. 142; UEM no. 21, p. 43; List 191; PPA, p. 98; TN, p. 28; U Min Hswe, no. 3	List-191 | IOB1-51 BED B 585-3 | Pl. I 51 | OBI 1, p. 142 | UEM no. 21, p. 43 | List 191 | PPA, p. 98 | TN, p. 28	58	List-191 | Pl. I 51 | OBI 1, p. 142 | UEM no. 21, p. 43 | List 191 | PPA, p. 98	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0097-tx-p0151	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	IPPA-224-226; List 190; IOB1-73 BED B 585-4; Ref.: Pl. I 73; OBI 1, p. 151; SIP no. 19, p. 35; UEM no. 31, p. 58; List 190; PPA, p. 224; TN, p. 103; U Than Tun, Religious Buildings, JBRS 1959, p. 74-5; Luce, Myanmar's Debt, JBRS 1932, p. 125; Strachan, Pagan, p. 127-8; U Than Tun, Buddhism, JBRS 1978, p. 130-3; Anthology 5, p. 85; Lubeigt, Pagan, p. 339; Hla Thamein, Bagan-hket, p. 113	List 190 | IOB1-73 BED B 585-4 | Ref.: Pl. I 73 | OBI 1, p. 151 | SIP no. 19, p. 35 | UEM no. 31, p. 58 | List 190 | PPA, p. 224	224-226	List 190 | OBI 1, p. 151 | UEM no. 31, p. 58 | List 190 | PPA, p. 224 | TN, p. 103	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0097-tx-p0156	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	IPPA-217, 218; List-121; IOB1-74 BED B 585-5; Pl. I 74; OBI 1, p. 156; UEM no. 31, p. 65; List 121; PPA, p. 217; TN, p. 100	List-121 | IOB1-74 BED B 585-5 | Pl. I 74 | OBI 1, p. 156 | UEM no. 31, p. 65 | List 121 | PPA, p. 217 | TN, p. 100	217, 218	List-121 | Pl. I 74 | OBI 1, p. 156 | UEM no. 31, p. 65 | List 121 | PPA, p. 217	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0097-tx-p0161	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	IPPA-227, 228; List-193; IOB1-75/b BED B 586-1; Pl. I 75a; OBI 1, p. 161; UEM no. 31, p. 72; List 193; PPA, p. 227	List-193 | IOB1-75/b BED B 586-1 | Pl. I 75a | OBI 1, p. 161 | UEM no. 31, p. 72 | List 193 | PPA, p. 227	227, 228	List-193 | Pl. I 75a | OBI 1, p. 161 | UEM no. 31, p. 72 | List 193 | PPA, p. 227	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0108-tx-p0176	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	IPPA-219-220; List-196; IOB1-75/a BED B 587-3; Pl. I 75a; OBI 1, p. 176; UEM no. 33, p. 69; List 196; PPA, p. 219; TN, p. 101	List-196 | IOB1-75/a BED B 587-3 | Pl. I 75a | OBI 1, p. 176 | UEM no. 33, p. 69 | List 196 | PPA, p. 219 | TN, p. 101	219-220	List-196 | Pl. I 75a | OBI 1, p. 176 | UEM no. 33, p. 69 | List 196 | PPA, p. 219	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0128-ob-p0208	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	IPPA-234; List-204; IOB183 BED B 591-5; Pl. I 83; OBI 1, p. 208; UEM no. 25, p. 48; List 204; PPA, p. 234; List 486; B 2 p. 747; TN, p. 107	List-204 | IOB183 BED B 591-5 | Pl. I 83 | OBI 1, p. 208 | UEM no. 25, p. 48 | List 204 | PPA, p. 234 | List 486	234	List-204 | Pl. I 83 | OBI 1, p. 208 | UEM no. 25, p. 48 | List 204 | PPA, p. 234	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0130-ob-p0211	သိခင် ငစွယ်သင် ကျောက်စာ	IPPA-172-173; List-205; IOB1-62 BED B 591-7; Pl. I 62; OBI 1, p. 211; List 205; PPA, p. 172; TN, p. 82; U Min Hswe, no. 57	List-205 | IOB1-62 BED B 591-7 | Pl. I 62 | OBI 1, p. 211 | List 205 | PPA, p. 172 | TN, p. 82 | U Min Hswe, no. 57	172-173	List-205 | Pl. I 62 | OBI 1, p. 211 | List 205 | PPA, p. 172 | TN, p. 82	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0134-ob-p0215	မဟာဒါနပတိအမတ်ကျောက်စာ	IPPA-215; List-209; IOB1-65/a BED B 592-4; Pl. I 65a+b; OBI 1, p. 215; List 209; PPA, p. 216; TN, p. 99	List-209 | IOB1-65/a BED B 592-4 | Pl. I 65a+b | OBI 1, p. 215 | List 209 | PPA, p. 216 | TN, p. 99	215	List-209 | Pl. I 65a+b | OBI 1, p. 215 | List 209 | PPA, p. 216 | TN, p. 99	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0134-re-p0216	မဟာဒါနပတိအမတ်ကျောက်စာ	IPPA; List-210; IOB1-65/b	List-210 | IOB1-65/b	IPPA	List-210	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0142-tx-p0229	လေးမျက်နှာဘုရားကျောက်စာရုံ အမှတ် ၃ ကျောက်စာ	IPPA-221; List-186; IOB1-76	List-186 | IOB1-76	221	List-186	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0142-tx-p0233	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	IPPA-231, 232; List-199; IOB1 78/a	List-199 | IOB1 78/a	231, 232	List-199	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0142-tx-p0235	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	IPPA-229, 230; List-197; IOB1-77	List-197 | IOB1-77	229, 230	List-197	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0143-ob-p0240	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	IPPA-235; List-222; IOB1-68 BED B 595-1; Pl. I 68; OBI 1, p. 240; UEM no. 29, p. 54; List 222; PPA, p. 235; TN, p. 107	List-222 | IOB1-68 BED B 595-1 | Pl. I 68 | OBI 1, p. 240 | UEM no. 29, p. 54 | List 222 | PPA, p. 235 | TN, p. 107	235	List-222 | Pl. I 68 | OBI 1, p. 240 | UEM no. 29, p. 54 | List 222 | PPA, p. 235	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0146-tx-p0246	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	IPPA-237, 238; List-223; IOB1-79/b BED B 595-4; Pl. I 79a; OBI 1, p. 245; UEM no. 31, p. 86; Pl. I 79b; OBI 1, p. 246; UEM no. 31, p. 88; List 233; PPA, p. 237; TN, p. 108	List-223 | IOB1-79/b BED B 595-4 | Pl. I 79a | OBI 1, p. 245 | UEM no. 31, p. 86 | Pl. I 79b | OBI 1, p. 246 | UEM no. 31, p. 88	237, 238	List-223 | Pl. I 79a | OBI 1, p. 245 | UEM no. 31, p. 86 | Pl. I 79b | OBI 1, p. 246	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0148-ob-p0249	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-17; List-224; IOB1-71 BED B 595-6; Pl. I 71-72; OBI 1, p. 249; List 224; PPA, p. 17; TN, p. 6	List-224 | IOB1-71 BED B 595-6 | Pl. I 71-72 | OBI 1, p. 249 | List 224 | PPA, p. 17 | TN, p. 6	17	List-224 | Pl. I 71-72 | OBI 1, p. 249 | List 224 | PPA, p. 17 | TN, p. 6	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0148-re-p0250	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	IPPA-21; List-145/c; IOB1-72	List-145/c | IOB1-72	21	List-145/c	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0161-ob-p0270	ငမျင်ခင် ည္အ်စ်ကိုကျောက်စာ	IPPA 176; List 215; IOB1--8 BED B 597-9; Pl. I 88; OBI 1, p. 270; List 215; PPA, p. 176; TN, p. 84; OR 3434 (gā: verso); U Min Hswe, no. 17	List 215 | IOB1--8 BED B 597-9 | Pl. I 88 | OBI 1, p. 270 | List 215 | PPA, p. 176 | TN, p. 84 | OR 3434 (gā: verso)	176	List 215 | Pl. I 88 | OBI 1, p. 270 | List 215 | PPA, p. 176 | TN, p. 84	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
