family_id	family_label	family_type	member_count	occurrence_count	sample_raw_references	current_bibtex_key	current_status	suggested_local_search_terms	notes
fam-raw-ba-10	BA-10	unclear	1	1	BA-10	work37	machine_stub	BA-10	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-101	BA-101	unclear	1	1	BA-101	work38	machine_stub	BA-101	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-103	BA-103	unclear	1	1	BA-103	work39	machine_stub	BA-103	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-105	BA-105	unclear	1	1	BA-105	work40	machine_stub	BA-105	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-106	BA-106,	unclear	1	1	BA-106,	work41	machine_stub	BA-106,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-107	BA 107	unclear	1	1	BA 107	work42	machine_stub	BA 107	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-109-157	BA-109, 157	unclear	1	1	BA-109, 157	work43	machine_stub	BA-109, 157	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-11	BA-11	unclear	1	1	BA-11	work44	machine_stub	BA-11	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-110	BA-110	unclear	1	1	BA-110	work45	machine_stub	BA-110	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-111	BA-111	unclear	1	1	BA-111	work46	machine_stub	BA-111	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-112	BA 112	unclear	1	1	BA 112	work47	machine_stub	BA 112	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-113	BA-113,	unclear	1	1	BA-113,	work48	machine_stub	BA-113,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-114	BA-114	unclear	1	1	BA-114	work49	machine_stub	BA-114	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-115	BA-115	unclear	1	1	BA-115	work50	machine_stub	BA-115	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-116	BA-116	unclear	1	1	BA-116	work51	machine_stub	BA-116	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-117	BA-117	unclear	1	1	BA-117	work52	machine_stub	BA-117	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-118	BA-118	unclear	1	1	BA-118	work53	machine_stub	BA-118	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-121	BA-121	unclear	1	1	BA-121	work54	machine_stub	BA-121	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-122	BA-122	unclear	1	1	BA-122	work55	machine_stub	BA-122	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-124	BA-124	unclear	1	1	BA-124	work56	machine_stub	BA-124	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-125	BA-125	unclear	1	1	BA-125	work57	machine_stub	BA-125	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-127	BA-127	unclear	1	1	BA-127	work58	machine_stub	BA-127	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-128	BA-128	unclear	1	1	BA-128	work59	machine_stub	BA-128	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-130	BA-130	unclear	1	1	BA-130	work60	machine_stub	BA-130	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-133	BA-133	unclear	1	1	BA-133	work61	machine_stub	BA-133	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-135	BA 135	unclear	1	1	BA 135	work62	machine_stub	BA 135	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-137-138	BA-137-138	unclear	1	1	BA-137-138	work63	machine_stub	BA-137-138	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-139-140	BA-139-140	unclear	1	1	BA-139-140	work64	machine_stub	BA-139-140	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-141	BA-141	unclear	1	1	BA-141	work65	machine_stub	BA-141	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-142	BA-142	unclear	1	1	BA-142	work66	machine_stub	BA-142	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-143-144	BA-143-144	unclear	1	1	BA-143-144	work67	machine_stub	BA-143-144	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-145	BA-145	unclear	1	1	BA-145	work68	machine_stub	BA-145	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-146	BA-146	unclear	1	1	BA-146	work69	machine_stub	BA-146	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-147	BA-147	unclear	1	1	BA-147	work70	machine_stub	BA-147	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-149	BA-149	unclear	1	1	BA-149	work71	machine_stub	BA-149	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-150	BA-150	unclear	1	1	BA-150	work72	machine_stub	BA-150	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-151-152	BA-151-152	unclear	1	1	BA-151-152	work73	machine_stub	BA-151-152	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-153	BA-153	unclear	1	1	BA-153	work74	machine_stub	BA-153	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-154	BA-154	unclear	1	1	BA-154	work75	machine_stub	BA-154	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-156	BA-156	unclear	1	1	BA-156	work76	machine_stub	BA-156	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-16	BA-16	unclear	1	1	BA-16	work77	machine_stub	BA-16	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-162	BA-162	unclear	1	1	BA-162	work78	machine_stub	BA-162	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-164	BA-164	unclear	1	1	BA-164	work79	machine_stub	BA-164	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-165	BA-165	unclear	1	1	BA-165	work80	machine_stub	BA-165	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-166-167	BA-166-167	unclear	1	1	BA-166-167	work81	machine_stub	BA-166-167	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-168	BA-168	unclear	1	1	BA-168	work82	machine_stub	BA-168	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-169	BA-169	unclear	1	1	BA-169	work83	machine_stub	BA-169	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-170	BA-170	unclear	1	1	BA-170	work84	machine_stub	BA-170	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-174	BA-174	unclear	1	1	BA-174	work85	machine_stub	BA-174	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-177	BA-177	unclear	1	1	BA-177	work86	machine_stub	BA-177	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-179	BA-179	unclear	1	1	BA-179	work87	machine_stub	BA-179	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-18	BA-18	unclear	1	1	BA-18	work88	machine_stub	BA-18	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-183	BA-183	unclear	1	1	BA-183	work89	machine_stub	BA-183	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-184	BA-184	unclear	1	1	BA-184	work90	machine_stub	BA-184	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-185	BA-185	unclear	1	1	BA-185	work91	machine_stub	BA-185	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-186	BA-186	unclear	1	1	BA-186	work92	machine_stub	BA-186	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-187	BA-187	unclear	1	1	BA-187	work93	machine_stub	BA-187	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-188	BA-188	unclear	1	1	BA-188	work94	machine_stub	BA-188	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-189	BA-189	unclear	1	1	BA-189	work95	machine_stub	BA-189	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-19	BA-19	unclear	1	1	BA-19	work96	machine_stub	BA-19	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-190	BA-190	unclear	1	1	BA-190	work97	machine_stub	BA-190	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-191	BA-191	unclear	1	1	BA-191	work98	machine_stub	BA-191	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-192	BA-192	unclear	1	1	BA-192	work99	machine_stub	BA-192	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-193	BA-193	unclear	1	1	BA-193	work100	machine_stub	BA-193	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-194	BA-194,	unclear	1	1	BA-194,	work101	machine_stub	BA-194,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-195	BA-195,	unclear	1	1	BA-195,	work102	machine_stub	BA-195,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-197	BA-197	unclear	1	1	BA-197	work103	machine_stub	BA-197	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-198-199	BA-198-199	unclear	1	1	BA-198-199	work104	machine_stub	BA-198-199	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-200	BA-200	unclear	1	1	BA-200	work105	machine_stub	BA-200	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-202	BA-202,	unclear	1	1	BA-202,	work106	machine_stub	BA-202,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-209	BA-209	unclear	1	1	BA-209	work107	machine_stub	BA-209	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-215	BA-215	unclear	1	1	BA-215	work108	machine_stub	BA-215	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-217	BA-217	unclear	1	1	BA-217	work109	machine_stub	BA-217	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-225-226	BA-225-226	unclear	1	1	BA-225-226	work110	machine_stub	BA-225-226	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-228-582	BA-228 & 582	unclear	1	1	BA-228 & 582	work111	machine_stub	BA-228 & 582	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-229	BA-229	unclear	1	1	BA-229	work112	machine_stub	BA-229	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-244	BA-244	unclear	1	1	BA-244	work113	machine_stub	BA-244	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-254	BA-254	unclear	1	1	BA-254	work114	machine_stub	BA-254	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-27	BA-27	unclear	1	1	BA-27	work115	machine_stub	BA-27	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-270	BA-270	unclear	1	1	BA-270	work116	machine_stub	BA-270	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-271-272	BA-271-272	unclear	1	1	BA-271-272	work117	machine_stub	BA-271-272	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-273	BA-273	unclear	1	1	BA-273	work118	machine_stub	BA-273	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-274	BA-274	unclear	1	1	BA-274	work119	machine_stub	BA-274	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-28	BA-28	unclear	1	1	BA-28	work120	machine_stub	BA-28	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-332	BA-332	unclear	1	1	BA-332	work121	machine_stub	BA-332	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-34	BA-34	unclear	1	1	BA-34	work122	machine_stub	BA-34	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-357	BA-357	unclear	1	1	BA-357	work123	machine_stub	BA-357	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-36	BA-36	unclear	1	1	BA-36	work124	machine_stub	BA-36	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-39	BA-39	unclear	1	1	BA-39	work125	machine_stub	BA-39	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-395	BA-395	unclear	1	1	BA-395	work126	machine_stub	BA-395	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-399	BA-399,	unclear	1	1	BA-399,	work127	machine_stub	BA-399,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-41	BA-41	unclear	1	1	BA-41	work128	machine_stub	BA-41	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-419	BA-419	unclear	1	1	BA-419	work129	machine_stub	BA-419	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-42	BA-42	unclear	1	1	BA-42	work130	machine_stub	BA-42	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-428	BA-428,	unclear	1	1	BA-428,	work131	machine_stub	BA-428,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-43	BA-43	unclear	1	1	BA-43	work132	machine_stub	BA-43	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-436-1-2-3-4-5	ba 436 1 2 3 4 5	unclear	1	1	BA-436, 1-2-3-4-5-,	work133	machine_stub	ba 436 1 2 3 4 5	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-437	BA-437	unclear	1	1	BA-437	work134	machine_stub	BA-437	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-466	BA-466	unclear	1	1	BA-466	work135	machine_stub	BA-466	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-47	BA-47	unclear	1	1	BA-47	work136	machine_stub	BA-47	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-471	BA-471	unclear	1	1	BA-471	work137	machine_stub	BA-471	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-472	BA-472	unclear	1	1	BA-472	work138	machine_stub	BA-472	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-474	BA-474	unclear	1	1	BA-474	work139	machine_stub	BA-474	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-487	BA-487	unclear	1	1	BA-487	work140	machine_stub	BA-487	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-49	BA-49	unclear	1	1	BA-49	work141	machine_stub	BA-49	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-494	BA-494	unclear	1	1	BA-494	work142	machine_stub	BA-494	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-496	BA-496	unclear	1	1	BA-496	work143	machine_stub	BA-496	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-50	BA-50	unclear	1	1	BA-50	work144	machine_stub	BA-50	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-508	BA-508	unclear	1	1	BA-508	work145	machine_stub	BA-508	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-51	BA-51	unclear	1	1	BA-51	work146	machine_stub	BA-51	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-510	BA-510	unclear	1	1	BA-510	work147	machine_stub	BA-510	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-52	BA-52	unclear	1	1	BA-52	work148	machine_stub	BA-52	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-535	BA-535	unclear	1	1	BA-535	work149	machine_stub	BA-535	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-54	BA-54	unclear	1	1	BA-54	work150	machine_stub	BA-54	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-545	BA-545	unclear	1	1	BA-545	work151	machine_stub	BA-545	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-546	BA-546	unclear	1	1	BA-546	work152	machine_stub	BA-546	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-554	BA-554	unclear	1	1	BA-554	work153	machine_stub	BA-554	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-57-539	BA-57 & 539	unclear	1	1	BA-57 & 539	work154	machine_stub	BA-57 & 539	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-574-227	BA-574-227	unclear	1	1	BA-574-227	work155	machine_stub	BA-574-227	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-58	BA-58	unclear	1	1	BA-58	work156	machine_stub	BA-58	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-583	BA-583	unclear	1	1	BA-583	work157	machine_stub	BA-583	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-59	BA-59	unclear	1	1	BA-59	work158	machine_stub	BA-59	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-595	BA-595	unclear	1	1	BA-595	work159	machine_stub	BA-595	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-60	BA-60	unclear	1	1	BA-60	work160	machine_stub	BA-60	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-61	BA-61	unclear	1	1	BA-61	work161	machine_stub	BA-61	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-62	BA-62	unclear	1	1	BA-62	work162	machine_stub	BA-62	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-63	BA-63	unclear	1	1	BA-63	work163	machine_stub	BA-63	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-66	BA-66,	unclear	1	1	BA-66,	work164	machine_stub	BA-66,	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-67	BA-67	unclear	1	1	BA-67	work165	machine_stub	BA-67	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-68	BA-68	unclear	1	1	BA-68	work166	machine_stub	BA-68	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-69	BA 69	unclear	1	1	BA 69	work167	machine_stub	BA 69	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-7	BA-7	unclear	1	1	BA-7	work168	machine_stub	BA-7	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-70	BA-70	unclear	1	1	BA-70	work169	machine_stub	BA-70	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-71	BA-71	unclear	1	1	BA-71	work170	machine_stub	BA-71	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-72	BA-72	unclear	1	1	BA-72	work171	machine_stub	BA-72	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-75	BA-75	unclear	1	1	BA-75	work172	machine_stub	BA-75	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-79	BA-79	unclear	1	1	BA-79	work173	machine_stub	BA-79	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-80	BA-80	unclear	1	1	BA-80	work174	machine_stub	BA-80	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-81	BA-81	unclear	1	1	BA-81	work175	machine_stub	BA-81	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-82	BA-82	unclear	1	1	BA-82	work176	machine_stub	BA-82	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-83	BA-83	unclear	1	1	BA-83	work177	machine_stub	BA-83	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-85	BA-85	unclear	1	1	BA-85	work178	machine_stub	BA-85	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-86	BA-86	unclear	1	1	BA-86	work179	machine_stub	BA-86	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-88	BA-88	unclear	1	1	BA-88	work180	machine_stub	BA-88	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-89	BA-89	unclear	1	1	BA-89	work181	machine_stub	BA-89	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-90	BA-90	unclear	1	1	BA-90	work182	machine_stub	BA-90	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-93	BA-93	unclear	1	1	BA-93	work183	machine_stub	BA-93	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-97-492	BA-97 & 492	unclear	1	1	BA-97 & 492	work184	machine_stub	BA-97 & 492	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-98	BA-98	unclear	1	1	BA-98	work185	machine_stub	BA-98	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-99	BA-99	unclear	1	1	BA-99	work186	machine_stub	BA-99	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-bed-b-635-2	BA BED B 635-2	unclear	1	1	BA BED B 635-2	work187	machine_stub	BA BED B 635-2	Prioritize local library or Frasch-preface evidence review.
fam-raw-bed-a	BED A	unclear	1	1	BED A	work188	machine_stub	BED A	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-183-184	BM1-183-184	unclear	1	1	BM1-183-184	work189	machine_stub	BM1-183-184	Prioritize local library or Frasch-preface evidence review.
fam-raw-bm1-184	BM1-184	unclear	1	1	BM1-184	work190	machine_stub	BM1-184	Prioritize local library or Frasch-preface evidence review.
