ippa_reference	ppa_like_reference	shared_record_id	same_or_neighboring_reference_field	locator_pattern	source_context	looks_like_alias	looks_like_typo	looks_like_distinct_source	confidence	notes
IPPA-165	PPA, p. 165	obi-v01-n0027-ob-p0048	same record	exact numeric match to PPA page citation	obi-v01-n0027-ob-p0048 | vol. 1 no. 27	true	false	false	high	Same record also cites PPA, p. 165.
IPPA-151	PPA, p. 151	obi-v01-n0029-ob-p0050	same record	exact numeric match to PPA page citation	obi-v01-n0029-ob-p0050 | vol. 1 no. 29	true	false	false	high	Same record also cites PPA, p. 151.
IPPA-153, 154	PPA, p. 151	obi-v01-n0029-re-p0051	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0029-re-p0051 | vol. 1 no. 29	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 151.
IPPA-166	PPA, p. 166	obi-v01-n0034-re-p0056	same record	exact numeric match to PPA page citation	obi-v01-n0034-re-p0056 | vol. 1 no. 34	true	false	false	high	Same record also cites PPA, p. 166.
IPPA-18		obi-v01-n0038-ob-p0060	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v01-n0038-ob-p0060 | vol. 1 no. 38	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-20		obi-v01-n0038-re-p0061	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v01-n0038-re-p0061 | vol. 1 no. 38	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-167	PPA, p. 167	obi-v01-n0047-ob-p0075	same record	exact numeric match to PPA page citation	obi-v01-n0047-ob-p0075 | vol. 1 no. 47	true	false	false	high	Same record also cites PPA, p. 167.
IPPA-109, 111	PPA, p. 109	obi-v01-n0052-ob-p0083	same record	partial numeric overlap with PPA page citation	obi-v01-n0052-ob-p0083 | vol. 1 no. 52	true	false	false	medium	Same record also cites PPA, p. 109.
IPPA-168	PPA, p. 168	obi-v01-n0054-ob-p0086	same record	exact numeric match to PPA page citation	obi-v01-n0054-ob-p0086 | vol. 1 no. 54	true	false	false	high	Same record also cites PPA, p. 168.
IPPA-57	PPA, p. 57	obi-v01-n0057-ob-p0091	same record	exact numeric match to PPA page citation	obi-v01-n0057-ob-p0091 | vol. 1 no. 57	true	false	false	high	Same record also cites PPA, p. 57.
IPPA-169	PPA, p. 169	obi-v01-n0063-ob-p0099	same record	exact numeric match to PPA page citation	obi-v01-n0063-ob-p0099 | vol. 1 no. 63	true	false	false	high	Same record also cites PPA, p. 169.
IPPA-170	PPA, p. 170	obi-v01-n0065-ob-p0102	same record	exact numeric match to PPA page citation	obi-v01-n0065-ob-p0102 | vol. 1 no. 65	true	false	false	high	Same record also cites PPA, p. 170.
IPPA-149	PPA, p. 149	obi-v01-n0070-ob-p0111	same record	exact numeric match to PPA page citation	obi-v01-n0070-ob-p0111 | vol. 1 no. 70	true	false	false	high	Same record also cites PPA, p. 149.
IPPA-212-213,	PPA, p. 212	obi-v01-n0084-ob-p0129	same record	partial numeric overlap with PPA page citation	obi-v01-n0084-ob-p0129 | vol. 1 no. 84	true	false	false	medium	Same record also cites PPA, p. 212.
IPPA-150	PPA, p. 150	obi-v01-n0086-tx-p0133	same record	exact numeric match to PPA page citation	obi-v01-n0086-tx-p0133 | vol. 1 no. 86	true	false	false	high	Same record also cites PPA, p. 150.
IPPA-58	PPA, p. 98	obi-v01-n0095-re-p0142	same record	paired with PPA source but using a different numeric locator	obi-v01-n0095-re-p0142 | vol. 1 no. 95	true	false	false	medium	Same record also cites PPA, p. 98.
IPPA-224-226	PPA, p. 224	obi-v01-n0097-tx-p0151	same record	partial numeric overlap with PPA page citation	obi-v01-n0097-tx-p0151 | vol. 1 no. 97	true	false	false	medium	Same record also cites PPA, p. 224.
IPPA-217, 218	PPA, p. 217	obi-v01-n0097-tx-p0156	same record	partial numeric overlap with PPA page citation	obi-v01-n0097-tx-p0156 | vol. 1 no. 97	true	false	false	medium	Same record also cites PPA, p. 217.
IPPA-227, 228	PPA, p. 227	obi-v01-n0097-tx-p0161	same record	partial numeric overlap with PPA page citation	obi-v01-n0097-tx-p0161 | vol. 1 no. 97	true	false	false	medium	Same record also cites PPA, p. 227.
IPPA-219-220	PPA, p. 219	obi-v01-n0108-tx-p0176	same record	partial numeric overlap with PPA page citation	obi-v01-n0108-tx-p0176 | vol. 1 no. 108	true	false	false	medium	Same record also cites PPA, p. 219.
IPPA-234	PPA, p. 234	obi-v01-n0128-ob-p0208	same record	exact numeric match to PPA page citation	obi-v01-n0128-ob-p0208 | vol. 1 no. 128	true	false	false	high	Same record also cites PPA, p. 234.
IPPA-172-173	PPA, p. 172	obi-v01-n0130-ob-p0211	same record	partial numeric overlap with PPA page citation	obi-v01-n0130-ob-p0211 | vol. 1 no. 130	true	false	false	medium	Same record also cites PPA, p. 172.
IPPA-215	PPA, p. 216	obi-v01-n0134-ob-p0215	same record	paired with PPA source but using a different numeric locator	obi-v01-n0134-ob-p0215 | vol. 1 no. 134	true	false	false	medium	Same record also cites PPA, p. 216.
IPPA	PPA, p. 216	obi-v01-n0134-re-p0216	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0134-re-p0216 | vol. 1 no. 134	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 216.
IPPA-221	PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159)	obi-v01-n0142-tx-p0229	same inscription cluster	partial numeric overlap with PPA page citation	obi-v01-n0142-tx-p0229 | vol. 1 no. 142	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159).
IPPA-231, 232	PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159)	obi-v01-n0142-tx-p0233	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0142-tx-p0233 | vol. 1 no. 142	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159).
IPPA-229, 230	PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159)	obi-v01-n0142-tx-p0235	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0142-tx-p0235 | vol. 1 no. 142	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159).
IPPA-235	PPA, p. 235	obi-v01-n0143-ob-p0240	same record	exact numeric match to PPA page citation	obi-v01-n0143-ob-p0240 | vol. 1 no. 143	true	false	false	high	Same record also cites PPA, p. 235.
IPPA-237, 238	PPA, p. 237	obi-v01-n0146-tx-p0246	same record	partial numeric overlap with PPA page citation	obi-v01-n0146-tx-p0246 | vol. 1 no. 146	true	false	false	medium	Same record also cites PPA, p. 237.
IPPA-17	PPA, p. 17	obi-v01-n0148-ob-p0249	same record	exact numeric match to PPA page citation	obi-v01-n0148-ob-p0249 | vol. 1 no. 148	true	false	false	high	Same record also cites PPA, p. 17.
IPPA-21	PPA, p. 17	obi-v01-n0148-re-p0250	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0148-re-p0250 | vol. 1 no. 148	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 17.
IPPA 176	PPA, p. 176	obi-v01-n0161-ob-p0270	same record	exact numeric match to PPA page citation	obi-v01-n0161-ob-p0270 | vol. 1 no. 161	true	false	false	high	Same record also cites PPA, p. 176.
IPPA 59, 60	PPA, p. 59	obi-v01-n0169-ob-p0287	same record	partial numeric overlap with PPA page citation	obi-v01-n0169-ob-p0287 | vol. 1 no. 169	true	false	false	medium	Same record also cites PPA, p. 59.
IPPA-99-100	PPA, p. 99	obi-v01-n0172-ob-p0291	same record	partial numeric overlap with PPA page citation	obi-v01-n0172-ob-p0291 | vol. 1 no. 172	true	false	false	medium	Same record also cites PPA, p. 99.
IPPA-179	PPA, p. 179	obi-v01-n0178-tx-p0305	same record	exact numeric match to PPA page citation	obi-v01-n0178-tx-p0305 | vol. 1 no. 178	true	false	false	high	Same record also cites PPA, p. 179.
IPPA 181, 182	PPA, p. 181	obi-v01-n0179-tx-p0306	same record	partial numeric overlap with PPA page citation	obi-v01-n0179-tx-p0306 | vol. 1 no. 179	true	false	false	medium	Same record also cites PPA, p. 181.
IPPA 61, 62	PPA, p. 61	obi-v01-n0181-ob-p0311	same record	partial numeric overlap with PPA page citation	obi-v01-n0181-ob-p0311 | vol. 1 no. 181	true	false	false	medium	Same record also cites PPA, p. 61.
IPPA 63	PPA, p. 61	obi-v01-n0181-re-p0313	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0181-re-p0313 | vol. 1 no. 181	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 61.
IPPA 159	PPA, p. 159	obi-v01-n0183-ob-p0315	same record	exact numeric match to PPA page citation	obi-v01-n0183-ob-p0315 | vol. 1 no. 183	true	false	false	high	Same record also cites PPA, p. 159.
IPPA-183	PPA, p. 183	obi-v01-n0186-ob-p0319	same record	exact numeric match to PPA page citation	obi-v01-n0186-ob-p0319 | vol. 1 no. 186	true	false	false	high	Same record also cites PPA, p. 183.
IPPA-239	PPA p. 239	obi-v01-n0187-ob-p0320	same record	exact numeric match to PPA page citation	obi-v01-n0187-ob-p0320 | vol. 1 no. 187	true	false	false	high	Same record also cites PPA p. 239.
IPPA-145-146 BED B 545-3	PPA, p. 145	obi-v01-n0205-ob-p0347	same record	partial numeric overlap with PPA page citation	obi-v01-n0205-ob-p0347 | vol. 1 no. 205	true	false	false	medium	Same record also cites PPA, p. 145.
IPPA 286-287	PPA, p. 286 (this ref. in List is incorrect !)	obi-v02-n0004-ob-p0006	same record	partial numeric overlap with PPA page citation	obi-v02-n0004-ob-p0006 | vol. 2 no. 4	true	false	false	medium	Same record also cites PPA, p. 286 (this ref. in List is incorrect !).
IPPA-155-157	PPA, p. 155	obi-v02-n0016-ob-p0024	same record	partial numeric overlap with PPA page citation	obi-v02-n0016-ob-p0024 | vol. 2 no. 16	true	false	false	medium	Same record also cites PPA, p. 155.
IPPA-12	PPA, p. 12	obi-v02-n0018-ob-p0029	same record	exact numeric match to PPA page citation	obi-v02-n0018-ob-p0029 | vol. 2 no. 18	true	false	false	high	Same record also cites PPA, p. 12.
IPPA-117-118		obi-v02-n0020-ob-p0033	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0020-ob-p0033 | vol. 2 no. 20	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-114, 116		obi-v02-n0021-ob-p0037	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0021-ob-p0037 | vol. 2 no. 21	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-184, 185	PPA, p. 184	obi-v02-n0022-ob-p0041	same record	partial numeric overlap with PPA page citation	obi-v02-n0022-ob-p0041 | vol. 2 no. 22	true	false	false	medium	Same record also cites PPA, p. 184.
IPPA-240-241	PPA, p. 240	obi-v02-n0023-ob-p0044	same record	partial numeric overlap with PPA page citation	obi-v02-n0023-ob-p0044 | vol. 2 no. 23	true	false	false	medium	Same record also cites PPA, p. 240.
IPPA-121-122	PPA, p. 119	obi-v02-n0024-ob-p0047	same record	paired with PPA source but using a different numeric locator	obi-v02-n0024-ob-p0047 | vol. 2 no. 24	true	false	false	medium	Same record also cites PPA, p. 119.
IPPA-119-120		obi-v02-n0025-ob-p0049	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0025-ob-p0049 | vol. 2 no. 25	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-103-104	PPA, p. 286 (this ref. in List is incorrect !)	obi-v02-n0034-ob-p0064	same record	paired with PPA source but using a different numeric locator	obi-v02-n0034-ob-p0064 | vol. 2 no. 34	true	false	false	medium	Same record also cites PPA, p. 286 (this ref. in List is incorrect !).
IPPA-174-175	PPA, p. 174	obi-v02-n0041-ob-p0076	same record	partial numeric overlap with PPA page citation	obi-v02-n0041-ob-p0076 | vol. 2 no. 41	true	false	false	medium	Same record also cites PPA, p. 174.
IPPA-112-113	PPA, p. 112	obi-v02-n0046-ob-p0085	same record	partial numeric overlap with PPA page citation	obi-v02-n0046-ob-p0085 | vol. 2 no. 46	true	false	false	medium	Same record also cites PPA, p. 112.
IPPA-186	PPA, p. 186	obi-v02-n0050-ob-p0089	same record	exact numeric match to PPA page citation	obi-v02-n0050-ob-p0089 | vol. 2 no. 50	true	false	false	high	Same record also cites PPA, p. 186.
IPPA-187		obi-v02-n0052-ob-p0092	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0052-ob-p0092 | vol. 2 no. 52	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-243-245	PPA, p. 243	obi-v02-n0053-tx-p0093	same record	partial numeric overlap with PPA page citation	obi-v02-n0053-tx-p0093 | vol. 2 no. 53	true	false	false	medium	Same record also cites PPA, p. 243.
IPPA-246-248		obi-v02-n0054-ob-p0099	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0054-ob-p0099 | vol. 2 no. 54	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-294		obi-v02-n0054-re-p0103	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0054-re-p0103 | vol. 2 no. 54	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-9		obi-v02-n0073-tx-p0155	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0073-tx-p0155 | vol. 2 no. 73	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA 101-102		obi-v02-n0077-ob-p0159	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0077-ob-p0159 | vol. 2 no. 77	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-147-148	PPA, p. 147	obi-v02-n0083-ob-p0170	same record	partial numeric overlap with PPA page citation	obi-v02-n0083-ob-p0170 | vol. 2 no. 83	true	false	false	medium	Same record also cites PPA, p. 147.
IPPA-105	PPA, p. 105	obi-v02-n0091-ob-p0179	same record	exact numeric match to PPA page citation	obi-v02-n0091-ob-p0179 | vol. 2 no. 91	true	false	false	high	Same record also cites PPA, p. 105.
IPPA-190	PPA, p. 190	obi-v02-n0098-ob-p0190	same record	exact numeric match to PPA page citation	obi-v02-n0098-ob-p0190 | vol. 2 no. 98	true	false	false	high	Same record also cites PPA, p. 190.
IPPA-106		obi-v02-n0101-ob-p0194	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v02-n0101-ob-p0194 | vol. 2 no. 101	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-201	PPA, p. 201	obi-v02-n0118-re-p0217	same record	exact numeric match to PPA page citation	obi-v02-n0118-re-p0217 | vol. 2 no. 118	true	false	false	high	Same record also cites PPA, p. 201.
IPPA-191	PPA, p. 191	obi-v03-n0001-ob-p0001	same record	exact numeric match to PPA page citation	obi-v03-n0001-ob-p0001 | vol. 3 no. 1	true	false	false	high	Same record also cites PPA, p. 191.
IPPA-55	PPA, p. 55	obi-v03-n0002-re-p0002	same record	exact numeric match to PPA page citation	obi-v03-n0002-re-p0002 | vol. 3 no. 2	true	false	false	high	Same record also cites PPA, p. 55.
IPPA-266	PPA, p. 55	obi-v03-n0021-ob-p0028	same record	paired with PPA source but using a different numeric locator	obi-v03-n0021-ob-p0028 | vol. 3 no. 21	true	false	false	medium	Same record also cites PPA, p. 55.
IPPA 188-189		obi-v03-n0024-tx-p0035	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0024-tx-p0035 | vol. 3 no. 24	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-269		obi-v03-n0029-re-p0047	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0029-re-p0047 | vol. 3 no. 29	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-264		obi-v03-n0037-ob-p0058	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0037-ob-p0058 | vol. 3 no. 37	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-313-314	PPA, p. 313	obi-v03-n0039-ob-p0065	same record	partial numeric overlap with PPA page citation	obi-v03-n0039-ob-p0065 | vol. 3 no. 39	true	false	false	medium	Same record also cites PPA, p. 313.
IPPA-98	PPA, p. 98	obi-v03-n0042-ob-p0068	same record	exact numeric match to PPA page citation	obi-v03-n0042-ob-p0068 | vol. 3 no. 42	true	false	false	high	Same record also cites PPA, p. 98.
IPPA-257		obi-v03-n0045-re-p0073	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0045-re-p0073 | vol. 3 no. 45	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-274-276	PPA, p. 274	obi-v03-n0046-re-p0074	same record	partial numeric overlap with PPA page citation	obi-v03-n0046-re-p0074 | vol. 3 no. 46	true	false	false	medium	Same record also cites PPA, p. 274.
IPPA-255	PPA p. 255	obi-v03-n0052-re-p0083	same record	exact numeric match to PPA page citation	obi-v03-n0052-re-p0083 | vol. 3 no. 52	true	false	false	high	Same record also cites PPA p. 255.
IPPA-277		obi-v03-n0055-ob-p0089	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0055-ob-p0089 | vol. 3 no. 55	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-193		obi-v03-n0057-tx-p0092	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0057-tx-p0092 | vol. 3 no. 57	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-295	PPA, p. 295	obi-v03-n0059-ob-p0095	same record	exact numeric match to PPA page citation	obi-v03-n0059-ob-p0095 | vol. 3 no. 59	true	false	false	high	Same record also cites PPA, p. 295.
IPPA-278		obi-v03-n0060-ob-p0097	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0060-ob-p0097 | vol. 3 no. 60	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-96-97	PPA, p. 191	obi-v03-n0061-ob-p0100	same record	paired with PPA source but using a different numeric locator	obi-v03-n0061-ob-p0100 | vol. 3 no. 61	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-280	PPA, p. 191	obi-v03-n0068-ob-p0113	same record	paired with PPA source but using a different numeric locator	obi-v03-n0068-ob-p0113 | vol. 3 no. 68	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-281	PPA, p. 191	obi-v03-n0081-ob-p0135	same record	paired with PPA source but using a different numeric locator	obi-v03-n0081-ob-p0135 | vol. 3 no. 81	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-283	PPA, p. 191	obi-v03-n0083-ob-p0139	same record	paired with PPA source but using a different numeric locator	obi-v03-n0083-ob-p0139 | vol. 3 no. 83	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-260	PPA, p. 191	obi-v03-n0086-re-p0150	same record	paired with PPA source but using a different numeric locator	obi-v03-n0086-re-p0150 | vol. 3 no. 86	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-270-271	PPA, p. 191	obi-v03-n0087-ob-p0152	same record	paired with PPA source but using a different numeric locator	obi-v03-n0087-ob-p0152 | vol. 3 no. 87	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-64	PPA, p. 191	obi-v03-n0088-ob-p0158	same record	paired with PPA source but using a different numeric locator	obi-v03-n0088-ob-p0158 | vol. 3 no. 88	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-284	PPA, p. 191	obi-v03-n0098-ob-p0173	same record	paired with PPA source but using a different numeric locator	obi-v03-n0098-ob-p0173 | vol. 3 no. 98	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-123	PPA, p. 191	obi-v03-n0099-ob-p0174	same record	paired with PPA source but using a different numeric locator	obi-v03-n0099-ob-p0174 | vol. 3 no. 99	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-107	PPA, p. 191	obi-v03-n0114-ob-p0193	same record	paired with PPA source but using a different numeric locator	obi-v03-n0114-ob-p0193 | vol. 3 no. 114	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-253-254	PPA, p. 191	obi-v03-n0115-ob-p0194	same record	paired with PPA source but using a different numeric locator	obi-v03-n0115-ob-p0194 | vol. 3 no. 115	true	false	false	medium	Same record also cites PPA, p. 191.
IPPA-293	PPA, p. 55	obi-v03-n0122-re-p0206	same record	paired with PPA source but using a different numeric locator	obi-v03-n0122-re-p0206 | vol. 3 no. 122	true	false	false	medium	Same record also cites PPA, p. 55.
IPPA-311-312		obi-v03-n0212-ob-p0343	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v03-n0212-ob-p0343 | vol. 3 no. 212	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA 137-138		obi-v04-n0036-re-p0059	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0036-re-p0059 | vol. 4 no. 36	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-341		obi-v04-n0074-ob-p0117	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0074-ob-p0117 | vol. 4 no. 74	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-303, 4-5		obi-v04-n0108-ob-p0172	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0108-ob-p0172 | vol. 4 no. 108	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA 306, 7-8		obi-v04-n0108-re-p0175	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0108-re-p0175 | vol. 4 no. 108	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-15		obi-v04-n0111-re-p0180	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0111-re-p0180 | vol. 4 no. 111	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA		obi-v04-n0116-ob-p0185	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0116-ob-p0185 | vol. 4 no. 116	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-297-8-9		obi-v04-n0116-ob-p0185	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0116-ob-p0185 | vol. 4 no. 116	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-300-1-2		obi-v04-n0116-re-p0188	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v04-n0116-re-p0188 | vol. 4 no. 116	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA 78-79-80-81-82		obi-v05-n0009-ob-p0021	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v05-n0009-ob-p0021 | vol. 5 no. 9	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA 83-84-85-86		obi-v05-n0009-re-p0025	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v05-n0009-re-p0025 | vol. 5 no. 9	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-87-88		obi-v05-n0009-tx-p0030	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v05-n0009-tx-p0030 | vol. 5 no. 9	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
