source_work_key	canonical_title	authority_level	should_have_bibtex	current_bibtex_key	bibtex_status	reason	recommended_action	notes
htway1974oldest	Oldest Burmese Inscription	article	true	htway1974oldest	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	No stronger conservative family signal was detected.
journalBurmaResearchSociety	Journal of the Burma Research Society	periodical	true	journalBurmaResearchSociety	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	periodical	true	journalRoyalAsiaticSociety	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Series-level authority only unless article-level evidence is available. Article-level matches can override this series-level mapping.
luce197615th	15th Century Inscription and Library at Pagan	article	true	luce197615th	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	No stronger conservative family signal was detected.
lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	book	true	lucePeMaungTinInscriptionsOfBurma	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Shared source work for IOB catalogue locators and Pl. plate locators. Treat as the stable source family for IOB locators.
mandalayPalaceStoneCollection	Mandalay Palace stone collection	locator_collection	false		suppressed_locator_system	Locator, manuscript, or notebook authority should not be emitted as an ordinary publication.	Keep the source-work row but suppress ordinary publication-style BibTeX emission.	Locator collection authority only; do not emit a standalone BibTeX publication.
mmSourceFamily	MM source family	source_catalogue	true	mmSourceFamily	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Do not force a local-file match without stronger evidence.
oldBurmeseInscriptions	Old Burmese Inscriptions	corpus_source	true	obiCorpusSource	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Structured corpus authority for OBI internal references. Treat OBI as the structured corpus source family, not a machine stub.
ppaCatalogue	Inscriptions of Pagan, Pinya and Ava	source_catalogue	true	ppaCatalogue	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Canonical PPA work; IPPA is treated only as an alias/variant locator family into this source work. Keep as a provisional local-source-backed catalogue family.
rayTheravadaBuddhism	Theravada Buddhism	book	true	rayTheravadaBuddhism	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Shorthand Frasch citations identify the work, but fuller publication metadata still needs local confirmation.
rdasbSourceFamily	Report of the Director, Archaeological Survey of Burma	series	true	rdasbSourceFamily	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Series-level authority pending issue-level confirmation. Use locators for year and page pending issue-level review.
sipSelectionsPagan	Selections from the Inscriptions of Pagan	book	true	sipSourceFamily	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	SIP is a named source work with locator semantics rather than a standalone raw-string expansion target. Keep provisional pending fuller identification.
tnInscriptionsPaganPinyaAva	Inscriptions of Pagan, Pinya and Ava	book	true	uTunNyein1897inscriptionsPaganPinyaAva	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	TN is modeled as a source work with page locators. Keep provisional until the precise Than Tun source work is pinned down.
uKyawBaganMinsa	Bagan Minsa	article	true	uKyawBaganMinsa	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Promoted from repeated Frasch shorthand citations pending fuller publication details.
uMinHsweSourceFamily	U Min Hswe	source_catalogue	true	uMinHsweSourceFamily	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Named source authority retained for bibliography normalization even though the exact title boundary remains uncertain. Still needs bibliographic normalization beyond the named catalogue marker.
uPeMaungTin1966myazediInscription	The Myazedi Inscription	article	true	uPeMaungTin1966myazediInscription	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Matched to a likely local witness; edition details still need confirmation.
uThaMyat1958paliVersionMyazedi	The Pali Version of the Myazedi Inscription	book	true	uThaMyat1958paliVersionMyazedi	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Attested as a full citation in Frasch bibliography evidence; local file confirmation is still pending.
ubSourceFamily	Inscriptions Collected in Upper Burma	source_catalogue	true	ubSourceFamily	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Stable source-work layer for UB volume/page locators. UB references are preserved as a stable source-family abbreviation with locators.
uemSelectionsPagan	Selections from the Inscriptions of Pagan	book	true	uEMaung1958selectionsInscriptionsPagan	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	UEM is modeled as a source work with inscription-number and page locators. Keep provisional until the full work title is recovered.
